ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3728,Bill Russell,10-Jun,215lb,963,,42.3,5.9,13.4,0.44,,,,5.9,13.4,0.44,0.44,3.3,5.8,0.561,,,22.5,4.3,,,,2.7,15.1
3729,Bryon Russell,7-Jun,225lb,841,392,23.5,2.7,6.3,0.431,0.8,2.2,0.369,1.9,4.1,0.465,0.496,1.7,2.3,0.75,0.9,2.6,3.5,1.3,1,0.2,1,2.4,7.9
3730,Campy Russell,8-Jun,215lb,566,63,29.6,6,13.1,0.459,0.2,0.5,0.366,5.9,12.9,0.461,0.462,3.8,4.9,0.772,1.6,3.2,4.8,3,1,0.2,3,2.7,15.8
3731,Cazzie Russell,5-Jun,218lb,817,,27.2,6.3,13.7,0.464,,,,6.3,13.7,0.464,0.464,2.5,3,0.827,1.1,2.2,3.8,2.2,0.8,0.1,1,2.1,15.1
3732,D'Angelo Russell,5-Jun,195lb,93,61,28,5,12.2,0.411,1.7,4.9,0.355,3.3,7.3,0.448,0.482,1.8,2.5,0.741,0.6,2.8,3.4,3.5,1.2,0.2,2.5,1.8,13.6
3733,Frank Russell,3-Jun,180lb,23,,5.7,1.3,3.3,0.377,,,,1.3,3.3,0.377,0.377,0.7,0.8,0.889,,,0.7,0.7,,,,0.5,3.2
3734,Pierre Russell,4-Jun,190lb,110,,9.2,1.7,3.8,0.439,0,0.2,0.1,1.7,3.6,0.456,0.442,0.6,0.9,0.657,0.9,1.2,2,1,,,0.6,1.2,4
3735,Rubin Russell,2-Jun,180lb,26,,10.3,2.2,6.1,0.354,0.2,0.8,0.182,2,5.2,0.382,0.367,1,1.6,0.61,,,2,0.3,,,1.2,1.5,5.4
3736,Walker Russell,5-Jun,195lb,155,3,11.4,1.2,2.9,0.393,0,0.2,0.158,1.1,2.7,0.414,0.399,0.6,0.8,0.8,0.3,0.9,1.2,2.3,0.4,0.1,1.3,1.3,3
3737,Walker Russell,Jun-00,170lb,28,0,12.8,1.2,3.4,0.347,0.1,0.5,0.308,1,2.9,0.354,0.368,0.5,0.8,0.636,0.3,0.7,0.9,2.1,0.6,0,1.2,1,3
