ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2770,Randolph Morris,10-Jun,266lb,74,2,5.9,0.7,1.6,0.426,0,0,,0.7,1.6,0.426,0.426,0.5,0.9,0.545,0.4,1,1.4,0.1,0.2,0.1,0.4,1.4,1.9
2771,Terence Morris,9-Jun,221lb,139,12,13.9,1.5,3.7,0.407,0.2,0.8,0.196,1.3,2.9,0.465,0.428,0.2,0.3,0.711,0.9,1.8,2.7,0.7,0.3,0.4,0.6,0.9,3.4
2772,Adam Morrison,8-Jun,205lb,161,28,20.4,2.9,7.8,0.373,0.8,2.3,0.331,2.1,5.4,0.391,0.423,0.9,1.2,0.71,0.5,1.6,2.1,1.4,0.2,0.1,1.1,1.7,7.5
2773,John Morrison,2-Jun,190lb,9,,8.4,1.1,3.8,0.294,0.1,0.7,0.167,1,3.1,0.321,0.309,0.7,1,0.667,,,1,0.8,,,1,1.7,3
2774,Mike Morrison,4-Jun,195lb,36,1,4.3,0.6,1.9,0.338,0.1,0.2,0.286,0.6,1.7,0.344,0.353,0.7,0.8,0.8,0.2,0.4,0.6,0.3,0.1,0,0.6,0.6,2
2775,Red Morrison,8-Jun,220lb,155,,14.3,1.4,3.5,0.396,,,,1.4,3.5,0.396,0.396,0.8,1.3,0.572,,,5.3,0.9,,,,2.5,3.6
2776,Anthony Morrow,5-Jun,210lb,531,135,22.2,3.6,7.9,0.45,1.5,3.5,0.423,2.1,4.5,0.471,0.543,1.1,1.3,0.877,0.6,1.7,2.3,0.9,0.6,0.1,0.7,1.6,9.7
2777,Dwayne Morton,7-Jun,195lb,41,6,9.6,1.2,3.1,0.388,0.2,0.6,0.36,1,2.5,0.394,0.422,1.4,2.1,0.682,0.5,0.9,1.4,0.4,0.3,0.4,0.7,1.1,4.1
2778,John Morton,3-Jun,180lb,128,5,14.7,1.6,4.1,0.386,0.1,0.5,0.224,1.5,3.7,0.406,0.399,1.5,1.9,0.787,0.4,0.8,1.3,2.7,0.7,0.2,1.5,1.3,4.8
2779,Richard Morton,3-Jun,190lb,2,0,5.5,1.5,2,0.75,0,0,,1.5,2,0.75,0.75,0,0,,0,0,0,0.5,0,0,0.5,1,3
2780,Glenn Mosley,8-Jun,195lb,32,,7.6,1.1,2.8,0.409,,,,1.1,2.8,0.409,0.409,0.8,1.4,0.578,0.8,1.3,2.2,0.7,0.3,0.3,0.8,1.3,3.1
2781,Perry Moss,2-Jun,185lb,136,0,12.6,1.5,3.7,0.415,0.1,0.3,0.174,1.5,3.3,0.439,0.423,0.8,1.2,0.722,0.5,1.1,1.5,1.5,0.7,0.1,1,1.7,3.9
2782,Lawrence Moten,5-Jun,185lb,119,21,15.2,2.4,5.9,0.408,0.5,1.7,0.299,1.9,4.2,0.45,0.45,1,1.5,0.652,0.7,0.8,1.5,1.5,0.6,0.3,1.1,1.2,6.3
