ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4085,Awvee Storey,6-Jun,222lb,60,1,6.8,1,2.3,0.414,0.1,0.3,0.25,0.9,2.1,0.435,0.429,0.4,0.8,0.511,0.7,0.6,1.4,0.4,0.2,0,0.3,1.1,2.4
4086,Damon Stoudamire,10-May,171lb,878,793,33.2,4.9,12.1,0.406,1.4,3.9,0.357,3.5,8.2,0.43,0.464,2.1,2.6,0.833,0.8,2.7,3.5,6.1,1.1,0.1,2.3,1.9,13.4
4087,Salim Stoudamire,1-Jun,179lb,157,1,17,2.8,7,0.407,1.1,2.9,0.366,1.8,4.1,0.435,0.483,1.3,1.5,0.882,0.1,1.2,1.4,1,0.4,0.1,1,1.5,8
4088,Amar'e Stoudemire,10-Jun,245lb,846,696,31,7,13,0.537,0,0.2,0.236,7,12.9,0.54,0.538,4.9,6.4,0.761,2.4,5.4,7.8,1.2,0.8,1.2,2.3,3.2,18.9
4089,Paul Stovall,4-Jun,215lb,38,,10.7,1.6,3.9,0.416,0,0,,1.6,3.9,0.416,0.416,1.4,2.2,0.634,1.6,2.8,3.1,0.7,0.3,0.5,1.6,1.8,4.6
4090,D.J. Strawberry,5-Jun,201lb,33,0,8.2,0.9,2.8,0.315,0.2,0.8,0.24,0.7,2,0.343,0.348,0.3,0.6,0.474,0.3,0.6,0.8,0.9,0.4,0.2,0.3,1.1,2.2
4091,Joe Strawder,10-Jun,235lb,231,,27.6,3.2,7.5,0.426,,,,3.2,7.5,0.426,0.426,2.2,3.2,0.686,,,9.9,1.1,,,,4.2,8.6
4092,Bill Stricker,9-Jun,210lb,1,,2,2,3,0.667,,,,2,3,0.667,0.667,0,0,,,,0,0,,,,1,4
4093,Erick Strickland,3-Jun,210lb,501,122,20.3,2.7,6.8,0.392,0.8,2.3,0.351,1.9,4.5,0.413,0.451,1.4,1.7,0.826,0.4,2.2,2.6,2.4,0.8,0.1,1.3,1.9,7.5
4094,Mark Strickland,9-Jun,210lb,281,26,12.2,1.9,3.9,0.488,0,0,0.222,1.9,3.9,0.49,0.489,0.7,1.1,0.668,1,1.8,2.7,0.4,0.3,0.4,0.6,1.1,4.6
4095,Rod Strickland,3-Jun,175lb,1094,740,30.7,5,10.9,0.454,0.2,0.6,0.282,4.8,10.3,0.465,0.462,3.1,4.4,0.721,1.1,2.7,3.7,7.3,1.5,0.2,2.6,1.9,13.2
4096,Roger Strickland,5-Jun,200lb,1,,4,1,3,0.333,,,,1,3,0.333,0.333,0,0,,,,0,0,,,,1,2
4097,John Stroeder,10-Jun,260lb,46,0,6.4,0.7,1.8,0.369,0,0,0,0.7,1.8,0.378,0.369,0.4,0.7,0.667,0.6,1.2,1.8,0.5,0.1,0.3,0.6,1.1,1.8
4098,Derek Strong,8-Jun,220lb,456,72,18.7,2.3,5.4,0.43,0,0.1,0.18,2.3,5.3,0.436,0.432,2.1,2.6,0.786,1.7,3.1,4.9,0.6,0.4,0.2,0.9,1.6,6.8
4099,Lamont Strothers,4-Jun,190lb,13,0,11.9,1.8,5.6,0.329,0.2,1.2,0.133,1.7,4.5,0.379,0.342,0.8,1.1,0.714,0.7,0.5,1.2,1.1,0.7,0.1,1.3,1.2,4.6
4100,John Stroud,7-Jun,215lb,9,,9.8,1.2,3.8,0.324,0,0,,1.2,3.8,0.324,0.324,0.3,0.4,0.75,0.8,0.7,1.4,1,0.1,0,0.4,0.8,2.8
4101,Red Stroud,Jun-00,160lb,7,,4.7,0.7,1.6,0.455,0.1,0.1,1,0.6,1.4,0.4,0.5,1.3,1.4,0.9,,,0.3,0.1,,,1.3,1,2.9
4102,Rodney Stuckey,5-Jun,210lb,625,302,27.9,4.6,10.7,0.425,0.4,1.4,0.299,4.1,9.3,0.444,0.445,3.3,4,0.825,0.7,2.3,3,3.6,0.9,0.2,1.8,2.1,12.8
4103,Gene Stump,2-Jun,185lb,148,,,2.1,7,0.303,,,,2.1,7,0.303,0.303,1,1.5,0.692,,,,0.8,,,,1.5,5.3
4104,Stan Stutz,10-May,170lb,166,,,2.4,9.5,0.256,,,,2.4,9.5,0.256,0.256,2.3,2.8,0.813,,,,1.1,,,,2.4,7.1
4105,Gary Suiter,9-Jun,225lb,30,,4.7,0.6,1.8,0.352,,,,0.6,1.8,0.352,0.352,0.1,0.3,0.444,,,1.4,0.1,,,,0.7,1.4
4106,Jared Sullinger,9-Jun,260lb,258,171,24.9,4.5,10.2,0.439,0.5,1.9,0.276,3.9,8.3,0.477,0.465,1.6,2.2,0.727,2.6,5.1,7.7,1.8,0.7,0.6,1.3,3,11.1
4107,DaJuan Summers,8-Jun,230lb,83,7,9.9,1.2,3.2,0.384,0.3,1,0.367,0.9,2.3,0.392,0.438,0.5,0.8,0.642,0.3,0.7,1,0.3,0.2,0.1,0.4,1.3,3.3
4108,Barry Sumpter,11-Jun,215lb,1,0,1,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
4109,Don Sunderlage,1-Jun,180lb,113,,23.3,2.5,7.8,0.326,,,,2.5,7.8,0.326,0.326,2.7,3.6,0.732,,,2.5,2,,,,2.8,7.7
4110,Bruno Sundov,2-Jul,220lb,102,4,5.1,0.8,2.2,0.356,0,0.2,0.208,0.7,1.9,0.374,0.367,0.1,0.2,0.526,0.3,0.7,1,0.2,0.1,0.1,0.3,1,1.7
4111,Jon Sundvold,2-Jun,170lb,502,71,17.6,3.3,7.3,0.452,0.5,1.1,0.392,2.8,6.1,0.463,0.483,0.7,0.9,0.849,0.3,0.8,1.1,2.9,0.4,0,1.1,1.2,7.7
4112,Bob Sura,5-Jun,200lb,657,205,23.7,2.9,7,0.414,0.6,2,0.325,2.3,5.1,0.45,0.46,2.1,3.1,0.689,0.9,2.5,3.4,3.8,1,0.2,1.9,2.2,8.6
4113,Dick Surhoff,4-Jun,210lb,58,,9.4,1,3.3,0.295,,,,1,3.3,0.295,0.295,1.1,1.6,0.717,,,1.6,0.6,,,,1.5,3.1
4114,George Sutor,8-Jun,235lb,79,,13.1,1.9,5.6,0.341,0,0,0,1.9,5.6,0.342,0.341,1,1.7,0.595,2.5,2.6,5.1,0.4,,,0.9,2.6,4.8
4115,Dane Suttle,3-Jun,190lb,46,1,10.7,2.5,4.9,0.507,0,0.1,0,2.5,4.8,0.516,0.507,0.9,1.1,0.857,0.5,0.6,1.1,1,0.5,0,0.7,1.1,5.9
4116,Greg Sutton,2-Jun,170lb,168,8,11.6,1.6,4.1,0.396,0.7,1.9,0.361,0.9,2.2,0.426,0.48,0.6,0.8,0.743,0.1,0.8,0.9,1.7,0.5,0.1,1.1,1.9,4.5
4117,Keith Swagerty,7-Jun,235lb,80,,31,4.6,11.2,0.408,0,0.1,0,4.6,11.1,0.411,0.408,3.2,5.3,0.611,4.1,6.3,10.4,1.2,,,1.4,3,12.3
