ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3346,Andrae Patterson,9-Jun,238lb,40,0,7.6,1.2,2.5,0.455,0,0.1,0,1.2,2.4,0.479,0.455,0.7,0.9,0.778,0.8,0.9,1.7,0.4,0.5,0.2,0.6,1.7,3
3347,George Patterson,8-Jun,230lb,59,,9.5,0.7,2.3,0.331,,,,0.7,2.3,0.331,0.331,0.5,0.6,0.842,,,2.7,0.9,,,,1.4,2
3348,Lamar Patterson,5-Jun,225lb,35,0,11.3,0.8,2.3,0.35,0.3,1.4,0.245,0.5,0.9,0.516,0.425,0.5,0.6,0.727,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.4
3349,Patrick Patterson,9-Jun,230lb,435,65,24.1,3.3,7.1,0.461,0.8,2.2,0.365,2.5,4.9,0.505,0.518,0.6,0.9,0.747,1.5,3.3,4.8,1.2,0.6,0.5,0.8,1.9,8
3350,Ruben Patterson,5-Jun,224lb,649,245,24.6,4.1,8,0.517,0.1,0.3,0.179,4.1,7.7,0.53,0.52,2.4,3.8,0.641,2,2.2,4.2,1.8,1.2,0.4,1.8,2.2,10.7
3351,Steve Patterson,9-Jun,225lb,350,,15.9,1.9,4.8,0.403,,,,1.9,4.8,0.403,0.403,0.6,1,0.594,1.9,3.4,4.7,1.3,0.4,0.4,,1.6,4.4
3352,Tom Patterson,6-Jun,220lb,25,,4,0.8,2,0.42,,,,0.8,2,0.42,0.42,0.6,0.7,0.778,0.5,0.5,1,0.2,0,0,,0.7,2.2
3353,Worthy Patterson,2-Jun,175lb,4,,3.3,0.8,2,0.375,,,,0.8,2,0.375,0.375,0.3,0.5,0.5,,,0.5,0.5,,,,0.8,1.8
3354,Chris Paul,Jun-00,175lb,796,796,35.7,6.6,14,0.472,1.2,3.2,0.367,5.4,10.8,0.503,0.514,4.4,5.1,0.865,0.7,3.7,4.4,9.9,2.3,0.1,2.4,2.5,18.7
3355,Charlie Paulk,8-Jun,219lb,120,,13.7,2.6,6.7,0.392,,,,2.6,6.7,0.392,0.392,0.9,1.5,0.611,,,3.9,0.3,,,,2,6.2
3356,Jerry Paulson,2-Jun,185lb,6,,11.3,1.3,3.8,0.348,,,,1.3,3.8,0.348,0.348,0.7,1,0.667,,,1.7,0.7,,,,0.8,3.3
3357,Billy Paultz,11-Jun,235lb,1124,7,27,4.8,9.7,0.497,0,0,0,4.8,9.7,0.498,0.497,2,2.9,0.69,2.1,5.8,8,2,0.5,1.5,1.8,2.6,11.7
3358,Sasha Pavlovic,8-Jun,220lb,567,142,15.7,1.9,4.7,0.404,0.5,1.6,0.346,1.3,3.1,0.433,0.462,0.6,0.9,0.673,0.3,1.4,1.8,0.9,0.5,0.2,0.8,1.8,4.9
3359,Jim Paxson,6-Jun,200lb,138,,22.2,2.6,8.1,0.323,,,,2.6,8.1,0.323,0.323,2.7,3.8,0.727,,,4.5,1.6,,,,2.5,8
3360,Jim Paxson,6-Jun,200lb,784,368,27.2,5.8,11.6,0.498,0.1,0.6,0.225,5.7,11.1,0.511,0.503,2.6,3.2,0.807,0.7,1.4,2,2.9,1.2,0.1,1.5,1.8,14.3
3361,John Paxson,2-Jun,185lb,772,369,22.4,3.1,6.2,0.499,0.4,1,0.355,2.8,5.2,0.527,0.528,0.6,0.8,0.804,0.2,1,1.2,3.6,0.7,0.1,0.8,1.9,7.2
3362,Johnny Payak,4-Jun,174lb,120,,21.6,1.9,5.9,0.321,,,,1.9,5.9,0.321,0.321,2.5,3.5,0.715,,,1.7,1.9,,,,2.6,6.3
