ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1747,Julius Hodge,7-Jun,210lb,23,1,4.3,0.5,1.1,0.44,0,0,,0.5,1.1,0.44,0.44,0.3,0.5,0.5,0.3,0.3,0.7,0.8,0.3,0,0.5,0.6,1.2
1748,Craig Hodges,2-Jun,190lb,695,256,21.7,3.4,7.4,0.461,0.8,2,0.4,2.6,5.4,0.484,0.516,0.9,1.1,0.828,0.4,0.9,1.3,2.5,0.8,0,1.2,2,8.5
1749,Charlie Hoefer,9-May,158lb,65,,,2,8.2,0.25,,,,2,8.2,0.25,0.25,1.5,2.3,0.646,,,,0.6,,,,2.4,5.6
1750,Paul Hoffman,2-Jun,195lb,317,,28.7,3.6,10.6,0.34,,,,3.6,10.6,0.34,0.34,3,4.5,0.676,,,5.1,2.9,,,,3.6,10.2
1751,Bob Hogsett,7-Jun,230lb,20,,7.1,0.6,1.8,0.333,0,0,,0.6,1.8,0.333,0.333,0.7,1.2,0.565,,,1.3,0.1,,,0.3,0.8,1.9
1752,Paul Hogue,9-Jun,240lb,65,,22.9,2.5,6.9,0.365,,,,2.5,6.9,0.365,0.365,1.2,2.8,0.448,,,7.1,0.7,,,,3.9,6.3
1753,Fred Hoiberg,4-Jun,203lb,541,61,18.4,1.8,4.1,0.431,0.7,1.7,0.396,1.1,2.4,0.456,0.514,1.2,1.4,0.854,0.3,2.4,2.7,1.6,0.8,0.1,0.5,1.4,5.4
1754,Doug Holcomb,4-Jun,200lb,3,,,1,4,0.25,,,,1,4,0.25,0.25,3,4.7,0.643,,,,1.7,,,,1.7,5
1755,Randy Holcomb,9-Jun,225lb,4,0,2.8,0.3,0.3,1,0,0,,0.3,0.3,1,1,0,0,,0.3,0,0.3,0,0,0,0,0.5,0.5
1756,Jrue Holiday,4-Jun,205lb,446,373,32.1,5.6,12.7,0.439,1.1,2.9,0.368,4.5,9.8,0.461,0.482,1.9,2.3,0.798,0.8,2.7,3.5,6.1,1.4,0.4,2.7,2.3,14.1
1757,Justin Holiday,6-Jun,185lb,143,11,13.9,1.7,4.4,0.385,0.7,2,0.336,1,2.4,0.425,0.461,0.6,0.7,0.794,0.2,1.5,1.7,1,0.7,0.3,0.7,1.1,4.7
1758,Brad Holland,3-Jun,180lb,93,3,7.4,1.3,3.2,0.403,0,0.2,0.19,1.2,2.9,0.419,0.41,0.6,0.8,0.746,0.2,0.4,0.6,0.7,0.5,0,0.6,0.9,3.2
1759,Joe Holland,4-Jun,185lb,186,,13.4,2.3,7.1,0.331,,,,2.3,7.1,0.331,0.331,1.2,1.9,0.621,,,4.2,1.8,,,,2.9,5.8
1760,Wilbur Holland,Jun-00,175lb,276,,29.6,5.8,12.9,0.452,,,,5.8,12.9,0.452,0.452,2,2.5,0.799,1,2.1,3.1,3.3,1.7,0.2,2.5,2.7,13.6
1761,Lionel Hollins,3-Jun,185lb,673,195,27.4,4.8,10.7,0.444,0,0.2,0.149,4.7,10.6,0.448,0.445,2.1,2.8,0.741,0.6,1.8,2.4,4.5,1.6,0.3,2.6,2.7,11.6
1762,Ryan Hollins,Jul-00,240lb,518,76,11.8,1.3,2.3,0.584,0,0,0,1.3,2.3,0.584,0.584,1,1.6,0.649,0.9,1.3,2.2,0.3,0.2,0.5,0.7,2,3.7
1763,Essie Hollis,6-Jun,195lb,25,,6.2,1.2,3,0.4,,,,1.2,3,0.4,0.4,0.4,0.5,0.75,0.8,1,1.8,0.2,0.4,0,0.6,1.1,2.8
1764,Rondae Hollis-Jefferson,7-Jun,220lb,47,31,22.1,2.1,5.2,0.398,0.2,0.8,0.263,1.9,4.4,0.423,0.419,1.6,2.2,0.738,1,4,5,1.9,1.2,0.6,1.1,2.3,6
1765,Dennis Holman,3-Jun,175lb,46,,12,1.2,3.3,0.359,0.1,0.2,0.444,1.1,3.1,0.354,0.373,1.3,2.2,0.602,,,1.7,1.6,,,0.9,1.8,3.8
1766,Richaun Holmes,10-Jun,245lb,70,3,14.6,2.4,4.7,0.515,0.2,0.9,0.234,2.2,3.8,0.583,0.538,1,1.5,0.67,1.3,1.9,3.2,0.7,0.4,0.8,0.7,1.9,6
1767,Jim Holstein,3-Jun,180lb,225,,15.4,1.4,4.4,0.323,,,,1.4,4.4,0.323,0.323,1,1.5,0.647,,,2.9,1.1,,,,1.9,3.8
1768,A.W. Holt,7-Jun,210lb,6,,2.3,0.2,1.3,0.125,,,,0.2,1.3,0.125,0.125,0.3,0.5,0.667,,,0.7,0,,,,0.2,0.7
1769,Mike Holton,4-Jun,185lb,325,122,18,2.4,5.6,0.441,0.1,0.3,0.257,2.4,5.2,0.453,0.449,1.2,1.5,0.807,0.4,1,1.4,3,0.6,0.1,1.3,1.8,6.2
1770,Dick Holub,6-Jun,205lb,48,,,4.1,13.8,0.295,,,,4.1,13.8,0.295,0.295,2.4,3.8,0.633,,,,0.8,,,,3.3,10.5
1771,Joe Holup,6-Jun,215lb,192,,18.4,2.4,7,0.342,,,,2.4,7,0.342,0.342,2.2,2.8,0.781,,,4.4,1,,,,2.7,7
1772,Red Holzman,10-May,175lb,358,,13,2.3,7.3,0.317,,,,2.3,7.3,0.317,0.317,1.4,2.1,0.682,,,1.5,2,,,,1.3,6.1
1773,Jerald Honeycutt,9-Jun,245lb,54,0,11.7,1.8,4.7,0.391,0.6,1.7,0.362,1.2,2.9,0.409,0.458,0.8,1.3,0.632,0.6,1.4,1.9,0.7,0.5,0.1,1.1,1.8,5.1
1774,Tyler Honeycutt,8-Jun,188lb,24,0,5,0.5,1.5,0.314,0,0.2,0.2,0.4,1.3,0.333,0.329,0.2,0.3,0.714,0.3,0.8,1,0.4,0.2,0.2,0.3,0.2,1.2
1775,Derek Hood,8-Jun,222lb,2,0,2,0,1.5,0,0,0,,0,1.5,0,0,0,0,,0,0.5,0.5,0,0,0,0,0,0
1776,Rodney Hood,8-Jun,206lb,150,121,28.3,4.5,10.8,0.42,1.8,4.9,0.362,2.8,5.9,0.468,0.502,1.9,2.3,0.825,0.4,2.8,3.2,2.3,0.8,0.2,1.3,2.5,12.7
1777,Bobby Hooper,Jun-00,180lb,54,,17.7,2.1,5,0.413,0.1,0.6,0.125,2,4.4,0.452,0.421,0.8,1.1,0.729,0.6,1.4,2,2.6,,,1,1.7,5
1778,Carroll Hooser,7-Jun,230lb,56,,12.9,2.3,5.3,0.431,0,0,1,2.3,5.3,0.429,0.433,1.1,1.5,0.711,,,3.9,0.5,,,0.9,2.5,5.6
1779,Tom Hoover,9-Jun,230lb,223,,19.2,2.2,4.8,0.447,0,0.1,0.333,2.1,4.8,0.448,0.448,1.6,2.5,0.626,2.7,6.2,6.2,1.1,,,2.5,3.4,5.9
1780,Bob Hopkins,8-Jun,205lb,273,,18.8,3.1,7.9,0.394,,,,3.1,7.9,0.394,0.394,1.9,2.5,0.761,,,5.6,0.7,,,,2.4,8.2
1781,Dave Hoppen,11-Jun,235lb,169,46,14.2,1.9,3.7,0.518,0,0,0.2,1.9,3.7,0.521,0.519,1.1,1.4,0.751,1.3,2.5,3.8,0.6,0.3,0.2,0.8,2.3,5
1782,Dennis Hopson,5-Jun,200lb,334,119,22.5,4.1,9.6,0.431,0.2,0.7,0.271,3.9,8.9,0.443,0.44,2.5,3.2,0.765,1.3,1.6,2.8,1.6,1,0.5,1.6,2,10.9
1783,Scotty Hopson,7-Jun,204lb,2,0,3.5,0,2,0,0,1,0,0,1,0,0,0.5,1,0.5,0,0,0,0.5,0.5,0,0,0,0.5
1784,Johnny Horan,8-Jun,190lb,19,,4.9,0.6,2.2,0.286,,,,0.6,2.2,0.286,0.286,0.5,0.6,0.909,,,0.5,0.1,,,,1.1,1.8
1785,Cedrick Hordges,8-Jun,220lb,145,1,20.5,2.9,6.2,0.475,0,0.1,0.188,2.9,6.1,0.481,0.477,1.7,2.7,0.639,1.6,4.2,5.9,1.2,0.4,0.3,1.6,3.1,7.6
1786,Al Horford,10-Jun,245lb,590,586,33.4,6.1,11.5,0.534,0.2,0.6,0.342,5.9,10.9,0.545,0.543,1.9,2.5,0.745,2.4,6.5,8.8,2.8,0.8,1.2,1.6,2.4,14.4
1787,Tito Horford,1-Jul,245lb,63,0,6,0.5,1.7,0.3,0,0,,0.5,1.7,0.3,0.3,0.4,0.7,0.628,0.5,0.9,1.3,0.1,0.1,0.4,0.5,0.8,1.5
1788,Ron Horn,7-Jun,220lb,32,,10,0.9,3,0.292,0,0,,0.9,3,0.292,0.292,0.7,1,0.697,,,2.4,0.3,,,1,1.6,2.5
1789,Jeff Hornacek,3-Jun,190lb,1077,910,31.5,5.5,11.1,0.496,0.8,1.9,0.403,4.7,9.2,0.515,0.53,2.8,3.1,0.877,0.9,2.5,3.4,4.9,1.4,0.2,1.8,2.2,14.5
1790,Dennis Horner,9-Jun,230lb,8,0,2.8,0.1,0.5,0.25,0,0.1,0,0.1,0.4,0.333,0.25,0.4,0.5,0.75,0.3,0.4,0.6,0,0,0,0.1,0.1,0.6
1791,Robert Horry,9-Jun,220lb,1107,480,24.5,2.5,6,0.425,0.7,2.1,0.341,1.8,3.9,0.469,0.484,1.2,1.6,0.726,1.5,3.3,4.8,2.1,1,0.9,1.2,2.4,7
1792,Ed Horton,8-Jun,230lb,45,10,8.3,1.8,3.6,0.494,0,0.1,0,1.8,3.5,0.506,0.494,0.9,1.5,0.609,1.3,1.1,2.4,0.4,0.2,0.1,0.9,1.4,4.5
1793,Bill Hosket,8-Jun,225lb,143,,9.8,1.6,3.4,0.485,,,,1.6,3.4,0.485,0.485,0.7,1,0.715,,,2.5,0.7,,,,1.5,4
1794,Bob Houbregs,7-Jun,210lb,281,,23.9,3.2,8,0.404,,,,3.2,8,0.404,0.404,2.8,3.9,0.721,,,5.5,1.8,,,,2.5,9.3
1795,Danuel House,7-Jun,207lb,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
1796,Eddie House,1-Jun,180lb,717,31,17.3,2.9,7.1,0.409,1.1,2.9,0.39,1.8,4.2,0.423,0.49,0.5,0.6,0.851,0.2,1.5,1.7,1.6,0.7,0.1,0.8,1.3,7.5
1797,Allan Houston,6-Jun,200lb,839,727,33.7,6.4,14.3,0.444,1.6,3.9,0.402,4.8,10.5,0.46,0.498,3.1,3.6,0.863,0.4,2.5,2.9,2.4,0.7,0.2,2.1,2.5,17.3
1798,Byron Houston,5-Jun,250lb,214,10,12.5,1.4,3.1,0.456,0,0.2,0.256,1.4,3,0.468,0.464,1,1.5,0.676,1.1,1.9,3,0.5,0.5,0.4,0.8,2.5,3.9
1799,Tom Hovasse,8-Jun,205lb,2,0,2,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0.5,0,0,0.5,0
1800,Brian Howard,6-Jun,204lb,95,22,17,2.5,5.5,0.458,0,0.1,0.222,2.5,5.4,0.462,0.459,1,1.3,0.752,0.9,1.9,2.8,0.9,0.7,0.4,0.9,2.9,6
1801,Dwight Howard,11-Jun,265lb,902,901,35.2,6.3,10.9,0.582,0,0.1,0.093,6.3,10.8,0.585,0.583,5,8.8,0.567,3.5,9.1,12.7,1.5,1,2.1,3,3.3,17.7
1802,Greg Howard,9-Jun,215lb,92,,9.3,1.3,3.3,0.388,,,,1.3,3.3,0.388,0.388,0.8,1.2,0.697,,,2.5,0.6,,,,1.3,3.4
1803,Josh Howard,7-Jun,210lb,507,403,30.3,5.4,12.2,0.448,0.7,2,0.332,4.8,10.1,0.471,0.476,2.8,3.6,0.77,1.7,4,5.7,1.6,1,0.5,1.4,2.6,14.3
1804,Juwan Howard,9-Jun,240lb,1208,900,30.3,5.4,11.5,0.469,0,0,0.12,5.4,11.5,0.47,0.469,2.5,3.3,0.764,1.9,4.2,6.1,2.2,0.7,0.3,2,2.9,13.4
1805,Mo Howard,2-Jun,170lb,32,,10.8,2,4.1,0.485,,,,2,4.1,0.485,0.485,0.8,1.1,0.686,0.5,0.7,1.2,1.3,0.5,0.3,,1.6,4.8
1806,Otis Howard,7-Jun,220lb,14,,8.1,1.7,4,0.429,,,,1.7,4,0.429,0.429,0.8,1.6,0.478,1.3,1.6,2.9,0.4,0.1,0.1,0.5,1.7,4.2
1807,Stephen Howard,9-Jun,225lb,120,0,6.5,1,2,0.481,0,0,,1,2,0.481,0.481,0.9,1.4,0.631,0.6,0.9,1.4,0.2,0.3,0.2,0.5,1.2,2.8
1808,Bailey Howell,7-Jun,210lb,950,,32.2,6.9,14.3,0.48,,,,6.9,14.3,0.48,0.48,5,6.6,0.762,,,9.9,2,,,,3.7,18.7
1809,Bob Hubbard,6-Jun,215lb,62,,,1.3,5.4,0.249,,,,1.3,5.4,0.249,0.249,0.9,1.4,0.674,,,,0.5,,,,1.2,3.6
1810,Phil Hubbard,8-Jun,215lb,665,287,23.9,4,8.1,0.495,0,0,0.038,4,8.1,0.498,0.495,2.8,4,0.706,2.3,3.1,5.3,1.3,0.9,0.1,2,3.1,10.9
1811,Lester Hudson,3-Jun,190lb,57,0,10.4,1.7,4.4,0.375,0.5,1.8,0.277,1.2,2.7,0.441,0.431,0.9,1.1,0.806,0.3,1.1,1.4,1.2,0.6,0.1,1,0.9,4.7
1812,Lou Hudson,5-Jun,210lb,890,,33.5,8.3,17,0.489,,,,8.3,17,0.489,0.489,3.5,4.4,0.797,1.2,1.9,4.4,2.7,1.4,0.3,1.6,2.7,20.2
1813,Troy Hudson,1-Jun,170lb,517,168,21.8,3.3,8.3,0.401,0.9,2.6,0.339,2.4,5.7,0.429,0.453,1.5,1.7,0.858,0.4,1.3,1.7,3.4,0.5,0.1,1.6,1.3,9
1814,Marcelo Huertas,3-Jun,200lb,64,1,15.6,1.7,4.1,0.41,0.3,1.1,0.229,1.4,3,0.476,0.441,0.5,0.6,0.821,0.3,1.3,1.6,3.4,0.5,0.1,1.5,1.3,4.1
1815,Josh Huestis,7-Jun,230lb,5,0,11,1,2.4,0.417,0.8,1.2,0.667,0.2,1.2,0.167,0.583,0,0.8,0,0.4,1.6,2,0,0.2,0.4,0.6,0.6,2.8
1816,Nate Huffman,1-Jul,245lb,7,0,10.9,1.3,3.6,0.36,0,0,,1.3,3.6,0.36,0.36,0.7,1.1,0.625,1.3,2,3.3,0.7,0.1,0.4,0.4,1.9,3.3
1817,Alfredrick Hughes,5-Jun,215lb,68,0,12.7,2.2,5.5,0.409,0,0.3,0.176,2.2,5.2,0.42,0.413,0.7,1.2,0.583,0.7,0.9,1.7,0.9,0.4,0.1,0.9,1.2,5.2
1818,Eddie Hughes,10-May,165lb,97,8,11.9,1.2,2.9,0.416,0.3,0.8,0.364,0.9,2.1,0.436,0.466,0.4,0.5,0.692,0.2,0.7,1,1.6,0.7,0,0.6,1.3,3.1
1819,Kim Hughes,11-Jun,220lb,425,,18.5,1.7,3.6,0.479,0,0,,1.7,3.6,0.479,0.479,0.4,0.9,0.397,2.1,3.4,5.6,0.9,1,1.2,1,3,3.8
1820,Larry Hughes,5-Jun,184lb,727,509,30.8,5.1,12.7,0.406,0.7,2.3,0.309,4.4,10.3,0.428,0.435,3.1,4.1,0.757,1,3.2,4.2,3.1,1.5,0.4,2.1,2.3,14.1
1821,Rick Hughes,9-Jun,235lb,21,0,10.7,1.7,3.4,0.486,0,0,0,1.7,3.4,0.493,0.486,0.6,1.2,0.462,1.1,1.2,2.3,0.4,0.1,0,0.7,1.4,3.9
1822,Robbie Hummel,8-Jun,215lb,98,9,14.3,1.5,3.6,0.418,0.5,1.4,0.343,1,2.1,0.469,0.487,0.4,0.5,0.867,0.7,2,2.7,0.5,0.3,0.1,0.3,1.5,3.9
1823,John Hummer,9-Jun,230lb,327,,22.7,2.7,6.1,0.438,,,,2.7,6.1,0.438,0.438,1.5,2.9,0.524,1.1,2.6,5.3,1.7,0.3,0.3,,2.8,6.9
1824,Ryan Humphrey,8-Jun,235lb,85,1,9.1,0.9,2.7,0.344,0,0,0,0.9,2.6,0.348,0.344,0.5,0.9,0.539,1,1.2,2.2,0.2,0.2,0.2,0.6,1.3,2.3
1825,Jay Humphries,3-Jun,185lb,788,557,29.3,4.4,9.3,0.476,0.3,0.9,0.297,4.2,8.4,0.496,0.491,2,2.5,0.782,0.7,1.9,2.5,5.5,1.5,0.1,1.9,2.8,11.1
1826,Kris Humphries,9-Jun,235lb,763,199,18,2.6,5.7,0.465,0.1,0.2,0.276,2.6,5.5,0.472,0.47,1.4,2.1,0.698,1.8,3.7,5.5,0.7,0.4,0.6,0.9,1.8,6.8
1827,Hot Rod Hundley,4-Jun,185lb,431,,22.2,3.2,9.2,0.347,,,,3.2,9.2,0.347,0.347,2,2.8,0.721,,,3.3,3.4,,,,1.8,8.4
