ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2195,Jon Koncak,Jul-00,250lb,784,379,20.9,1.8,3.9,0.47,0,0.1,0.226,1.8,3.8,0.477,0.473,0.8,1.3,0.597,1.4,3.6,4.9,1,0.7,1,0.8,3.2,4.5
2196,Tom Kondla,8-Jun,225lb,42,,8.4,1.4,3.5,0.4,0,0,0,1.4,3.4,0.403,0.4,0.5,1.1,0.478,1.1,1.9,3,0.3,,,0.5,1.3,3.3
2197,Bud Koper,6-Jun,210lb,54,,11.7,2,4.5,0.44,,,,2,4.5,0.44,0.44,0.6,0.8,0.833,,,1.1,0.8,,,,1.1,4.6
2198,Joe Kopicki,9-Jun,240lb,118,3,10.1,1.2,2.4,0.493,0,0.1,0.273,1.1,2.3,0.502,0.498,1.3,1.6,0.812,0.9,1.7,2.7,0.7,0.3,0.1,0.6,1.3,3.7
2199,Frank Kornet,9-Jun,225lb,89,0,6.7,0.7,2,0.369,0.1,0.4,0.263,0.6,1.6,0.399,0.398,0.3,0.6,0.596,0.4,0.7,1.1,0.3,0.2,0,0.4,0.9,1.9
2200,Yaroslav Korolev,9-Jun,203lb,34,0,4.9,0.4,1.4,0.283,0.1,0.4,0.25,0.3,1,0.294,0.315,0.3,0.5,0.625,0.2,0.3,0.5,0.4,0.2,0,0.2,0.3,1.1
2201,Kyle Korver,7-Jun,212lb,985,415,26.6,3.4,7.8,0.442,2,4.6,0.429,1.5,3.2,0.461,0.568,1.1,1.3,0.879,0.3,2.8,3.1,1.8,0.7,0.3,1.1,2.2,10
2202,Tony Koski,8-Jun,215lb,5,,6,0.4,1.4,0.286,0,0,,0.4,1.4,0.286,0.286,0.4,0.4,1,0.8,0.6,1.4,0.8,,,0.4,1.8,1.2
2203,Len Kosmalski,Jul-00,245lb,76,,6.7,0.5,1.4,0.398,,,,0.5,1.4,0.398,0.398,0.4,0.5,0.778,0.5,1.4,1.9,0.7,0.1,0.1,,1,1.4
2204,Andy Kostecka,3-Jun,203lb,21,,,2.2,5.2,0.418,,,,2.2,5.2,0.418,0.418,2,3.3,0.614,,,,0.7,,,,2.3,6.4
2205,Harold Kottman,8-Jun,220lb,53,,,1.1,3.5,0.314,,,,1.1,3.5,0.314,0.314,0.9,1.9,0.465,,,,0.3,,,,1.1,3.1
2206,Kosta Koufos,Jul-00,265lb,523,170,16,2.5,4.7,0.528,0,0,0,2.5,4.7,0.529,0.528,0.7,1.1,0.601,1.8,3.1,4.8,0.4,0.4,0.8,0.7,2,5.6
2207,Tom Kozelko,8-Jun,220lb,189,,10.1,0.9,2.1,0.419,,,,0.9,2.1,0.419,0.419,0.4,0.5,0.745,0.6,1.2,1.8,0.5,0.4,0.1,,1.5,2.2
2208,Ronald Kozlicki,7-Jun,215lb,37,,9.6,1.1,3.3,0.339,0.2,0.8,0.207,0.9,2.5,0.38,0.364,0.6,0.9,0.618,,,1.9,0.4,,,0.5,0.8,2.9
2209,Arvid Kramer,9-Jun,220lb,8,,5.6,0.9,2.8,0.318,0,0,,0.9,2.8,0.318,0.318,0.3,0.3,1,0.8,0.8,1.5,0.4,0,0.6,0.6,1,2
2210,Barry Kramer,4-Jun,200lb,59,,9.5,1.2,3.7,0.336,0,0.1,0,1.2,3.7,0.338,0.336,1.1,1.6,0.728,1,0.9,1.9,0.7,,,1.6,1.3,3.6
2211,Joel Kramer,7-Jun,203lb,328,4,12.8,1.5,3.1,0.479,0,0,0,1.5,3.1,0.481,0.479,0.9,1.2,0.737,1,1.8,2.8,1,0.4,0.2,0.8,1.8,3.8
2212,Steven Kramer,5-Jun,200lb,124,,18.5,3.1,7.1,0.429,0,0.1,0.125,3.1,7.1,0.432,0.43,2.3,3,0.78,0.9,1,2.5,1.9,,,1.7,2.5,8.5
2213,Dan Kraus,Jun-00,195lb,13,,,0.4,2.7,0.143,,,,0.4,2.7,0.143,0.143,0.8,1.8,0.458,,,,0.5,,,,1.8,1.6
2214,Herb Krautblatt,1-Jun,190lb,10,,,0.4,1.8,0.222,,,,0.4,1.8,0.222,0.222,0.5,1.1,0.455,,,,0.4,,,,1.4,1.3
2215,Viacheslav Kravtsov,Jul-00,260lb,45,0,6.3,0.9,1.4,0.672,0,0,,0.9,1.4,0.672,0.672,0.3,1,0.333,0.7,0.6,1.4,0.2,0.1,0.2,0.4,0.9,2.2
2216,Jim Krebs,8-Jun,230lb,515,,20.7,3.3,8.1,0.405,,,,3.3,8.1,0.405,0.405,1.4,1.9,0.755,,,6.2,0.8,,,,3,8
2217,Wayne Kreklow,4-Jun,175lb,25,0,4,0.4,1.9,0.234,0,0.2,0.25,0.4,1.7,0.233,0.245,0.3,0.4,0.7,0.1,0.4,0.5,0.4,0.1,0,0.4,0.8,1.2
2218,Tommy Kron,5-Jun,200lb,224,,16.2,2.3,5.8,0.387,0.2,0.5,0.368,2.2,5.7,0.387,0.39,1.5,1.9,0.768,0.6,1.1,3,2.7,,,1.5,2.3,6
2219,Tom Kropp,3-Jun,205lb,78,,7.1,1,2.3,0.44,,,,1,2.3,0.44,0.44,0.4,0.6,0.702,0.3,0.5,0.8,0.6,0.3,0,,1.2,2.5
2220,Nenad Krstic,Jul-00,240lb,419,373,25.2,4.1,8.3,0.494,0,0,0.143,4.1,8.3,0.495,0.494,1.8,2.5,0.73,1.8,3.6,5.4,0.8,0.4,0.7,1.2,3,10
2221,Larry Krystkowiak,9-Jun,220lb,420,134,21.7,3.1,6.7,0.457,0,0.1,0.139,3.1,6.7,0.461,0.458,2,2.5,0.795,1.5,3.4,4.9,1.2,0.6,0.1,1.2,2.5,8.2
2222,Steve Kuberski,8-Jun,215lb,568,,13.9,2.2,5.3,0.417,,,,2.2,5.3,0.417,0.417,1.1,1.4,0.767,1.1,1.8,3.8,0.6,0.1,0.1,0.7,1.6,5.5
2223,Leo Kubiak,11-May,160lb,62,,,4.2,12.8,0.326,,,,4.2,12.8,0.326,0.326,3.1,3.8,0.814,,,,3.2,,,,4,11.5
2224,Bruce Kuczenski,10-Jun,230lb,15,2,7.9,0.7,2.5,0.27,0,0,,0.7,2.5,0.27,0.27,0.5,0.8,0.667,0.5,1.1,1.5,0.5,0.1,0.1,1,1.2,1.9
2225,Frank Kudelka,2-Jun,193lb,228,,21.3,2.7,8.1,0.331,,,,2.7,8.1,0.331,0.331,1.8,2.6,0.708,,,3.2,2.1,,,,3.2,7.2
2226,John Kuester,2-Jun,180lb,135,,11.3,1.3,3,0.427,0,0,0,1.3,3,0.428,0.427,0.8,0.9,0.833,0.2,0.8,1,2.3,0.6,0,0.9,1.3,3.3
2227,Ray Kuka,3-Jun,200lb,52,,,1.9,5.9,0.32,,,,1.9,5.9,0.32,0.32,1.1,1.8,0.591,,,,0.7,,,,2.6,4.9
2228,Toni Kukoc,10-Jun,192lb,846,259,26.3,4.3,9.6,0.447,0.9,2.6,0.335,3.4,7,0.488,0.492,2.1,2.9,0.729,1.2,3,4.2,3.7,1,0.3,1.8,1.7,11.6
2229,Kevin Kunnert,Jul-00,230lb,555,0,21.8,3.6,7.7,0.476,0,0,,3.6,7.7,0.476,0.476,1,1.5,0.682,2.5,4.8,7.3,1.4,0.5,1.1,1.5,3.5,8.3
2230,Terry Kunze,4-Jun,210lb,46,,14.4,1.8,5.3,0.339,0.1,0.2,0.455,1.7,5.1,0.333,0.349,1.3,2.2,0.578,,,1.6,1,,,1.3,1.7,5
2231,Mitch Kupchak,9-Jun,230lb,510,32,19.4,3.9,7.5,0.523,0,0,0,3.9,7.5,0.523,0.523,2.3,3.3,0.704,1.9,3.5,5.4,0.7,0.3,0.3,1.6,2.2,10.2
2232,C.J. Kupec,6-Jun,220lb,147,,10.8,1.7,3.9,0.427,,,,1.7,3.9,0.427,0.427,0.8,1,0.772,0.7,1.4,2.1,0.7,0.2,0,0.5,1.2,4.1
2233,Rob Kurz,9-Jun,232lb,40,5,11.1,1.3,3.3,0.389,0.4,1,0.395,0.9,2.3,0.387,0.447,1,1.3,0.8,0.8,1.2,2,0.5,0.4,0.5,0.4,2,3.9
2234,Ibo Kutluay,6-Jun,200lb,5,0,2.4,0,0.2,0,0,0,,0,0.2,0,0,0,0,,0,0.2,0.2,0,0,0,0.4,0.2,0
2235,Ognjen Kuzmic,1-Jul,251lb,37,0,4.4,0.4,0.7,0.52,0,0,,0.4,0.7,0.52,0.52,0.2,0.4,0.6,0.5,0.6,1,0.2,0.1,0.1,0.4,0.8,0.9
2236,Mindaugas Kuzminskas,9-Jun,215lb,19,0,11.6,1.6,4,0.395,0.7,2,0.368,0.8,2,0.421,0.487,0.5,0.6,0.833,0.6,0.9,1.5,0.9,0.4,0.1,0.5,0.9,4.4
