ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
189,Brion Sanchious,27,16.4,1,1.8,0.551,1,1.8,0.551,0,0,,0.3,0.9,0.333,3.3,0.4,0.2,0.5,0.7,2.2,2.3
190,Kyle Sanden,72,,1.7,3.5,0.478,1.5,3.2,0.483,0.1,0.3,0.429,0.5,0.8,0.632,2.1,0.6,0.3,0.5,,,4
191,Thomas Sander,128,,3,5.4,0.551,2.7,4.5,0.597,0.3,0.9,0.319,1.3,2,0.626,4.8,1,0.7,0.2,1.3,,7.5
192,Aerick Sanders,109,,3.1,5.7,0.54,3.1,5.7,0.54,0,0,0,1.3,1.9,0.676,6.3,0.7,0.7,1,,,7.4
193,Alex Sanders,97,,4.2,8.8,0.481,3.2,5.7,0.566,1,3,0.318,1.3,2.2,0.575,6,2.4,1.1,0.6,,,10.6
194,Alton Sanders,26,,2.2,6.9,0.322,1.2,3.2,0.386,1,3.7,0.268,1.5,2.4,0.635,2.5,3.3,1.3,0.1,,,7
195,Amory Sanders,55,,2.1,5,0.422,0.4,1.1,0.355,1.7,3.9,0.441,0.8,1,0.815,1.4,1.1,0.5,0,,,6.7
196,Ben Sanders,6,4.2,0.7,1.3,0.5,0.5,1,0.5,0.2,0.3,0.5,0.2,0.3,0.5,0.5,0.3,0,0,0.5,0.7,1.7
197,Ben Sanders,73,,2.1,4.6,0.445,1.9,4,0.471,0.2,0.6,0.262,1.5,2.8,0.537,2.4,2,0.9,0.2,,,5.7
198,Bryan Sanders,58,,0.9,2.4,0.37,0.7,1.7,0.402,0.2,0.7,0.293,0.8,1.1,0.688,1.7,0.4,0.2,0.2,,,2.7
199,Bryon Sanders,120,,0.6,1.4,0.412,0.6,1.4,0.412,0,0,,0.3,0.8,0.409,1.8,0.3,0.2,0.2,,,1.5
200,Casey Sanders,124,,0.9,1.8,0.529,0.9,1.8,0.529,0,0,,0.8,1.6,0.518,2.5,0.2,0.2,1,,,2.7
201,Charles Sanders,28,,3.1,7.2,0.438,2.8,5.8,0.472,0.4,1.4,0.289,2.4,3.6,0.68,4.4,1.9,2.1,0.3,,,9.1
202,Chris Sanders,48,,2.5,6,0.418,1,2.2,0.481,1.5,3.8,0.383,1.2,1.6,0.787,2.3,0.6,0.4,0.1,,,7.7
203,Christian Sanders,97,13.3,0.7,2.2,0.322,0.5,1.5,0.369,0.2,0.7,0.229,0.8,1,0.788,1.3,1.5,0.4,0,0.9,1.1,2.4
204,Clarence Sanders,60,,4.8,12,0.401,2.7,5.7,0.474,2.1,6.3,0.336,1.4,1.9,0.717,2,1.6,1.1,0.3,,,13.1
205,Corey Sanders,92,,1.2,2.6,0.456,1.2,2.6,0.462,0,0,0,0.6,1.2,0.542,2.4,0.6,0.3,0.4,,,3
