ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
627,Jake Carter,4-Jun,195lb,24,,,1,3.1,0.307,,,,1,3.1,0.307,0.307,1.5,2.2,0.679,,,,1,,,,2.5,3.4
628,Maurice Carter,5-Jun,210lb,10,0,11,1.1,3.5,0.314,0.4,1.1,0.364,0.7,2.4,0.292,0.371,1.6,2,0.8,0.2,0.9,1.1,0.4,0,0,0.9,1,4.2
629,Reggie Carter,3-Jun,175lb,135,1,10.8,1.3,3.4,0.388,0,0,0,1.3,3.4,0.39,0.388,0.9,1.1,0.772,0.5,0.7,1.2,1.5,0.4,0.1,0.9,1.4,3.5
630,Ron Carter,5-Jun,190lb,59,,7.6,1.2,2.7,0.429,0,0,,1.2,2.7,0.429,0.429,0.6,1,0.623,0.4,0.6,1.1,0.6,0.3,0.2,0.8,1.2,3
631,Vince Carter,6-Jun,220lb,1292,954,32.4,6.8,15.4,0.438,1.5,4.1,0.372,5.2,11.4,0.462,0.487,3.6,4.5,0.799,1.2,3.4,4.6,3.4,1.1,0.6,1.9,2.7,18.7
632,Michael Carter-Williams,6-Jun,190lb,193,170,32.4,5.4,13.2,0.411,0.6,2.2,0.256,4.9,11,0.442,0.432,2.9,4.3,0.691,1.1,4.5,5.6,6.1,1.7,0.6,3.4,2.8,14.3
633,Bill Cartwright,1-Jul,245lb,963,676,28.5,4.8,9.2,0.525,0,0,0,4.8,9.2,0.525,0.525,3.5,4.6,0.771,1.9,4.5,6.3,1.4,0.5,0.7,2,2.9,13.2
634,Jay Carty,8-Jun,220lb,28,,6.9,1.2,3.2,0.382,,,,1.2,3.2,0.382,0.382,0.3,0.4,0.727,,,2.1,0.4,,,,1.1,2.7
635,Cornelius Cash,8-Jun,215lb,6,,8.2,1.5,3.8,0.391,,,,1.5,3.8,0.391,0.391,0.5,1,0.5,1.3,1.3,2.7,0.2,0.3,0.2,,1.3,3.5
636,Sam Cash,8-Jun,230lb,7,,7.4,0.6,2.6,0.222,0,0,,0.6,2.6,0.222,0.222,1.7,2.4,0.706,1.6,1.1,2.7,0,0.7,0.4,2.3,1.6,2.9
637,Sam Cassell,3-Jun,185lb,993,690,30,5.7,12.6,0.454,0.7,2,0.331,5.1,10.6,0.477,0.48,3.6,4.2,0.861,0.6,2.6,3.2,6,1.1,0.2,2.4,2.8,15.7
638,Omri Casspi,9-Jun,225lb,475,137,21.6,3.1,7,0.442,1,2.6,0.367,2.1,4.3,0.487,0.511,1.3,1.9,0.678,0.9,3.3,4.2,1.2,0.6,0.2,1.1,1.6,8.4
639,Harvey Catchings,9-Jun,218lb,725,59,18.2,1.3,2.9,0.435,0,0,0,1.3,2.9,0.436,0.435,0.7,1,0.647,1.7,3.3,5,0.8,0.4,1.7,1.1,2.8,3.2
640,Terry Catledge,8-Jun,220lb,515,379,26.3,5,10.3,0.485,0,0.1,0.094,5,10.3,0.487,0.485,2.7,4.1,0.654,2.9,3.6,6.4,0.9,0.6,0.2,1.7,2.5,12.7
