ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2322,Kawhi Leonard,7-Jun,230lb,347,320,30.1,5.6,11.2,0.496,1.2,3.1,0.391,4.4,8.2,0.535,0.549,2.6,3.1,0.84,1.3,5,6.3,2,1.8,0.7,1.2,1.8,14.9
2323,Meyers Leonard,1-Jul,245lb,247,30,16.6,2.3,4.7,0.476,0.6,1.7,0.376,1.6,3,0.534,0.545,0.7,0.8,0.823,0.9,3.2,4.1,0.8,0.2,0.3,0.8,2.4,5.8
2324,Slick Leonard,3-Jun,185lb,426,,27.3,3.7,10.6,0.349,,,,3.7,10.6,0.349,0.349,2.5,3.3,0.745,,,2.9,3.3,,,,2.1,9.9
2325,Jim Les,11-May,165lb,321,13,13.2,1.2,2.9,0.397,0.6,1.5,0.396,0.5,1.4,0.397,0.501,0.8,1,0.818,0.3,1,1.2,2.9,0.5,0.1,0.9,1.3,3.8
2326,Travis Leslie,4-Jun,205lb,10,0,4.5,0.5,1.4,0.357,0,0,,0.5,1.4,0.357,0.357,0.4,0.9,0.444,0.6,0.3,0.9,0.5,0.2,0.2,0.2,0.4,1.4
2327,Ronnie Lester,2-Jun,175lb,250,116,19.8,2.7,5.8,0.469,0,0.1,0.227,2.7,5.7,0.472,0.47,1.8,2.3,0.788,0.6,1.3,1.9,4,0.7,0.1,1.9,1.6,7.3
2328,Clifford Lett,3-Jun,170lb,11,0,11.5,1.5,3.4,0.432,0,0.1,0,1.5,3.3,0.444,0.432,0.5,0.8,0.667,0.1,0.5,0.6,0.7,0.2,0.1,0.9,1.5,3.5
2329,Jon Leuer,10-Jun,228lb,277,45,14.8,2.5,5.2,0.479,0.3,1,0.361,2.1,4.2,0.506,0.513,0.8,1,0.736,0.9,2.9,3.8,0.8,0.4,0.3,0.7,1.5,6.1
2330,Andrew Levane,2-Jun,190lb,103,,9.7,1.9,6.2,0.31,,,,1.9,6.2,0.31,0.31,0.7,1.1,0.633,,,1.3,2,,,,1.5,4.5
2331,Fat Lever,3-Jun,170lb,752,599,31.7,5.6,12.6,0.447,0.2,0.7,0.31,5.4,11.9,0.455,0.455,2.4,3.1,0.771,1.9,4.1,6,6.2,2.2,0.3,2,2.4,13.9
