ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
430,Kevin Elliott,46,,1,3,0.353,0.8,2.1,0.365,0.3,0.9,0.325,0.6,1.2,0.527,1.5,0.8,0.4,0,,,3
431,Matt Elliott,28,,1.4,2.8,0.494,0.9,1.5,0.581,0.5,1.2,0.382,1,1.5,0.683,2.6,0.4,0.5,0.2,,,4.2
432,Mike Elliott,58,,2.4,5.3,0.462,2.1,4,0.517,0.3,1.2,0.282,1.7,2.2,0.738,1.9,3.7,1.2,0.3,,,6.9
433,Rashad Elliott,26,,1.2,3.8,0.323,0.9,2.9,0.32,0.3,0.9,0.333,0.8,1.7,0.5,2.5,4.8,1.1,0,,,3.6
434,Reggie Elliott,56,,6.4,15.5,0.415,4.9,10.2,0.475,1.6,5.3,0.298,4,5.3,0.758,5.5,3.5,2.1,0.5,,,18.5
435,Rodney Elliott,123,,2.8,5.7,0.487,2.4,4.7,0.521,0.3,1,0.336,1.7,2.5,0.686,4.6,1,0.5,0.4,,,7.7
436,Rodney Elliott,64,29.4,4,9.5,0.426,2.6,5.3,0.5,1.4,4.2,0.333,3.8,5,0.743,3.4,3.5,1,0,3,3.1,13.2
437,Sean Elliott,133,33.8,6.7,13.2,0.512,5.6,10.5,0.538,1.4,3,0.456,4.7,5.9,0.793,6.1,3.4,0.8,0.3,2.8,1.8,19.2
438,Stanley Elliott,127,23,1.8,4.4,0.404,1.6,3.5,0.45,0.2,0.9,0.231,1.2,1.9,0.623,2.6,1,0.9,0.3,1.1,2,5
439,Travis Elliott,120,18.3,1.3,3,0.424,1.3,3,0.424,0,0,,0.8,1.5,0.519,4.1,0.3,0.4,0.3,1,2.7,3.3
440,Aaron Ellis,136,18.3,1.4,3.3,0.436,1.4,3.1,0.452,0.1,0.3,0.235,0.5,0.8,0.626,3.2,0.4,0.3,0.3,0.7,1.1,3.4
441,Adam Ellis,2,,0.5,1,0.5,0.5,1,0.5,0,0,,0,0,,0.5,0,0,0,,,1
442,Akeem Ellis,60,32,4.2,9.7,0.426,2.4,5.1,0.477,1.7,4.6,0.371,2.4,4,0.602,5.6,2.8,0.7,0.3,2.6,2.4,12.4
443,Alvin Ellis,111,8.3,0.7,1.8,0.397,0.4,0.9,0.441,0.3,0.9,0.351,0.5,0.8,0.584,1,0.7,0.4,0.1,0.6,1,2.2
444,Andy Ellis,104,,5,10.4,0.482,4.7,9.4,0.495,0.4,1,0.358,3.4,4.6,0.73,6.4,0.9,0.8,1,,,13.8
445,Bo Ellis,119,36.8,5.7,11.6,0.487,,,,,,,2.6,3.6,0.726,9.1,,,,,,14
446,Brandon Ellis,100,20.8,2.8,6.9,0.399,1.8,3.9,0.456,1,3,0.326,1.2,1.8,0.693,2.4,0.8,0.6,0.2,1.5,1.6,7.7
