ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
4231,Reggie Butler,93,,0.7,1.5,0.468,0.7,1.5,0.471,0,0,0,0.5,0.8,0.633,1.9,0.3,0.2,0.3,,,2
4232,Robert Butler,50,,1.1,4.1,0.279,0.4,1.3,0.302,0.8,2.8,0.27,0.4,0.5,0.692,1.4,0.3,0.6,0.1,,,3.4
4233,Ryan Butler,132,28,2.3,5.3,0.429,1,1.9,0.551,1.3,3.5,0.364,0.8,1.1,0.717,2.8,1.8,1.3,0.2,1.4,0.8,6.6
4234,Ryan Butler,1,,0,0,,0,0,,0,0,,0,0,,1,0,0,0,,,0
4235,Santoine Butler,43,8.9,1.3,2.2,0.568,1.3,2.2,0.568,0,0,,0.6,0.9,0.676,1.8,0.1,0.1,0.6,0.5,1.4,3.1
4236,Sharif Butler,30,,2.8,7.8,0.356,1.8,4.2,0.425,1,3.5,0.274,1,1.8,0.545,2.6,1.4,0.8,0.2,,,7.5
4237,Torrey Butler,101,,5.3,10.7,0.494,4.2,8.2,0.518,1.1,2.6,0.419,2.9,4.1,0.705,4.8,1,0.8,0.1,,,14.5
4238,Torry Butler,42,20.1,2.5,5.3,0.482,2.2,4.2,0.537,0.3,1.1,0.277,1.2,2,0.612,6.2,1.4,0.8,0.4,1.1,2.7,6.6
4239,Tramaine Butler,120,27.5,3.1,8.2,0.382,2.2,5.1,0.436,0.9,3.1,0.294,1.9,3.6,0.522,3.8,1.6,1.4,0.2,1.8,2.2,9.1
4240,William Butler,21,,1.5,3.1,0.477,1.5,2.9,0.508,0,0.2,0,0.5,0.9,0.579,2.2,0.6,0.3,0,,,3.5
4241,William Butler,15,,0.1,0.7,0.091,0.1,0.3,0.25,0,0.5,0,0.2,0.3,0.75,0.3,0.5,0,0.1,,,0.3
4242,Paul Butorac,113,,3.2,5.5,0.593,3.1,5,0.616,0.1,0.4,0.313,1.9,3.1,0.608,4.4,1.1,0.3,0.9,,,8.5
4243,Ryan Butt,114,,3.2,7,0.459,2.8,5.6,0.495,0.4,1.4,0.314,1.6,2.1,0.746,4.8,1,0.5,0.5,,,8.4
4244,Jeremy Buttell,107,33.2,2.1,4.8,0.442,1.5,2.8,0.523,0.6,2,0.325,0.9,1.4,0.664,5,0.5,0.5,0.2,1,0.8,5.8
4245,Darryl Butterfield,59,,1.7,3.8,0.446,1.5,3,0.486,0.2,0.8,0.289,0.7,1.1,0.606,2.4,0.7,0.7,0.1,0.9,,4.3
4246,Spencer Butterfield,61,30,4.3,8.9,0.479,2.4,4.6,0.511,1.9,4.3,0.445,2.1,2.5,0.832,6.4,2.6,0.7,0.3,1.7,2.2,12.6
4247,Nolan Butterfras,62,,0.6,1.3,0.474,0.6,1.3,0.474,0,0,,0.3,0.6,0.514,1.4,0.1,0,0.1,,,1.5
4248,Carey Butterworth,3,,0,0.3,0,0,0,,0,0.3,0,0,0,,0,0.3,0,0,,,0
4249,Craig Butts,20,,0.8,2.1,0.381,0.8,2.1,0.366,0.1,0.1,1,0.5,0.7,0.643,1.2,0.1,0.2,0.1,,,2.1
