ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
2796,Will Hornsby,22,20,1.2,4.4,0.268,0.9,2.3,0.373,0.3,2.1,0.152,0.8,1.5,0.529,1.9,2.2,0.6,0.1,2.6,1.4,3.5
2797,Brian Hornstein,46,3.9,0.4,1,0.404,0.4,1,0.413,0,0,0,0,0.2,0.25,0.8,0,0.1,0.2,0.2,0.6,0.9
2798,Pierce Hornung,123,24.7,2.5,4.2,0.587,2.3,3.7,0.627,0.1,0.5,0.29,0.8,1.4,0.584,6.5,1.5,1.3,0.5,1.1,2.9,5.9
2799,Bobby Horodyski,16,1.6,0.1,0.1,0.5,0,0,,0.1,0.1,0.5,0,0,,0.3,0.1,0,0,0.2,0.1,0.2
2800,Jeff Horowitz,62,,1.7,3.6,0.468,1.4,2.8,0.483,0.3,0.7,0.413,0.6,0.7,0.778,3.4,0.5,0.3,0.5,,,4.2
2801,Matt Horrin,47,,2.5,7.2,0.35,1.1,2.9,0.394,1.4,4.3,0.32,1,1.4,0.731,2.1,1.6,0.6,0,,,7.4
2802,Robert Horry,133,28.2,4.3,9.4,0.458,3.3,6.8,0.492,1,2.6,0.371,2.4,3.2,0.742,7,1.4,1.3,2.2,2.2,2.8,12
2803,Solomon HorseChief,33,,2,4.8,0.414,1.2,2.2,0.535,0.8,2.6,0.314,1.5,1.9,0.762,1.2,2.4,0.6,0.1,0.7,,6.2
2804,Zach Horstman,106,11.3,1.1,2.7,0.426,0.8,1.5,0.509,0.4,1.1,0.314,0.6,0.9,0.684,1.8,0.5,0.2,0.1,0.4,1.2,3.3
2805,Anthony Horton,1,16,1,5,0.2,1,3,0.333,0,2,0,2,2,1,1,0,1,0,2,4,4
2806,Anthony Horton,78,15.8,2.4,4.9,0.491,1.8,3.1,0.575,0.6,1.8,0.345,0.8,1.3,0.643,2.5,0.7,0.3,0.4,1.1,2,6.2
2807,Bryan Horton,23,5,0.1,0.6,0.214,0.1,0.5,0.25,0,0.1,0,0.1,0.4,0.3,0.3,0.2,0,0,0.2,0.1,0.4
2808,Carlos Horton,4,,1.5,2,0.75,1.5,2,0.75,0,0,,1.3,1.5,0.833,2,0,0.3,0.3,,,4.3
2809,Chris Horton,127,31,5.2,9.4,0.552,5.2,9.4,0.552,0,0,0,3.1,5,0.624,9.9,1.1,1,2.5,2.1,2.3,13.5
2810,Cortney Horton,38,,0.8,2.2,0.349,0.8,2.2,0.354,0,0,0,0.5,0.7,0.692,1.2,0.5,0.3,0.1,1,,2
2811,Daniel Horton,110,,4.8,12.1,0.396,2.7,6.1,0.432,2.1,5.9,0.358,3,3.8,0.796,2.6,4.4,1.7,0.3,,,14.7
2812,Ed Horton,132,22.3,4.2,8.2,0.516,,,,,,,1.9,3.4,0.555,6.6,,0.6,0.3,2.4,2.9,10.4
2813,Ed Horton,58,,2.6,6.5,0.401,1.7,3.9,0.427,0.9,2.6,0.362,1.7,2.3,0.756,2.7,2.5,1.1,0.1,,,7.9
2814,Jamaal Horton,13,,1.8,4.7,0.393,0.4,1.1,0.357,1.5,3.6,0.404,0.5,1.2,0.438,1.2,0.9,1,0,,,5.7
2815,Jason Horton,118,,1.5,4.2,0.357,0.8,2,0.393,0.7,2.2,0.324,0.9,1.5,0.576,2.2,3.5,1.3,0,1.1,,4.6
2816,Jason Horton,26,,0.2,0.4,0.455,0.2,0.4,0.455,0,0,,0.2,0.2,0.667,1.1,0.2,0,0.2,,,0.5
2817,Jumoke Horton,82,,3.8,6.2,0.605,3.8,6.2,0.605,0,0,,2.5,4.1,0.603,6.3,0.4,0.4,0.9,,,10
2818,Ka'Reem Horton,27,,2,5.2,0.393,1.7,3.8,0.461,0.3,1.4,0.211,0.7,1.4,0.5,2.2,1,0.6,0.2,,,5.1
2819,Kantrail Horton,66,,2.9,7.4,0.395,1.3,3.2,0.41,1.6,4.2,0.383,2.2,2.7,0.816,4.7,2.8,0.8,0.2,,,9.7
2820,Ken Horton,116,35,6.2,12.3,0.505,4.8,8.4,0.577,1.4,3.9,0.351,3.2,3.9,0.814,7.3,1.6,1.2,1.7,1.8,1.3,16.9
2821,Kyhl Horton,20,,4.7,10.6,0.443,3.3,6.4,0.508,1.5,4.2,0.345,2,3,0.65,8,0.9,2,0.4,,,12.8
2822,Michael Horton,29,,2.2,4.8,0.457,2.2,4.5,0.481,0,0.2,0,1.6,3.5,0.461,2.3,4.8,1.9,0.2,,,6
2823,Micheal Horton,28,,1.3,2.9,0.457,1.3,2.8,0.468,0,0.1,0,1,2,0.491,1.4,3.5,1.3,0.1,,,3.6
2824,Patrick Horton,72,,1.1,3.8,0.28,0.4,1.3,0.356,0.6,2.5,0.243,0.4,0.6,0.636,1.4,0.8,0.3,0.1,,,3.1
2825,R.L. Horton,131,31.7,4,10,0.402,3.1,7.2,0.432,0.9,2.8,0.325,2.5,3.6,0.708,2.9,2,0.7,0.1,1.4,1,11.5
2826,Reece Horton,15,,0.3,0.9,0.357,0.3,0.9,0.357,0,0,,0.2,0.5,0.429,1.2,0.1,0.1,0,,,0.9
2827,Rodney Horton,75,,2.7,6.6,0.411,1.7,3.7,0.459,1,2.9,0.349,0.8,1.3,0.604,3,0.8,0.5,0.3,,,7.2
2828,Ron Horton,1,,0,2,0,0,2,0,0,0,,0,0,,0,0,0,0,,,0
2829,Steve Horton,30,,1,4.5,0.23,0.5,2.2,0.227,0.5,2.3,0.232,0.6,0.8,0.739,1,2.3,0.7,0,,,3.2
2830,Terry Horton,109,,2.9,6.3,0.462,2.3,4.3,0.531,0.6,2,0.315,1,1.5,0.689,3,0.6,0.6,0.2,,,7.5
2831,Tim Horton,58,,4.8,12.2,0.393,3.6,8.1,0.441,1.2,4.1,0.298,3,4,0.748,4.5,4.7,1.3,0.1,,,13.8
2832,Ugur Hortum,27,15.2,1,2.9,0.333,0.7,2.1,0.345,0.2,0.7,0.3,0.6,1,0.63,2.6,0.4,0.2,0.1,1,1.8,2.8
2833,Nick Horvath,133,,0.9,2.1,0.448,0.7,1.2,0.614,0.2,0.9,0.242,0.5,0.8,0.622,2.1,0.3,0.3,0.3,,,2.6
