ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1068,Bronson Koenig,122,26.4,3.1,7.4,0.414,1.5,3.2,0.462,1.6,4.2,0.378,1.2,1.5,0.787,2,2,0.3,0.2,1,1.7,9
1069,Tyler Koenig,56,,1.5,2.8,0.541,1.5,2.8,0.535,0.1,0.1,0.75,0.7,1.3,0.535,2.9,0.3,0.3,0.2,,,3.8
1070,Brice Kofane,111,15.1,1.1,2.2,0.5,1.1,2.2,0.5,0,0,,0.8,1.4,0.554,3.6,0.3,0.3,1.1,1.1,2.3,3
1071,Cedric Koffi,18,15.9,1.1,3.4,0.328,0.3,1.3,0.25,0.8,2.1,0.378,0.3,0.4,0.714,1.1,1.3,0.6,0.1,1.6,0.8,3.3
1072,Francis Koffi,27,,1.7,3.9,0.452,1.7,3.8,0.461,0,0.1,0,0.9,1.3,0.667,2.6,0.5,0.3,0.2,,,4.4
1073,Cameron Koford,88,,1,1.9,0.536,1,1.9,0.536,0,0,,0.6,0.9,0.63,2,0.3,0.3,0.8,,,2.6
1074,Chris Koford,59,,0.8,1.8,0.463,0.7,1.5,0.5,0.1,0.3,0.3,0.6,0.8,0.756,1.9,0.4,0.3,0.4,,,2.4
1075,Antjuan Koger,104,,0.9,2.4,0.371,0.4,0.9,0.469,0.4,1.4,0.307,0.4,0.5,0.725,1.5,0.3,0.2,0.1,,,2.6
1076,Steve Koger,111,,3.5,9.5,0.361,2.3,5.5,0.42,1.2,4.1,0.283,1.8,2.8,0.629,2.2,0.9,0.9,0.1,,,9.8
1077,Ifeanyi Koggu,60,,1.3,3.5,0.374,1.2,3.1,0.384,0.1,0.4,0.308,1.4,2,0.706,2.3,3.4,0.8,0.1,1.3,,4.2
1078,Jarrod Kohl,23,,0,0.4,0.111,0,0.4,0.111,0,0,,0,0.1,0.5,0.3,0,0,0.2,,,0.1
1079,Chris Kohles,27,,0.3,0.7,0.474,0.3,0.7,0.5,0,0,0,0.3,0.6,0.438,0.5,0,0,0,,,0.9
1080,Paul Kohlheim,22,,0.3,1.8,0.175,0.3,1.7,0.184,0,0.1,0,0.6,0.9,0.684,1.1,0.1,0.1,0.2,0.6,,1.2
1081,Greg Kohls,32,,0.1,0.5,0.25,0,0.2,0,0.1,0.3,0.4,0.1,0.2,0.429,0.1,0.1,0,0,,,0.5
1082,Daniel Kohn,22,,1,2.5,0.418,1,2.5,0.418,0,0,,1.8,2.4,0.755,4,0.7,0.4,0.1,,,3.9
1083,Josh Kohn,82,,4.6,10.4,0.438,1.6,3.3,0.485,3,7.1,0.417,2,2.3,0.864,2.3,3.5,1.6,0,,,14.1
1084,Reggie Kohn,123,,2.7,6.9,0.394,0.7,1.5,0.435,2,5.4,0.382,0.9,1.2,0.736,2.6,5.1,1.2,0.1,,,8.3
1085,Alex Kohnen,86,,2.5,5.2,0.482,2.5,5.2,0.482,0,0,,1.6,2.5,0.626,5.9,0.5,0.4,0.9,,,6.6
1086,Aba Koita,96,,1.5,2.8,0.549,1.5,2.8,0.549,0,0,,0.6,1.2,0.504,3,0.3,0.2,0.3,,,3.7
1087,Mohamed Koita,87,14.4,1,3,0.345,0.5,1.3,0.381,0.5,1.7,0.318,0.5,0.7,0.783,1.7,0.6,0.4,0.1,0.8,1.5,3.1
1088,Mikko Koivisto,118,25.7,3.1,7.9,0.39,0.9,2,0.442,2.2,6,0.373,1.6,1.8,0.856,2.1,1.6,0.5,0.1,1.3,0.6,10
1089,Oleg Kojenets,114,,2.5,5.6,0.454,2.5,5.6,0.454,0,0,0,1,1.4,0.73,2.9,0.2,0.2,0.1,,,6.1
1090,Jito Kok,129,22.8,1.8,3.7,0.493,1.8,3.7,0.495,0,0,0,1.4,2.4,0.567,3.9,0.4,0.3,2.1,1.5,2.5,5
1091,Tomasz Kokosinski,7,2.7,0,0.4,0,0,0.3,0,0,0.1,0,0,0.3,0,0.4,0,0.1,0.1,0.1,0.3,0
1092,Chad Kolander,64,,2.5,5.2,0.486,2.5,5.2,0.486,0,0,,1.4,2.2,0.624,3.7,1.3,0.8,0.6,,,6.4
1093,Michael Kolawole,37,17,1.9,4.8,0.385,1.5,3.4,0.44,0.4,1.5,0.259,1.4,2.2,0.625,2.2,1.1,0.5,0,1.4,1.1,5.5
1094,Andrew Kolbasovsky,82,,4,8.5,0.474,3.7,7.5,0.496,0.3,1.1,0.322,2.4,3.2,0.752,5.4,1,1,0.3,,,10.9
1095,Mark Kolbe,18,,0.1,0.5,0.222,0.1,0.4,0.25,0,0.1,0,0,0,,0.2,0.1,0.1,0,,,0.2
1096,Dan Kolder,68,,0.2,0.4,0.429,0.1,0.3,0.4,0.1,0.1,0.5,0.2,0.5,0.429,0.4,0.5,0.1,0,,,0.6
1097,Mike Koller,4,,0,0.5,0,0,0.5,0,0,0,,0,0,,0.3,0,0,0,,,0
1098,Skyler Kolli,3,1.3,0,0.3,0,0,0,,0,0.3,0,0,0.7,0,0.3,0,0,0,0.3,0,0
1099,Christian Kollik,81,,0.6,1.8,0.354,0.2,0.8,0.306,0.4,1,0.39,0.2,0.3,0.679,0.9,0.2,0.1,0.1,,,1.9
1100,Didier Kollo,21,,0.1,0.6,0.25,0.1,0.4,0.375,0,0.2,0,0.2,0.5,0.455,0.5,0.2,0.1,0,,,0.5
1101,Yasin Kolo,17,9.5,1.4,2.8,0.479,1.1,2.1,0.543,0.2,0.8,0.308,1.2,1.8,0.677,2.2,0.2,0.2,0.3,0.8,0.9,4.2
1102,Marek Koltun,98,5.8,0.5,1.1,0.495,0.5,1.1,0.495,0,0,,0.3,0.7,0.446,1.5,0,0.1,0.5,0.6,0.3,1.3
1103,Jimmy Kolyszko,35,,0.9,1.9,0.462,0.7,1.2,0.585,0.2,0.7,0.25,0.7,1,0.714,2.1,0.7,0.5,0.1,,,2.6
1104,Paul Komadina,5,,0.2,1,0.2,0.2,1,0.2,0,0,,0.2,0.4,0.5,1,0,0,0,,,0.6
1105,Uros Komadinic,10,,1,1.8,0.556,0.1,0.1,1,0.9,1.7,0.529,0,0,,0.8,0.1,0.2,0.1,0.5,,2.9
1106,Matt Komenda,28,,0.9,1.5,0.605,0.9,1.5,0.605,0,0,,0.6,1.2,0.485,2.8,0.6,0.3,0.3,,,2.4
1107,Shane Komives,67,,3.4,8.4,0.4,1.4,2.9,0.487,2,5.6,0.355,2.5,3.2,0.76,3.4,2,0.8,0.1,,,11.1
1108,Marcel Kon,52,,1,2.4,0.402,1,2.4,0.402,0,0,,1.1,2,0.552,3.8,0.3,0.1,0.3,,,3.1
1109,Patrick Konan,108,25.9,3.4,8.1,0.416,2.3,5,0.464,1.1,3.2,0.342,1.8,2.9,0.636,5.2,0.9,0.6,0.3,2,2.5,9.7
