ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
72,Rory O'Neil,118,,3.2,7,0.463,2.7,5.5,0.488,0.6,1.5,0.374,0.8,1.1,0.689,3.8,0.7,0.5,1.1,,,7.8
73,Will O'Neil,13,,0.2,0.6,0.25,0.2,0.6,0.25,0,0,,0.2,0.5,0.286,0.5,0.1,0,0.1,,,0.5
74,Aaron O'Neill,59,6.7,0.3,0.8,0.37,0.1,0.1,0.429,0.2,0.7,0.359,0.1,0.1,0.667,0.5,0.3,0.1,0,0.2,0.7,0.9
75,Ben O'Neill,13,1.4,0,0.4,0,0,0.2,0,0,0.2,0,0.1,0.2,0.5,0.3,0,0,0,0.1,0.1,0.1
76,Connor O'Neill,6,1.3,0,0.2,0,0,0.2,0,0,0,,0,0.3,0,0.3,0,0,0,0.3,0,0
77,Jabe O'Neill,27,,3,6.7,0.453,3,6.7,0.456,0,0,0,1.5,2.6,0.563,4.5,0.3,0.8,0.7,,,7.6
78,Michael O'Neill,8,,0.5,1.5,0.333,0.5,1.4,0.364,0,0.1,0,0.1,0.5,0.25,0.6,0.1,0.4,0.1,,,1.1
79,Mike O'Neill,27,,0.6,0.9,0.652,0.6,0.8,0.682,0,0,0,0.6,1,0.607,1.5,0.2,0.1,0,,,1.7
80,Beau O'Quinn,91,,1.8,5,0.352,1,2.8,0.351,0.8,2.1,0.354,0.7,1.1,0.653,1.7,1.2,0.7,0.1,,,5
81,Kyle O'Quinn,129,30.9,4.7,8.6,0.553,4.3,7,0.62,0.4,1.6,0.261,2.6,3.8,0.685,8.5,0.9,0.5,2.2,2,2.5,12.5
82,Michael O'Quinn,27,,5.8,11.4,0.506,4.4,7.6,0.578,1.4,3.9,0.365,3.8,4.9,0.773,6.4,2.1,0.8,0.4,,,16.7
83,Monte O'Quinn,55,,5.3,10.3,0.516,5.3,10.1,0.523,0,0.2,0.1,4.2,6.7,0.623,7.9,0.6,1,0.7,,,14.9
84,Lucas O'Rear,120,21.2,1.7,3,0.559,1.6,2.7,0.591,0.1,0.3,0.226,1.1,1.7,0.63,4.3,1.1,0.7,0.3,0.8,1.2,4.4
85,Aaron O'Reggio,14,,0.1,0.9,0.154,0.1,0.9,0.154,0,0,,0.1,0.3,0.25,1.4,0.1,0,0,,,0.4
86,Liam O'Reilly,10,28.6,3,7.5,0.4,1.4,2.8,0.5,1.6,4.7,0.34,0.6,0.8,0.75,3.4,1.2,0.6,0.2,1.2,1.6,8.2
87,Matt O'Reilly,22,9.3,1.4,3.7,0.37,0.1,0.2,0.5,1.3,3.5,0.364,0,0.2,0.25,0.5,0.1,0.2,0,0.2,0.9,4
