ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
880,Marc Glanton,112,,1.2,3.5,0.343,0.7,1.9,0.373,0.5,1.6,0.308,0.8,1.3,0.589,2,2.1,1.2,0.2,,,3.7
881,Brandon Glanz,7,5.4,0.7,1.4,0.5,0.7,1.4,0.5,0,0,,1,1.6,0.636,0.4,0.1,0,0,0.3,0.6,2.4
882,Brenden Glapion,18,2,0.2,0.7,0.308,0.2,0.6,0.364,0,0.1,0,0.6,0.8,0.733,0.1,0.1,0,0,0.1,0.3,1.1
883,Phabian Glasco,29,21,2.2,3.8,0.577,2.2,3.8,0.582,0,0,0,0.8,1.8,0.453,3.8,0.7,0.6,1.9,0.7,2.5,5.2
884,John Glaser,69,,0.2,0.7,0.333,0.2,0.5,0.405,0,0.2,0.091,0.2,0.3,0.652,1.1,1.2,0.2,0,,,0.7
885,B.J. Glasford,72,14.9,1.4,4.2,0.323,0.8,2.2,0.375,0.5,2,0.266,0.5,0.8,0.633,1.8,0.9,0.5,0.1,0.9,1.6,3.8
886,Rodney Glasgow,120,29.5,4.1,9.2,0.444,2.4,4.6,0.515,1.7,4.6,0.371,2.2,2.6,0.825,2.7,4.4,1.2,0,1.7,1.8,12
887,Michael Glasker,106,21.4,1,3.3,0.29,0.6,2,0.281,0.4,1.2,0.305,0.7,1,0.704,1.1,2.5,0.9,0,2.2,0.5,3
888,Derek Glasper,7,,0.4,1.7,0.25,0.1,0.6,0.25,0.3,1.1,0.25,0.3,1.1,0.25,0.7,0.1,0,0,,,1.4
889,Mon'ter Glasper,91,,1.4,3.7,0.393,0.9,2.1,0.445,0.5,1.6,0.324,1.1,1.9,0.568,2.6,3.3,1.5,0.1,,,4.4
890,Ed Glass,52,,1.1,2.6,0.434,1,2.2,0.451,0.2,0.4,0.348,0.4,0.8,0.488,1.7,1,0.4,0,,,2.8
891,Gerald Glass,60,36.3,10.2,19.9,0.511,8.7,16,0.544,1.5,3.9,0.377,4.3,5.8,0.736,8.1,1,2.7,1,3,3.3,26.1
