ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
413,Williams Jamaal,28,,3.5,6.8,0.519,3.5,6.6,0.524,0,0.1,0.25,0.7,1.8,0.38,5.1,0.3,0.7,0.4,,,7.7
414,Kareem Jamar,121,33.3,4.7,9.9,0.474,3.3,6.3,0.525,1.3,3.5,0.38,3.1,4.6,0.685,5.5,3.4,0.9,0.5,2.2,2.1,13.8
415,Dave Jamerson,115,32.4,7.5,15.4,0.488,5.2,10.4,0.503,2.7,6.6,0.419,3.2,3.8,0.846,4.5,2.2,1,0.1,2.1,2.3,20.3
416,Tyrell Jamerson,11,,0.5,0.8,0.667,0.5,0.5,1,0.1,0.4,0.25,0.2,0.3,0.667,0.5,0.4,0.1,0,,,1.4
417,Adam James,88,,0.6,1.4,0.45,0.6,1.4,0.445,0,0,1,0.6,0.8,0.681,2.3,0.4,0.3,0.2,,,1.8
418,Anthony James,128,24.1,3.8,8.6,0.435,2.7,6.1,0.451,1,2.6,0.396,1.7,2.2,0.761,3,1.2,0.7,0,1.4,1.5,10.2
419,Anton James,29,,0.7,1.6,0.467,0.6,1.1,0.548,0.1,0.5,0.286,0.2,0.3,0.625,1.7,0.3,0.1,0.3,,,1.8
420,Antquon James,29,,1.2,4,0.302,0.4,0.9,0.444,0.8,3.1,0.258,0.1,0.2,0.429,1.2,0.7,0.5,0,,,3.3
421,Barry James,4,,0.5,0.8,0.667,0.3,0.3,1,0.3,0.5,0.5,0.3,0.5,0.5,0.5,0.3,0,0,,,1.5
422,Benjamin James,2,2.5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1.5,0.5,0
423,Bernard James ,69,24.6,4,6.3,0.627,4,6.3,0.627,0,0,,1.8,3.4,0.528,7,0.3,0.8,2.4,1.8,1.8,9.7
424,Brandon James,100,14.7,1.9,4.4,0.42,1.3,2.6,0.496,0.6,1.8,0.311,1.1,1.4,0.729,3.8,0.8,0.4,0.2,1.3,2,5.3
425,Brett James,118,,4.1,10.1,0.405,3.1,6.7,0.465,1,3.5,0.291,1.8,2.9,0.628,4.3,1.2,1.1,0.9,2,,11.1
426,Bryan James,10,,0.4,1.3,0.308,0.4,1.3,0.308,0,0,,0,0,,1.1,0.1,0,0.1,,,0.8
427,Cameron James,17,,0.2,0.8,0.231,0.1,0.4,0.286,0.1,0.4,0.167,0.1,0.1,0.5,0.2,0.3,0,0,0.2,,0.5
428,Casey James,2,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0
429,Chad James,4,,0.3,0.8,0.333,0.3,0.5,0.5,0,0.3,0,0.3,0.5,0.5,0.5,0,0.3,0,,,0.8
430,Christian James,43,12.2,1.5,3.2,0.474,0.7,1.8,0.416,0.8,1.4,0.55,0.8,1.2,0.66,2.2,0.8,0.5,0.1,1,1.3,4.6
431,Clark James,57,,2.7,4.9,0.543,2.5,4.6,0.548,0.1,0.3,0.471,2,2.7,0.718,4.2,1,0.5,0.3,,,7.4
432,Conway James,1,0,0,0,,0,0,,0,0,,0,0,,1,0,0,0,0,0,0
433,Cordell James,21,6.8,0.8,1.9,0.436,0.4,1,0.429,0.4,0.9,0.444,0.2,0.4,0.625,0.3,0.6,0.3,0,1.1,1.1,2.2
434,Courtney James,65,,2.9,5.3,0.548,2.9,5.3,0.549,0,0,0,2,3.8,0.534,7,1.8,0.7,0.8,,,7.9
435,Damion James,142,30.3,5,10.4,0.479,4.2,8.4,0.506,0.7,2,0.364,2.8,4.4,0.64,9.3,1.1,1,1.1,1.9,0.7,13.5
436,Damone James,61,,1.5,3.5,0.412,1,2.2,0.471,0.4,1.3,0.313,0.2,0.4,0.6,1.2,0.9,0.4,0,,,3.6
437,Daniel James,19,4,0.1,0.4,0.143,0.1,0.4,0.143,0,0,,0.1,0.3,0.333,0.4,0.1,0.1,0,0.3,0.4,0.2
438,Darius James,138,28.2,2.4,6.7,0.367,1.4,3.7,0.397,1,3,0.331,1.1,1.5,0.692,2.3,3.3,0.7,0,1.8,0.6,7
439,Deion James,114,,1.6,4,0.385,1,2.2,0.44,0.6,1.9,0.321,1.1,1.6,0.74,2.4,1.5,0.6,0.1,1.1,,4.9
440,Deion James,21,5.5,0.4,1.3,0.296,0.4,1.1,0.348,0,0.2,0,0.5,1.2,0.44,1.5,0.4,0.3,0.1,0.3,1.2,1.3
441,Delroy James,123,30.5,4.3,9.7,0.446,3.6,7.1,0.508,0.7,2.6,0.277,2.5,3.5,0.699,5.7,1.8,1.2,0.9,2.2,1.5,11.9
442,DeMarqus James,20,,0.2,0.7,0.286,0.2,0.4,0.375,0.1,0.3,0.167,0.1,0.2,0.333,0.2,0.2,0,0,,,0.5
443,Dezmond James,39,10.7,0.8,2.6,0.307,0.6,1.7,0.385,0.2,0.9,0.167,0.6,0.9,0.611,1.3,0.7,0.3,0,0.6,0.8,2.3
444,Dominic James,129,,4.9,11.9,0.408,3.5,7.4,0.479,1.3,4.5,0.291,2.5,4.1,0.62,3.4,4.9,1.8,0.3,2,,13.6
445,Duane James,52,,2.3,4.8,0.482,2,4,0.512,0.3,0.8,0.341,1.6,2.2,0.722,4.1,0.2,0.7,0.1,,,6.5
446,Eric James,68,18.4,2.4,5.4,0.446,1.9,3.5,0.551,0.5,1.9,0.258,1.3,2.1,0.628,3.8,1,0.8,0.2,1.4,1.7,6.7
447,Eric James,52,,1.9,5,0.378,1.5,3.9,0.393,0.4,1.2,0.328,1.6,2.2,0.735,3,0.5,0.2,0.1,,,5.8
448,Henry James,49,,7.4,13.8,0.535,6.7,12.5,0.533,0.7,1.3,0.556,3.6,4.4,0.823,6.9,0.6,,,,,19.1
449,Jalen James,68,23.2,2.2,5.9,0.372,1.5,3.6,0.419,0.7,2.3,0.299,1.2,1.8,0.689,3.3,2.4,0.4,0.2,2.1,2.1,6.3
