ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
350,Mike Patrick,56,,0.9,2.1,0.4,0.7,1.6,0.429,0.2,0.5,0.31,0.5,0.7,0.684,1.6,1,0.4,0.1,,,2.3
351,Myles Patrick,105,,3.3,6.4,0.507,,,,,,,1.7,2.3,0.75,6.5,,,,,,8.3
352,Nick Patrick,77,,2,4.5,0.438,1.9,4.3,0.45,0,0.2,0.143,0.6,1.2,0.532,3.5,0.6,0.4,0.5,,,4.6
353,Nile Patrick,14,,1.9,4.1,0.474,1.9,3.9,0.491,0,0.1,0,0.5,1.3,0.389,3.3,0.3,0.2,0.4,,,4.4
354,Orlando Patrick,53,,4.4,9.6,0.458,2.8,5.5,0.51,1.5,4,0.385,2.3,3.7,0.631,5.5,1.3,0.5,0.1,,,12.6
355,Stevie Patrick,33,,1.7,4.5,0.383,1.2,2.3,0.5,0.6,2.2,0.26,0.9,1.4,0.644,1.2,0.5,0.2,0.2,,,4.9
356,Levan Patsatsia,70,18.4,1.6,4.1,0.4,1.2,2.5,0.46,0.5,1.6,0.303,0.8,1.4,0.584,2.9,1,0.5,0.2,0.8,1.2,4.6
357,Aliaksei Patsevich,48,14.1,0.8,2.5,0.328,0.5,1.1,0.431,0.4,1.5,0.254,0.3,0.4,0.762,1.1,0.8,0.5,0.2,0.6,1.1,2.4
358,David Patten,98,,3.6,7.8,0.464,3,6.1,0.487,0.7,1.7,0.382,2.1,3.5,0.604,4.4,1.2,1,0.8,,,10.1
359,Mike Patten,52,,0.8,1.7,0.494,0.8,1.7,0.5,0,0,0,0.6,1.1,0.527,1.2,0.1,0.2,0.2,,,2.2
360,Aaron Patterson,53,,3.6,6.2,0.585,3.6,6.2,0.588,0,0,0,1.1,2.1,0.531,4.7,1,0.2,0.3,,,8.4
361,Aaron Patterson,3,1.7,0,1,0,0,0.7,0,0,0.3,0,0,0,,0.3,0.3,0,0,0.3,0.3,0
362,Andrae Patterson,121,24.4,4.3,8.9,0.479,3.9,7.7,0.504,0.4,1.2,0.313,2.4,3.1,0.755,5.7,1.3,0.9,1,2.2,2.3,11.3
