ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Xavier,124,,4,9.7,0.408,1.9,3.6,0.52,2.1,6.1,0.342,1.5,1.9,0.788,3.8,1.8,1.8,0.2,1.9,,11.5
2,Ioannis Xenakis,24,,1.2,2.6,0.444,1.2,2.6,0.444,0,0,,0.3,0.7,0.438,0.9,0,0,0.2,,,2.6
3,Aaron Xia,73,,0.9,2.1,0.457,0.9,1.9,0.471,0.1,0.2,0.308,0.6,0.9,0.692,2.1,0.1,0.2,0.4,,,2.6
4,Ji Xiang,28,4.6,0.3,0.8,0.409,0.3,0.7,0.45,0,0.1,0,0.7,1.3,0.556,1.3,0.1,0,0.2,0.2,0.5,1.4
5,Oliver Xu,11,2.6,0.2,0.5,0.333,0.1,0.3,0.333,0.1,0.3,0.333,0.1,0.2,0.5,0.2,0.1,0,0,0.5,0.4,0.5
6,Tao Xu,36,11.9,0.9,2.2,0.425,0.9,2.2,0.425,0,0,,0.7,1,0.667,1.1,0.2,0.2,0.1,1.1,2.2,2.6
