ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER,ID,NAME
2215,"Aaron Hines",31,15.1,1.3,4.3,0.303,1.1,3.1,0.347,0.2,1.2,0.189,0.8,1.2,0.694,1.3,1.6,0.4,0,1,1.5,3.6,1.787,2168,"Aaron Hines"
2428,"Aaron Holiday",42,30.3,3.8,8.8,0.43,2.4,5.8,0.409,1.4,3,0.469,2,2.8,0.729,3,4,1.3,0.2,2.8,3,11,8.01,2194,"Aaron Holiday"
2773,"Aaron Horne",9,12.7,1.4,3.6,0.406,1.2,2,0.611,0.2,1.6,0.143,0.7,0.7,1,2.3,0.8,0.7,0,1,1.4,3.8,3.201,2236,"Aaron Horne"
20,"Aaron Jackson",67,10.3,1,2.7,0.379,0.5,1,0.478,0.5,1.7,0.319,0.5,0.9,0.614,1.6,0.3,0.3,0.1,0.5,1.3,3.1,2.037,2337,"Aaron Jackson"
2002,"Aaron Jordan",40,10.8,0.9,2.8,0.333,0.3,0.9,0.286,0.7,1.9,0.355,0.5,0.6,0.8,0.9,0.4,0.4,0.1,0.2,1.4,3,2.139,2563,"Aaron Jordan"
1153,"Aaron Korn",68,14.7,1.3,3,0.424,0.8,1.5,0.495,0.5,1.5,0.35,0.5,0.8,0.706,2.7,0.7,0.4,0.1,0.7,1.3,3.6,3.895,2719,"Aaron Korn"
3059,"Aaron Moesch",36,2.5,0.1,0.3,0.3,0.1,0.3,0.333,0,0,0,0.1,0.1,0.5,0.4,0.1,0.1,0,0.1,0.3,0.2,0.51,3357,"Aaron Moesch"
270,"Aaron Parks",92,25.2,2.8,7.6,0.371,2.5,6.5,0.388,0.3,1.1,0.267,3.8,5.1,0.755,2.9,1.7,0.9,0.1,1.8,2.7,9.7,4.386,3721,"Aaron Parks"
1791,"Aaron Ross",88,14.8,1.9,4.3,0.442,1.3,2.7,0.494,0.6,1.6,0.357,1.9,2.2,0.865,3,0.6,0.1,0.2,0.8,1.8,6.3,4.601,4157,"Aaron Ross"
603,"Aaron Washington",4,5,1,2.3,0.444,0.5,1.3,0.4,0.5,1,0.5,0.5,1,0.5,0.8,0.5,0.5,0,0.3,1,3,2.035,5066,"Aaron Washington"
604,"Aaron Washington",24,15.1,1,2.4,0.414,1,2.2,0.462,0,0.3,0,0.2,0.3,0.571,1.3,1.3,0.6,0,0.9,1.5,2.2,2.403,5066,"Aaron Washington"
1038,"Aaron Weidenaar",8,10.4,0.5,2.1,0.235,0,0.4,0,0.5,1.8,0.286,0,0.3,0,1.9,0.1,0.1,0,0.4,0.6,1.5,1.193,5117,"Aaron Weidenaar"
1781,"Aaron Williams",78,12,1.2,3.6,0.326,0.9,2.4,0.375,0.3,1.2,0.232,0.5,0.8,0.6,2.2,0.4,0.7,0.2,0.9,1.5,3.1,2.472,5199,"Aaron Williams"
1786,"Aaron Williams",12,2.3,0.2,0.6,0.286,0.1,0.2,0.5,0.1,0.4,0.2,0.2,0.2,1,0.2,0.4,0.1,0,0.3,0.5,0.6,0.484,5199,"Aaron Williams"
