ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1391,Justin Robinson,130,33.2,3.8,9.2,0.416,2.2,5.5,0.406,1.6,3.7,0.431,2.2,2.5,0.857,2.9,3,1.2,0.1,2,1.2,11.4
1392,Justin Robinson,43,24.9,2.4,5.8,0.41,1.7,3.7,0.444,0.7,2.1,0.348,2.6,3.5,0.747,2.1,3.1,0.6,0.1,1.7,2,8.1
1393,Justin Robinson,3,2.7,0,0,,0,0,,0,0,,0.3,0.7,0.5,0.3,0,0,0,0,0,0.3
1394,Kareem Robinson,57,,1.7,3,0.576,1.7,3,0.579,0,0,0,0.6,1.6,0.356,3.8,0.3,0.3,0.8,,,4
1395,Kelvin Robinson,53,,2,4.4,0.464,2,4.4,0.468,0,0,0,0.6,1.3,0.485,6.8,0.5,0.8,2.8,,,4.7
1396,Kelvin Robinson,7,17,2.7,6.6,0.413,1.9,4.4,0.419,0.9,2.1,0.4,2.4,3.7,0.654,4.1,2.3,0.9,0,2.1,2,8.7
1397,Kevin Robinson,111,,3.8,6.7,0.578,3.8,6.7,0.578,0,0,,2,3,0.675,6.7,0.6,0.8,0.6,,,9.7
1398,Kevinn Robinson,24,,2.6,6.8,0.383,2.3,5.1,0.439,0.3,1.6,0.205,1.2,1.9,0.644,6.3,1.8,0.8,0,,,6.7
1399,Khalid Robinson,40,4.1,0.1,0.3,0.231,0.1,0.3,0.273,0,0.1,0,0.2,0.3,0.583,0.5,0.1,0,0,0.4,0.6,0.3
1400,KJ Robinson,10,11.8,1.2,3.2,0.375,0.7,1.9,0.368,0.5,1.3,0.385,0.7,0.8,0.875,0.7,1.4,0.4,0,0.9,0.3,3.6
1401,Larry Robinson,60,34.7,8.5,16.4,0.517,8,14.9,0.538,0.5,1.5,0.307,3.4,4.9,0.699,6.9,2.5,2.8,0.2,2.3,2.9,20.8
1402,Larry Robinson,55,,0.8,2,0.387,0.8,2,0.387,0,0,,0.4,0.7,0.538,1.7,0.3,0.2,0.1,,,1.9
1403,Leslie Robinson,67,,4.3,10.5,0.408,1.2,2.6,0.469,3.1,7.9,0.388,1.4,1.6,0.853,2.8,1.1,0.9,0.1,2,,13.1
1404,Lonnie Robinson,60,29.2,2.6,6.6,0.394,1.6,4.1,0.398,1,2.5,0.388,1.6,2.7,0.605,3.3,2,0.6,0.2,2.2,1.5,7.8
1405,Malcolm Robinson,14,,0.1,0.6,0.25,0.1,0.2,0.333,0.1,0.4,0.2,0.1,0.1,1,0.4,0.1,0.1,0,,,0.5
1406,Mantoris Robinson,126,30.2,2,4.9,0.4,1.6,3.5,0.474,0.3,1.4,0.222,1.8,2.7,0.654,4.7,1.1,1.1,0.7,1.9,0.7,6
1407,Marcello Robinson,119,,2,5.3,0.384,1.1,2.7,0.409,0.9,2.5,0.358,1.3,2,0.654,3,3.5,0.9,0.1,,,6.3
1408,Marcus Robinson,27,,3.2,8.6,0.372,1.5,3.7,0.396,1.7,4.8,0.354,2,2.9,0.705,2.1,1.5,0.8,0.1,,,10.1
1409,Marcus Robinson,59,,1.7,3.9,0.421,1.2,2.5,0.456,0.5,1.4,0.357,0.9,1.5,0.598,2.2,1.1,0.4,0.1,,,4.7
1410,Marcus Robinson,19,,0.6,1.7,0.333,0.3,0.8,0.333,0.3,0.9,0.333,0.3,0.3,1,1.1,0.3,0.5,0,1,,1.7
1411,Marcus Robinson,53,,0.9,2.6,0.353,0.5,1.3,0.391,0.4,1.3,0.314,0.4,0.6,0.667,1.7,0.7,0.8,0.1,,,2.6
1412,Maurice Robinson,74,,3.4,6.4,0.541,3.4,6.4,0.543,0,0,0,1.5,2.7,0.561,4.8,0.6,0.3,0.1,,,8.4
1413,Melvin Robinson,103,,2.4,6.4,0.38,2,4.8,0.414,0.4,1.5,0.274,1.1,1.6,0.673,3,1,0.4,0.3,,,6.3
1414,Michael Robinson,65,,4.2,9.4,0.451,3.9,7.5,0.513,0.4,1.8,0.193,1.8,2.4,0.734,5,1.9,0.7,0.4,,,10.6
1415,Mike Robinson,66,,2.9,8.5,0.344,1.8,4.8,0.385,1.1,3.7,0.291,2.3,3,0.773,3.4,4,2,0.1,2.3,,9.2
1416,Mike Robinson,85,,3.7,8.3,0.445,3.6,7.8,0.454,0.1,0.5,0.282,1.5,2.3,0.661,6,1,1.1,0.9,,,9
1417,Mike Robinson,67,,3.4,7,0.488,3.3,6.7,0.502,0.1,0.3,0.19,2.6,3.9,0.663,4.9,1.8,0.7,0.4,,,9.5
1418,Mike Robinson,12,2.1,0.4,1.1,0.385,0.1,0.3,0.333,0.3,0.8,0.4,0.1,0.2,0.5,0.2,0,0.1,0,0.1,0.3,1.3
1419,Nasir Robinson,133,26.3,3.1,5.7,0.533,3,5.5,0.544,0.1,0.2,0.241,1.1,2.2,0.475,4.7,1.4,0.4,0.2,1.5,2,7.2
1420,Nate Robinson,89,28.2,5,11,0.457,3.6,6.9,0.523,1.4,4.1,0.348,3,3.7,0.793,3.9,3.2,1.6,0.1,,,14.4
1421,Nican Robinson,31,,0.3,0.6,0.5,0.1,0.3,0.375,0.2,0.3,0.6,0.1,0.2,0.667,0.3,0.5,0.2,0,0.3,,0.9
1422,Nick Robinson,110,,2.2,5.3,0.414,1.9,4.2,0.45,0.3,1.1,0.271,0.9,1.4,0.68,3.8,1.7,1,0.2,,,5.6
1423,Nick Robinson,7,21.9,2,5.3,0.378,1.1,3.3,0.348,0.9,2,0.429,1.1,2,0.571,3.9,1.7,0.6,0.1,1.9,2.3,6
1424,O.J. Robinson,56,,2.4,5,0.471,2,3.8,0.535,0.3,1.2,0.269,1.7,2.7,0.621,5.9,1.1,0.5,0.3,,,6.7
1425,Oliver Robinson,92,30.6,6,11.8,0.508,,,,,,,3.2,4.2,0.759,3.6,,,,,,15.2
1426,Patrick Robinson,125,16.7,1.1,2.6,0.423,1,1.9,0.511,0.2,0.7,0.204,0.8,1.4,0.599,2.8,0.9,0.8,0.4,1.1,2.4,3.2
1427,Perrick Robinson,59,,0.6,1.5,0.414,0.5,1.2,0.457,0.1,0.3,0.235,0.5,1.1,0.455,1.3,1.8,1,0,,,1.8
1428,Perry Robinson,116,,2.2,4.4,0.502,2,3.8,0.523,0.2,0.6,0.378,1,1.4,0.683,4.3,0.7,0.5,0.1,,,5.7
1429,Pertha Robinson,87,,2,4.5,0.447,1.1,2.2,0.513,0.9,2.4,0.385,0.8,1.1,0.691,2.8,4.3,1.5,0,,,5.7
1430,Pili Robinson,54,,4.3,8.3,0.518,4.3,8.2,0.519,0,0,0,1.8,3.2,0.566,4.8,0.8,0.8,0.1,,,10.4
1431,Raemond Robinson,83,18.7,2,5.1,0.391,0.4,1.3,0.336,1.6,3.8,0.41,0.5,0.7,0.719,2.2,1.5,0.7,0,1.3,1.7,6
1432,Ranard Robinson,6,,0,0.5,0,0,0.5,0,0,0,,0.8,1.3,0.625,0.3,0,0,0,,,0.8
1433,Rashad Robinson,28,,1.8,4.4,0.407,1.8,4.4,0.407,0,0,,0.8,2.3,0.359,5.6,0.6,0.3,0.9,,,4.4
1434,Raymond Robinson,30,,1.4,3.4,0.398,1,2,0.483,0.4,1.4,0.279,0.5,0.7,0.8,0.4,0.7,0.1,0,1,,3.7
1435,Reggie Robinson,52,,1.5,3.3,0.462,1.5,3.2,0.464,0,0,0,0.4,0.7,0.541,3,0.3,0.3,0.3,,,3.4
1436,Rick Robinson,25,,0.6,1.7,0.372,0.6,1.7,0.372,0,0,,0.3,0.7,0.444,1.6,0,0.3,0.2,,,1.6
