ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
697,Joe Thomas,125,12.4,1.2,2.2,0.557,1.2,2.2,0.557,0,0,,0.2,0.8,0.303,2.7,0.3,0.3,0.6,0.6,2,2.7
698,John Thomas,124,20.7,2.8,5.7,0.496,2.8,5.7,0.497,0,0,0,1.5,2.8,0.536,5.1,0.7,0.6,0.5,1.5,2.4,7.1
699,John Thomas,27,,3.5,8.1,0.432,2.2,5.1,0.438,1.3,3.1,0.422,3,3.9,0.755,3.7,4,2.7,0.1,,,11.3
700,Johnny Thomas,55,19.6,2.3,4.6,0.5,2,3.5,0.576,0.3,1.1,0.262,0.8,1.1,0.746,3.2,0.5,0.3,0.5,0.5,1.1,5.7
701,Jonathan Thomas,18,5.3,0.4,1.1,0.35,0.2,0.4,0.429,0.2,0.7,0.308,0.2,0.4,0.429,0.1,0.2,0.1,0.1,0.6,0.6,1.2
702,Jonathan Thomas,38,7.2,0.2,0.4,0.529,0.2,0.4,0.529,0,0,,0.3,0.5,0.6,0.8,0.2,0.2,0,0.4,1.9,0.8
703,Jordan Thomas,7,3.4,0.4,1.4,0.3,0,0.3,0,0.4,1.1,0.375,0,0,,0.6,0.1,0,0,0.3,0,1.3
704,Josh Thomas,2,,0.5,0.5,1,0.5,0.5,1,0,0,,1,1,1,1.5,0,0,0,,,2
705,Joston Thomas,63,23.4,4.4,9.1,0.481,4.3,8.4,0.509,0.1,0.7,0.136,2.8,4.5,0.622,5.2,1.2,0.5,0.6,2.6,2.5,11.7
706,Julius Thomas,121,28.3,2.8,4.2,0.663,2.8,4.2,0.664,0,0,0,1.3,2.6,0.484,4.3,1.2,0.9,0.5,1.2,0.7,6.8
707,Justin Thomas,27,,0.9,2.6,0.352,0.8,2.1,0.379,0.1,0.5,0.231,0.5,0.7,0.7,1.7,0.4,0.3,0.3,,,2.5
708,Justin Thomas,23,,0.3,0.6,0.462,0.3,0.4,0.6,0,0.1,0,0,0.1,0,0.4,0.2,0.1,0,0.3,,0.5
709,Justin Thomas,8,13.3,1.4,2.4,0.579,1.4,2,0.688,0,0.4,0,1.1,1.4,0.818,1,0.8,0.3,0,0.1,0.8,3.9
710,Kahlil Thomas,92,23.1,3.4,6.4,0.527,3.3,6.2,0.537,0.1,0.3,0.292,1.7,2.9,0.586,5.7,0.8,0.5,0.8,1.5,2.5,8.5
711,Kasheem Thomas,9,28.2,2.2,6,0.37,1.2,3.1,0.393,1,2.9,0.346,1.8,2.7,0.667,3.3,4.4,0.9,0,2.4,2,7.2
712,Kellon Thomas,117,22,2.1,5.8,0.369,1.4,3.6,0.398,0.7,2.2,0.321,1.9,2.6,0.752,1.7,1.9,0.6,0,1.3,2.1,6.9
713,Kenny Thomas,123,31.7,5.4,10.1,0.537,4.9,8.6,0.569,0.5,1.5,0.353,4.3,5.9,0.74,8.4,2.1,0.9,1.9,2.9,2.3,15.7
714,Kenny Thomas,118,,3.5,8.3,0.423,2,4,0.495,1.5,4.2,0.355,2,2.7,0.745,3.7,1.3,0.9,0.2,2.7,,10.5
715,Kevin Thomas,65,,2,4.7,0.42,1.4,2.9,0.479,0.6,1.8,0.328,2,2.7,0.73,2.5,4,1.1,0,2.3,,6.5
716,Kevin Thomas,58,,3.7,9.2,0.396,1.3,2.9,0.444,2.4,6.3,0.374,1.4,2,0.728,3.5,1.5,0.8,0.1,,,11.1
717,Kevin Thomas,59,30.1,3.9,7.1,0.553,3.9,7.1,0.556,0,0,0,1.8,2.9,0.629,7.5,1.1,1.1,0.9,2.8,2.4,9.7
718,Kevin Thomas,105,10.8,0.9,1.7,0.544,0.9,1.7,0.544,0,0,,0.4,0.7,0.583,1.6,0.1,0.1,0.9,0.6,1.7,2.3
719,Khyri Thomas,44,20.5,3,5.9,0.51,2.1,4,0.534,0.9,1.9,0.459,0.9,1.5,0.597,4.2,1.6,1.1,0.2,1.1,1.8,7.8
720,Kiah Thomas,113,,1.8,4.9,0.364,0.8,1.9,0.42,1,2.9,0.327,1,1.3,0.725,2.6,1.1,0.7,0.5,,,5.5
721,Kris Thomas,123,,2.8,7.3,0.386,1.8,3.9,0.456,1,3.4,0.305,1.2,1.9,0.629,2.1,0.8,1.1,0.3,1.5,,7.8
722,Kurt Thomas,103,20.1,5.6,10.7,0.524,6.2,11.3,0.547,0.2,0.7,0.25,3.3,4.9,0.682,7.6,1,0.8,1.6,1.9,2.7,14.7
723,Kyle Thomas,34,11.8,0.7,2,0.362,0.7,1.8,0.393,0,0.2,0.125,0.7,1.5,0.481,1.8,0.3,0,0.1,0.6,1,2.2
724,Kyle Thomas,1,,0,1,0,0,0,,0,1,0,0,1,0,0,0,0,0,,,0
725,Kyle Thomas,92,15,1.9,5.5,0.352,1.3,3.2,0.389,0.7,2.3,0.3,0.8,1.3,0.644,2.3,0.4,0.4,0.4,0.9,1.8,5.4
726,Lamar Thomas,97,10.4,0.6,1.6,0.394,0.6,1.6,0.399,0,0,0,0.2,0.5,0.417,1.9,0.1,0.1,0.3,0.4,1.6,1.5
727,Lance Thomas,140,25.3,1.7,3.2,0.525,1.7,3.2,0.525,0,0,,1.3,2.1,0.6,3.6,0.5,0.6,0.2,1.1,0.9,4.6
728,Lawrence Thomas,22,,0.4,1,0.409,0.4,0.9,0.474,0,0.1,0,0.2,0.6,0.357,0.7,0,0.2,0,,,1
729,Lawrence Thomas,55,,4.1,9.4,0.439,3.5,7.4,0.48,0.6,2,0.284,1.8,2.9,0.633,2.7,1.7,0.9,0.1,,,10.6
730,Lewis Thomas,52,10.9,0.5,1.7,0.318,0.3,0.9,0.313,0.3,0.8,0.325,0.2,0.3,0.556,2.1,0.6,0.2,0.3,0.6,0.7,1.5
731,Liam Thomas,97,21.4,2.5,4.6,0.547,2.3,3.8,0.606,0.2,0.8,0.263,1.2,2.1,0.572,4.4,1.5,0.4,2,1.5,2.9,6.4
732,Lonnie Thomas,29,,3.8,7.1,0.529,3.8,7.1,0.532,0,0,0,0.8,1.8,0.462,4.6,0.6,0.8,0.3,,,8.3
733,Lonnie Thomas,91,,4.5,8,0.561,4.5,7.9,0.56,0,0,1,2.5,4.7,0.536,6.9,0.7,0.9,0.9,,,11.5
734,Malcolm Thomas,39,18.9,3.8,9.9,0.387,2.6,6.6,0.39,1.3,3.3,0.38,1.8,2.4,0.772,4.1,0.7,1.1,0.3,1.7,0.4,10.8
735,Malcolm Thomas,103,30.8,4.3,8.2,0.53,4.3,8,0.536,0,0.2,0.235,2.9,5,0.58,8.2,2,0.7,1.9,2.3,1.5,11.6
736,Malik Thomas,130,20.1,2.4,5.7,0.422,1.7,3.6,0.481,0.7,2.1,0.318,1,1.5,0.662,4.2,1.2,0.6,0.6,1.2,2,6.4
737,Mandell Thomas,117,30.8,4.1,10.5,0.394,2.7,6.6,0.416,1.4,3.9,0.357,2.2,3.1,0.702,3.7,2.3,1.7,0.5,1.8,2.1,11.8
738,Manny Thomas,123,20.9,1.5,4.2,0.362,0.7,2,0.36,0.8,2.2,0.364,1.1,1.5,0.741,2.5,1.1,0.6,0.2,1.2,1.7,5
739,Marcel Thomas,2,,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,,,0
740,Marcus Thomas,37,,0.2,0.4,0.375,0,0.1,0.333,0.1,0.4,0.385,0.1,0.2,0.5,0.1,0.3,0.1,0,,,0.5
741,Marcus Thomas,62,15.2,2,5.4,0.364,0.5,1.5,0.363,1.4,3.9,0.365,0.5,0.7,0.674,1.1,0.4,0.3,0,0.8,0.5,5.8
742,Marcus Thomas,25,,0.5,1.3,0.394,0.5,1.3,0.406,0,0,0,0.3,1,0.308,1.8,0.3,0.5,0.2,,,1.4
743,Marlon Thomas,62,,1.7,4.2,0.417,1,2.4,0.427,0.7,1.8,0.404,0.8,1.3,0.58,1.9,0.7,0.4,0,,,5
744,Marty Thomas,75,,3,7.3,0.412,1.8,3.9,0.451,1.2,3.3,0.367,2.5,3.4,0.729,2.8,1.1,0.5,0.1,,,9.7
745,Marvin Thomas,18,,0.8,1.5,0.556,0.8,1.3,0.583,0.1,0.2,0.333,0.2,0.6,0.364,1.6,0.5,0.5,0.2,,,1.9
746,Matt Thomas,124,,0.9,2.6,0.336,0.8,2.2,0.367,0.1,0.5,0.193,0.9,1.3,0.679,1.9,1.1,0.8,0.1,0.6,,2.8
747,Matt Thomas,112,23.9,2.6,6.3,0.405,0.9,2,0.462,1.6,4.3,0.378,0.8,1,0.788,3,1.2,0.6,0.2,0.8,1.6,7.5
748,Maurice Thomas,24,,0.9,1.7,0.512,0.5,0.9,0.591,0.3,0.8,0.421,0.3,0.3,0.75,0.6,0.7,0.5,0,,,2.3
749,Maurice Thomas,87,,2.4,4.5,0.546,2.4,4.5,0.546,0,0,,2.3,3.5,0.647,4.5,0.3,0.5,0.4,1.5,,7.2
750,Michael Thomas,61,,3.7,6.8,0.547,3.7,6.8,0.548,0,0,0,1.5,2.1,0.703,6.4,0.4,0.8,2.6,,,9
751,Mike Thomas,88,16.6,2.3,4.6,0.493,2.1,4,0.538,0.1,0.6,0.176,1.4,2.3,0.629,3.8,0.6,0.4,0.6,1,2.6,6
752,Mike Thomas,17,,3.5,9.5,0.366,2.6,7.6,0.346,0.8,1.8,0.452,2.2,2.7,0.826,3.1,3.6,0.9,0.2,,,10
753,Neil Thomas,2,,,,,,,,0,0,,,,,0,0,0,0,,,0
754,Nic Thomas,3,2.7,0,1.3,0,0,1.3,0,0,0,,0,0,,0.3,0.3,0,0,0.3,0,0
755,Noah Thomas,2,2.5,0,0,,0,0,,0,0,,0.5,1,0.5,0,0,0,0,0.5,1.5,0.5
756,Omar Thomas,67,,6.2,12,0.519,6,11.5,0.525,0.2,0.5,0.4,5.4,6.6,0.817,5.8,1.3,1.4,0.3,,,18.1
757,Pancake Thomas,106,19.4,2.4,6,0.404,1.4,3.3,0.411,1.1,2.7,0.394,1.8,2.2,0.827,3.1,1.3,0.5,0.1,0.9,1.3,7.8
758,Paul Thomas,29,13.3,1,2.3,0.455,1,2.2,0.462,0,0,0,0.5,0.9,0.519,3.4,0.8,0.3,0.3,0.9,2,2.6
759,Peter Thomas,106,,1.4,3,0.478,1.1,1.9,0.563,0.4,1.1,0.336,0.8,1.1,0.672,1.7,1.2,0.5,0,,,4
760,Phillip Thomas,26,,0.4,1.5,0.275,0.3,1,0.346,0.1,0.5,0.143,0.4,0.9,0.458,0.8,1.2,0.5,0,,,1.3
761,Phillip Thomas,60,14.8,2.1,4.3,0.492,2.1,4.3,0.492,0,0,,2,2.7,0.761,2.2,0.2,0.2,0.2,1,1.9,6.2
762,Pierre Thomas,56,,2.9,6.7,0.435,2.5,5.6,0.449,0.4,1.1,0.365,1.3,2.3,0.559,4.4,1.9,0.8,0.1,,,7.5
763,Quentin Thomas,129,,0.7,1.4,0.475,0.6,1.2,0.519,0,0.2,0.174,0.4,0.6,0.681,1.2,2.2,0.4,0.1,1.7,,1.7
764,Quenton Thomas,44,,0.6,1.5,0.409,0.4,1.1,0.396,0.2,0.4,0.444,0.3,0.6,0.52,1.4,1.9,0.4,0.1,,,1.7
765,Quinton Thomas,48,11.8,1.2,2.9,0.407,0.7,1.3,0.533,0.5,1.7,0.313,1,1.7,0.588,1.6,0.5,0.6,0.2,0.7,1,3.9
766,Quintrell Thomas,124,13.2,1.5,2.8,0.52,1.5,2.8,0.52,0,0,,1.3,1.9,0.663,3.5,0.2,0.2,0.6,0.8,1.5,4.2
767,Rashaad Thomas,63,,4.4,10.1,0.435,4.2,9.3,0.455,0.1,0.7,0.191,2.6,4.4,0.585,5.2,0.9,1.2,0.8,,,11.5
768,Rashaun Thomas,33,,0.6,2.2,0.296,0.2,0.6,0.4,0.4,1.5,0.255,0.4,0.5,0.765,0.7,1.2,0.3,0,,,2.1
769,Rashawn Thomas,99,26.2,5.2,9.4,0.551,5.1,9,0.566,0.1,0.4,0.194,3.7,5.8,0.648,7.3,1.1,0.8,1.7,2.9,3.4,14.2
770,Ricardo Thomas,116,,2.3,4.4,0.516,2.1,3.8,0.548,0.2,0.6,0.297,1.5,2.5,0.617,4.6,2.3,0.9,0.5,,,6.2
771,Richard Thomas,55,17.9,1.9,4.7,0.405,1.5,3.1,0.497,0.4,1.6,0.227,0.9,1.4,0.641,2.3,0.8,0.6,0.3,1.6,0.8,5.1
772,Rob Thomas,2,,0,0.5,0,0,0.5,0,0,0,,0,0,,0,0,0,0,,,0
773,Rob Thomas,79,,0.8,1.9,0.428,0.6,1.4,0.436,0.2,0.5,0.405,0.2,0.4,0.543,1,0.4,0.3,0.1,1.3,,2.1
774,Rob Thomas,57,7.2,1.7,3.3,0.505,1.6,3.2,0.511,0,0.1,0.333,0.8,1.5,0.552,2.4,0.1,0.3,0.2,0.5,0.2,4.2
775,Robert Thomas,36,12.7,0.8,2,0.384,0.2,0.6,0.348,0.6,1.4,0.4,0.8,1.1,0.737,1.3,1.1,0.3,0,1,1.2,2.9
776,Roderick Thomas,52,,0.7,1.6,0.435,0.7,1.6,0.434,0,0,0.5,0.4,0.7,0.571,1.8,0.5,0.2,0.1,,,1.8
777,Rodney Thomas,54,,3,7.6,0.397,0.9,3,0.317,2.1,4.7,0.448,1.1,1.3,0.857,2.2,0.9,0.6,0,,,9.3
778,Ronnie Thomas,113,19.8,1.5,3.4,0.438,1.1,2.2,0.506,0.4,1.2,0.313,0.5,0.8,0.604,2.2,0.4,0.2,0.3,0.8,0.7,3.8
779,Rouldra Thomas,32,,0.3,1,0.281,0.3,0.8,0.32,0,0.2,0.143,0.1,0.3,0.182,0.5,0.2,0.1,0.2,,,0.7
780,Ryan Thomas,5,,0,0.4,0,0,0.2,0,0,0.2,0,0,0,,0.2,0,0,0,0,,0
781,Ryan Thomas,6,,0,0.2,0,0,0,,0,0.2,0,0,0,,0.2,0.2,0.2,0,,,0
