ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
220,A.J. Ogilvy,96,23.2,5.2,9.4,0.549,5.1,9.1,0.56,0.1,0.3,0.241,4.9,6.7,0.734,6.7,1.1,0.9,1.5,2.4,1,15.3,11.768
10,A.J. Pacher,133,16,2.4,4.9,0.488,2,3.5,0.558,0.4,1.4,0.308,1.4,2,0.701,3.2,0.6,0.2,0.2,1.3,2.6,6.6,4.399
430,A.J. Patty,18,5.2,0.6,1.6,0.345,0.6,1.3,0.417,0,0.3,0,0.6,0.7,0.833,1.3,0,0.2,0.2,0.2,0.9,1.7,1.618
974,A.J. Riley,30,21,3.1,7.5,0.415,2.4,5.3,0.456,0.7,2.1,0.313,3,4.3,0.703,3.4,2,0.8,0.1,2.1,2.3,9.9,5.566
1706,A.J. Rompza,112,28.8,2.2,5.8,0.373,1.3,3,0.437,0.9,2.8,0.306,1.4,2,0.699,2.6,4.3,1.9,0.1,1.9,1.5,6.6,7.798
1793,A.J. Slaughter,135,36.5,3.9,9.3,0.421,2.4,5.1,0.459,1.6,4.2,0.374,2.3,3,0.784,2.5,2.5,1.3,0.1,2.1,0.5,11.7,6.897
1884,A.J. Smith,120,32.1,3.5,9.1,0.383,2.1,5,0.418,1.4,4.1,0.341,2.6,3.4,0.762,2.4,2.3,0.8,0,3.7,0.3,10.9,3.396
2724,A.J. Spencer,41,18.6,0.8,2.6,0.296,0.7,2.1,0.353,0,0.6,0.087,1.2,1.8,0.708,1.5,3,0.7,0.1,2,2,2.9,2.651
2725,A.J. Spencer,67,26.8,3.4,7.6,0.45,2.8,5.5,0.505,0.7,2.1,0.308,1.1,1.5,0.71,3.1,1.6,0.4,0.1,1,2.2,8.6,6.136
3196,A.J. Stewart,60,18.2,1.3,2.5,0.503,1.2,2.3,0.537,0,0.2,0.154,0.6,0.9,0.607,2.2,0.4,0.3,0.7,1,0.3,3.1,3.122
1676,A.J. Turner,36,28.1,2.3,6.2,0.375,1.3,2.7,0.464,1.1,3.5,0.307,0.9,1.4,0.673,3.8,2.2,0.8,0.4,0.9,1.3,6.7,7.225
1792,A.J. Tyler,116,22.6,2.3,5,0.463,1.9,3.8,0.517,0.4,1.2,0.299,1.1,1.4,0.767,3.4,0.5,0.3,0.3,1,1,6.1,4.832
404,A.J. Walton,141,24.2,1.9,4.8,0.401,1.4,3.4,0.429,0.5,1.4,0.333,1.2,1.8,0.653,2.8,3.2,1.6,0.1,2.1,2.8,5.5,6.204
2518,A.J. Wilson,21,4.2,0.7,1,0.75,0.7,0.9,0.737,0,0,1,0.2,0.4,0.5,1.3,0,0,0.4,0.4,0.4,1.7,1.965
48,A.J. Yawn,12,2.3,0,1.1,0,0,0.8,0,0,0.3,0,0.2,0.8,0.2,0.3,0.1,0.1,0,0.1,0.1,0.2,-0.772
48,Aakim Saintil,31,29.2,3.6,9.8,0.368,2.5,5.6,0.448,1.1,4.2,0.262,4.3,5.4,0.807,2.2,4.7,1.5,0,2.9,3.4,12.6,6.862
49,Aakim Saintil,31,22.7,1.8,5.4,0.329,1.2,3.1,0.371,0.6,2.3,0.271,2.1,2.8,0.739,2,1.8,1,0.1,1.5,3.3,6.3,3.623
3224,Aalim Moor,65,5.5,0.5,1.1,0.438,0.3,0.8,0.449,0.2,0.4,0.417,0,0,0.333,0.4,0.4,0.2,0,0.3,0.6,1.2,0.964
107,Aamahd Walker,17,4.3,0.5,1.2,0.381,0.4,0.9,0.438,0.1,0.3,0.2,0.3,0.5,0.556,0.7,0.1,0.3,0.1,0.3,0.4,1.3,1.048
1358,Aamir McCleary,53,30.9,3.7,9.7,0.378,2.6,6.5,0.405,1.1,3.3,0.324,1.9,2.5,0.774,3.6,4.4,1.3,0,3.5,0.9,10.4,6.928
140,Aaren Edmead,62,15.9,1.4,4.1,0.343,0.6,1.7,0.343,0.8,2.4,0.342,1,1.4,0.718,0.9,1.3,0.5,0,1.2,1.5,4.6,1.899
1588,Aarias Austin,9,13.3,1.9,4.8,0.395,0.8,1.9,0.412,1.1,2.9,0.385,0.6,0.6,1,1.8,0.8,0.2,0,0.9,0.8,5.4,3.149
1354,Aaric Armstead,100,28.1,3.3,8.5,0.386,2.4,5.7,0.426,0.9,2.8,0.306,2.6,3.8,0.692,5,0.8,1.1,0.5,1.8,2,10.1,6.603
3997,Aaric Murray,127,27,5.3,11.2,0.477,4.6,9,0.509,0.8,2.2,0.347,3.2,4.4,0.73,6.9,1.1,0.8,2.2,2.1,3,14.6,12.242
785,Aaron (Gordo) Castillo,32,26.7,2.8,6.6,0.431,0.8,1.4,0.543,2.1,5.2,0.4,1.3,1.5,0.857,2.7,0.9,0.7,0.1,1,1.7,9.1,6.207
274,Aaron Adeoye,92,17.5,1.6,3.6,0.441,1.5,3.3,0.457,0.1,0.3,0.24,0.9,1.4,0.63,4.2,0.5,0.4,0.5,1.2,2.3,4.1,4.963
805,Aaron Alston,14,7.1,0.6,1,0.571,0.6,0.9,0.615,0,0.1,0,0.4,0.9,0.385,1.4,0.1,0.3,0.1,0.6,0.6,1.5,1.556
945,Aaron Anderson,92,31,3.5,6.7,0.528,3.5,6.5,0.537,0,0.2,0.188,1.2,2.7,0.455,8.1,0.9,0.7,0.5,1.2,2.5,8.3,10.402
946,Aaron Anderson,133,28.4,3.1,7.1,0.44,2,4.4,0.458,1.1,2.7,0.412,3.4,4.2,0.813,2.6,2.7,1.1,0.1,1.6,1.4,10.8,7.302
947,Aaron Anderson,62,19.4,1,2.5,0.414,0.7,1.6,0.44,0.3,0.8,0.365,0.9,1.3,0.691,2.4,1.9,0.6,0,1.5,2,3.2,3.883
1340,Aaron Ariri,59,8.8,0.6,1.5,0.437,0.6,1.4,0.447,0,0,0,0.4,0.8,0.457,2.4,0.1,0.1,0.2,0.5,1.2,1.6,2.33
1355,Aaron Armstead,91,18.3,2,5.1,0.385,1.2,2.7,0.434,0.8,2.4,0.329,1.1,1.4,0.752,2.1,0.6,0.6,0.1,1.1,2.1,5.8,3.249
1491,Aaron Asp,26,3.2,0,0.8,0.05,0,0.5,0.083,0,0.3,0,0.4,0.5,0.714,0.4,0.1,0,0,0.3,0.6,0.5,-0.352
1563,Aaron Augustin,7,20.4,1.1,3.3,0.348,1,2.6,0.389,0.1,0.7,0.2,0.7,1.1,0.625,1.9,2.9,0.6,0,1.7,2,3.1,3.447
1589,Aaron Austin,39,16.1,1,3,0.333,0.8,2.3,0.36,0.2,0.7,0.25,0.6,1.2,0.5,1.6,1.5,0.6,0.2,1.5,2.2,2.8,2.107
37,Aaron Bacote,137,27.5,3.6,9,0.401,2.4,5.2,0.455,1.3,3.8,0.33,3.2,4.1,0.796,2.9,2.6,0.8,0.1,2.1,2.1,11.7,6.443
1976,Aaron Bodager,77,16.4,1.5,3.6,0.425,0.3,0.5,0.611,1.3,3.2,0.398,0.3,0.4,0.765,2,0.8,0.4,0,0.7,1.3,4.7,3.977
2359,Aaron Bowen,111,12.7,1.6,3.4,0.483,1.4,2.4,0.577,0.3,1,0.255,0.5,1.1,0.492,2,0.6,0.6,0.2,0.8,1.5,4.1,3.445
2529,Aaron Bracket,63,21.4,2.5,5.3,0.47,2.5,5.1,0.483,0,0.2,0.154,0.8,1.3,0.654,5,0.4,0.6,0.5,1.1,2.4,5.9,6.362
2773,Aaron Brennan,69,19.1,2.2,4.8,0.459,2.1,4.4,0.474,0.1,0.4,0.296,1,1.3,0.772,3.3,0.9,0.5,0.3,1.2,2.4,5.5,4.819
2870,Aaron Bright,135,26.9,2.9,7.6,0.376,1.4,3.5,0.399,1.5,4.1,0.356,2,2.4,0.831,1.5,3.2,0.5,0,1.8,2,9.2,5.071
3088,Aaron Broussard,89,27.8,5.4,11.6,0.463,4.4,8.8,0.505,0.9,2.8,0.331,2.5,3.7,0.673,6.4,1.2,1.5,0.1,1.9,2.3,14.2,9.943
3101,Aaron Brown,129,21.8,2.8,6.7,0.42,1.6,3.3,0.49,1.2,3.4,0.352,1.9,2.8,0.696,2.7,1.1,0.4,0,1.1,1.8,8.8,4.649
3102,Aaron Brown,35,1.9,0.2,0.6,0.318,0.1,0.2,0.714,0.1,0.4,0.133,0,0.1,0,0.4,0.1,0.1,0,0.1,0.2,0.5,0.449
3103,Aaron Brown,116,19.9,2.5,6,0.419,1.9,4.2,0.449,0.6,1.7,0.347,1.4,2.1,0.686,2.6,1,0.4,0.1,1,1.5,7,4.157
112,Aaron Calixte,62,29.4,3.3,8,0.416,2.4,5.2,0.466,0.9,2.8,0.322,1.5,1.8,0.864,2.4,3,0.6,0.1,2.8,2.2,9.1,4.878
575,Aaron Carter,127,20.4,2.1,5.2,0.401,1,2.3,0.452,1.1,2.9,0.361,1.8,2.2,0.812,2.5,0.7,0.4,0.2,1.2,1,7,4.109
739,Aaron Carver,14,10.5,0.5,2,0.25,0.3,1.3,0.222,0.2,0.7,0.3,0.2,0.3,0.75,1.9,0.9,0.4,0.6,0.6,1.5,1.4,2.842
