Simple_PER,name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
1.865,Wayne Englestad,11,0,4.5,1,2.6,0.379,0,0,0,1,2.6,0.379,0.379,0.5,0.9,0.6,0.5,1,1.5,0.6,0.1,0,0.3,1.1,2.5,1.865
4.984,A.J. English,151,18,20.6,4.1,9.4,0.435,0.1,0.4,0.138,4,9,0.449,0.438,1.7,2.2,0.778,0.9,1.2,2.1,2.1,0.4,0.2,1.3,1.9,9.9,4.984
13.521,Alex English,1193,753,31.9,8.9,17.6,0.507,0,0.1,0.217,8.9,17.6,0.508,0.507,3.6,4.3,0.832,2.3,3.2,5.5,3.6,0.9,0.7,2.5,2.5,21.5,13.521
0.915,Claude English,18,0,3.9,0.6,2.3,0.262,0,0,0,0.6,2.3,0.262,0.262,0.3,0.4,0.714,0,0,1.1,0.3,0,0,0,0.8,1.5,0.915
2.266,Jo Jo English,50,0,11.5,1.5,3.6,0.416,0.2,0.6,0.344,1.3,2.9,0.432,0.447,0.4,0.7,0.556,0.2,0.8,1.1,0.9,0.4,0.3,0.9,1.7,3.6,2.266
1.712,Kim English,41,0,9.9,1,2.7,0.375,0.3,1.2,0.28,0.7,1.5,0.452,0.438,0.5,0.7,0.724,0.2,0.7,0.9,0.6,0.4,0.1,0.5,1.1,2.9,1.712
5.336,Scott English,105,0,14.9,2.4,5.7,0.414,0,0.1,0.1,2.4,5.6,0.419,0.414,0.9,1.2,0.77,1.8,3.2,4,1,0.7,0.3,1.3,1.5,5.6,5.336
1.57,Gene Englund,46,0,0,2.3,6,0.38,0,0,0,2.3,6,0.38,0.38,3.3,4.2,0.792,0,0,0,0.9,0,0,0,3.6,7.8,1.57
5.29,James Ennis,98,21,18.3,2,4.6,0.433,0.7,2,0.366,1.3,2.7,0.483,0.511,1.4,1.7,0.811,1,2,3,0.9,0.6,0.2,0.7,1.6,6.1,5.29
3.185,Tyler Ennis,94,8,12.6,1.6,4,0.41,0.3,1,0.312,1.3,3,0.443,0.449,0.3,0.5,0.721,0.3,1,1.3,2,0.5,0.1,1.1,1.3,3.9,3.185
0.86,Ray Epps,13,0,5.5,0.8,1.8,0.435,0,0,0,0.8,1.8,0.435,0.435,0.5,0.6,0.75,0,0.4,0.4,0.2,0.1,0,0.2,0.5,2,0.86
4.2,Semih Erden,69,17,13.4,1.5,2.7,0.546,0,0,0,1.5,2.7,0.546,0.546,0.9,1.5,0.594,0.8,1.9,2.8,0.4,0.4,0.4,0.7,2.4,3.8,4.2
5.56,Bo Erias,18,0,22.3,3.3,9.4,0.347,0,0,0,3.3,9.4,0.347,0.347,1.7,2.6,0.638,0,0,4.6,1.4,0,0,0,2.9,8.2,5.56
9.485,Keith Erickson,766,0,24.6,3.9,9,0.435,0,0,0,3.9,9,0.435,0.435,1.6,2.1,0.769,1.3,3.5,4.5,2.6,0.9,0.2,0,2.7,9.5,9.485
18.739,Julius Erving,1243,442,36.4,9.5,18.8,0.506,0.1,0.4,0.298,9.4,18.4,0.51,0.509,5,6.5,0.777,3,5.5,8.5,4.2,2,1.7,3.4,2.8,24.2,18.739
5.235,Evan Eschmeyer,153,65,14,1,2.2,0.463,0,0,0,1,2.2,0.463,0.463,0.7,1.1,0.621,1.4,2.5,3.9,0.5,0.5,0.6,0.6,2.6,2.8,5.235
0.565,Jack Eskridge,23,0,0,1.1,3,0.362,0,0,0,1.1,3,0.362,0.362,0.6,0.9,0.7,0,0,0,0.6,0,0,0,1.1,2.8,0.565
0.434,Vincenzo Esposito,30,0,9.4,1.2,3.3,0.36,0.4,1.9,0.232,0.8,1.5,0.523,0.425,1,1.3,0.795,0.1,0.4,0.5,0.8,0.2,0,1.3,0.9,3.9,0.434
1.555,Billy Evans,53,0,11.4,0.6,1.6,0.368,0,0,0,0.6,1.6,0.376,0.368,0.7,1.3,0.543,0.3,0.4,0.7,1.9,0,0,0.9,1.7,1.9,1.555
0.39,Bob Evans,47,0,0,1.2,4.3,0.28,0,0,0,1.2,4.3,0.28,0.28,0.6,0.9,0.682,0,0,0,1.2,0,0,0,2.1,3,0.39
2.936,Brian Evans,102,1,10.8,1.4,3.7,0.381,0.4,1.1,0.343,1,2.6,0.396,0.43,0.5,0.6,0.82,0.5,1.1,1.6,0.8,0.3,0.2,0.4,1.1,3.7,2.936
3.25,Earl Evans,36,0,10.6,1.8,3.9,0.45,0.2,0.5,0.389,1.6,3.4,0.459,0.475,0.7,1.2,0.571,0.7,1.4,2.1,1,0.4,0,1,1.8,4.4,3.25
4.521,Jeremy Evans,249,9,10.5,1.5,2.6,0.568,0,0.1,0.231,1.4,2.5,0.582,0.573,0.6,0.8,0.687,1,1.6,2.6,0.4,0.4,0.5,0.3,1.2,3.5,4.521
5.011,Maurice Evans,562,123,19.4,2.5,5.7,0.442,0.8,2.1,0.363,1.8,3.7,0.487,0.508,0.8,1,0.785,1,1.5,2.5,0.7,0.5,0.2,0.5,1.7,6.7,5.011
4.963,Mike Evans,591,15,16.7,3.1,6.9,0.452,0.4,1.3,0.307,2.7,5.6,0.485,0.48,1.1,1.3,0.807,0.3,1.1,1.4,2.6,0.7,0.1,1.4,2,7.7,4.963
7.7,Reggie Evans,809,372,19.2,1.4,2.9,0.465,0,0,0.091,1.4,2.9,0.467,0.466,1.3,2.5,0.528,2.5,4.7,7.1,0.6,0.7,0.1,1.1,2.3,4.1,7.7
12.011,Tyreke Evans,433,370,33.4,6.3,14.2,0.446,0.6,2.1,0.288,5.7,12,0.474,0.468,3.4,4.5,0.757,0.9,3.9,4.9,5.3,1.3,0.4,2.8,2.4,16.7,12.011
2.88,Daniel Ewing,127,8,13.3,1.3,3.3,0.389,0.3,1,0.295,1,2.3,0.429,0.433,0.6,0.7,0.78,0.3,1,1.2,1.4,0.5,0.1,0.8,1.2,3.4,2.88
16.836,Patrick Ewing,1183,1122,34.3,8.2,16.3,0.504,0,0.1,0.152,8.2,16.2,0.507,0.505,4.6,6.2,0.74,2.3,7.5,9.8,1.9,1,2.4,3,3.4,21,16.836
0.058,Patrick Ewing,7,0,2.7,0,0.7,0,0,0.3,0,0,0.4,0,0,0.4,0.6,0.75,0.1,0.1,0.3,0.3,0,0.1,0.1,0.1,0.4,0.058
3.756,Dante Exum,105,52,21.9,1.9,5.3,0.36,0.9,3.1,0.305,1,2.2,0.436,0.448,0.4,0.6,0.724,0.4,1.4,1.8,2.2,0.4,0.2,1.3,1.9,5.2,3.756
4.683,Christian Eyenga,51,18,20.6,2.7,6.5,0.411,0.5,1.8,0.277,2.2,4.6,0.464,0.45,0.4,0.7,0.611,0.6,2.1,2.7,0.8,0.7,0.6,1,1.7,6.3,4.683
5.895,Festus Ezeli,170,61,14.1,1.6,3.2,0.513,0,0,0,1.6,3.2,0.513,0.513,1,1.7,0.557,1.7,2.5,4.3,0.4,0.3,1,0.8,1.9,4.2,5.895
-0.295,Johnny Ezersky,135,0,0,2.7,9.4,0.288,0,0,0,2.7,9.4,0.288,0.288,2.2,3.3,0.669,0,0,0,1.3,0,0,0,2.2,7.6,-0.295
-0.885,Joe Fabel,30,0,0,0.8,3.2,0.26,0,0,0,0.8,3.2,0.26,0.26,0.4,0.9,0.5,0,0,0,0.1,0,0,0,2.1,2.1,-0.885
2.918,John Fairchild,165,0,13.8,2.5,6.2,0.404,0.1,0.3,0.368,2.4,6,0.405,0.41,1.5,2.2,0.681,0.8,1.2,3.2,0.7,0,0,1.4,1.8,6.6,2.918
0.245,Phil Farbman,48,0,0,1,3.4,0.307,0,0,0,1,3.4,0.307,0.307,1.1,1.7,0.679,0,0,0,0.8,0,0,0,1.8,3.2,0.245
13.085,Kenneth Faried,370,345,26.3,4.9,9,0.541,0,0,0.125,4.9,8.9,0.543,0.542,2.3,3.6,0.651,3.2,5.4,8.7,1.1,0.8,0.9,1.5,2.6,12.1,13.085
4.655,Dick Farley,211,0,18.1,2.3,5.9,0.384,0,0,0,2.3,5.9,0.384,0.384,2,2.8,0.7,0,0,2.5,1.8,0,0,0,2,6.5,4.655
5.996,Jordan Farmar,504,40,19.5,2.9,6.8,0.423,1.2,3.1,0.374,1.7,3.8,0.463,0.507,0.8,1,0.739,0.3,1.6,1.9,2.9,0.8,0.1,1.4,1.4,7.7,5.996
1.493,Desmon Farmer,11,0,7.8,0.8,2.6,0.31,0.5,1.8,0.25,0.4,0.8,0.444,0.397,0.3,0.3,1,0,0.6,0.6,1,0.1,0,0.5,0.7,2.4,1.493
2.536,Jim Farmer,136,1,10.7,2,4.7,0.428,0.2,0.6,0.282,1.9,4.2,0.448,0.445,1.1,1.4,0.73,0.6,0.8,1.4,0.8,0.3,0,0.9,1.2,5.3,2.536
6.44,Mike Farmer,423,0,20.8,2.8,7,0.393,0,0,0,2.8,7,0.393,0.393,1.1,1.4,0.814,0,0,4.6,1.3,0,0,0,2,6.7,6.44
4.605,Tony Farmer,101,11,13.5,1.4,3.6,0.395,0.1,0.5,0.189,1.3,3.1,0.429,0.408,2.3,3,0.77,1.3,1.9,3.2,0.8,0.8,0.2,0.9,1.9,5.3,4.605
-1.015,Bob Faught,51,0,0,2.8,9.4,0.295,0,0,0,2.8,9.4,0.295,0.295,1.2,2.1,0.575,0,0,0,0.6,0,0,0,1.9,6.7,-1.015
4.451,Vitor Faverani,37,8,13.2,1.7,4,0.435,0.3,1.1,0.3,1.4,2.9,0.486,0.476,0.6,1,0.649,1.1,2.3,3.5,0.4,0.4,0.7,1.1,2,4.4,4.451
11.4,Derrick Favors,440,259,26,4.7,9.1,0.511,0,0,0.111,4.6,9.1,0.513,0.512,2.3,3.5,0.667,2.5,4.8,7.3,1,0.8,1.4,1.5,2.9,11.6,11.4
5.271,Nick Fazekas,26,0,10.3,1.8,3.2,0.561,0,0.1,0,1.8,3.1,0.575,0.561,0.6,0.8,0.682,1.3,2.1,3.4,0.4,0.3,0.4,0.5,1,4.1,5.271
0.685,Dave Fedor,7,0,3.9,0.4,1.4,0.3,0,0,0,0.4,1.4,0.3,0.3,0,0.1,0,0,0,0.9,0.1,0,0,0,0.6,0.9,0.685
2.315,Bob Feerick,221,0,0,4.9,13.5,0.362,0,0,0,4.9,13.5,0.362,0.362,3.5,4.4,0.805,0,0,0,2,0,0,0,2.7,13.3,2.315
3.885,Butch Feher,48,0,10.1,1.8,3.4,0.531,0,0,0,1.8,3.4,0.531,0.531,1.6,2.1,0.768,0.4,1.2,1.5,0.8,0.2,0.1,0,1,5.2,3.885
8.576,Jamie Feick,201,35,21.5,1.7,4.1,0.424,0.1,0.1,0.4,1.7,4,0.425,0.432,1,1.6,0.629,2.6,4.6,7.1,0.7,0.6,0.4,0.8,2.2,4.5,8.576
1.06,Ron Feiereisel,10,0,5.9,0.8,2.8,0.286,0,0,0,0.8,2.8,0.286,0.286,1.4,1.6,0.875,0,0,0.6,0.6,0,0,0,0.9,3,1.06
0.915,George Feigenbaum,17,0,15.8,1.1,4.6,0.228,0,0,0,1.1,4.6,0.228,0.228,0.9,1.9,0.485,0,0,1.4,1.1,0,0,0,1.7,3.1,0.915
3.595,Dave Feitl,275,58,10.9,1.7,4,0.433,0,0,0,1.7,3.9,0.436,0.433,0.9,1.2,0.751,0.9,2.1,3,0.5,0.2,0.2,0.9,1.6,4.3,3.595
1.828,Kay Felder,8,0,9.1,1,3.1,0.32,0,0.3,0,1,2.9,0.348,0.32,1,1.3,0.8,0.1,0.9,1,1.9,0,0.1,0.9,0.8,3,1.828
4.866,Cristiano Felicio,45,4,10.5,1.2,2.5,0.505,0,0.1,0,1.2,2.4,0.523,0.505,0.7,1,0.696,1.2,2.2,3.4,0.7,0.2,0.4,0.4,1,3.2,4.866
1.647,Carrick Felix,7,0,5.4,1,2,0.5,0.3,0.7,0.4,0.7,1.3,0.556,0.571,0.4,0.6,0.75,0.1,0.7,0.9,0.6,0,0,0.6,0.6,2.7,1.647
0.543,Noel Felix,12,0,6.8,0.5,2.1,0.24,0.1,0.3,0.333,0.4,1.8,0.227,0.26,0.4,0.7,0.625,0.3,0.8,1.1,0.2,0.2,0.3,0.7,1.1,1.5,0.543
10.45,Ray Felix,637,0,23.8,3.8,9.2,0.412,0,0,0,3.8,9.2,0.412,0.412,3.4,5,0.678,0,0,8.9,0.7,0,0,0,3.8,10.9,10.45
10.115,Raymond Felton,798,647,32.3,4.6,11.1,0.412,1,3,0.329,3.6,8.1,0.443,0.457,2,2.6,0.788,0.6,2.5,3.1,5.9,1.3,0.2,2.3,2.1,12.2,10.115
2.025,Jake Fendley,103,0,10,0.8,2.4,0.344,0,0,0,0.8,2.4,0.344,0.344,1.1,1.5,0.742,0,0,1.2,0.9,0,0,0,1.9,2.8,2.025
-1.06,Warren Fenley,33,0,0,0.9,4.2,0.225,0,0,0,0.9,4.2,0.225,0.225,0.7,1.4,0.511,0,0,0,0.5,0,0,0,1.8,2.6,-1.06
0.831,Desmond Ferguson,7,0,4.6,0.7,1.7,0.417,0.4,1.1,0.375,0.3,0.6,0.5,0.542,0,0.3,0,0,0.6,0.6,0.1,0,0,0.1,0,1.9,0.831
6.731,Rudy Fernandez,249,10,24,3,7.4,0.399,1.7,4.6,0.36,1.3,2.8,0.463,0.511,1.4,1.7,0.84,0.5,1.9,2.4,2.2,1,0.2,1.1,1.5,9.1,6.731
2.415,Eric Fernsten,218,0,7.5,0.9,2,0.445,0,0,0,0.9,2,0.445,0.445,0.6,0.9,0.675,0.7,1,1.7,0.4,0.2,0.2,0.4,0.8,2.4,2.415
5.045,Al Ferrari,371,0,20.4,2.4,6.4,0.368,0,0,0,2.4,6.4,0.368,0.368,2.1,2.7,0.76,0,0,2.2,2.5,0,0,0,2.7,6.8,5.045
0.02,Rolando Ferreira,12,0,2.8,0.1,1.5,0.056,0,0,0,0.1,1.5,0.056,0.056,0.6,0.7,0.875,0.3,0.8,1.1,0.1,0,0.1,0.5,0.6,0.8,0.02
4.013,Duane Ferrell,583,72,15,2.4,5.1,0.48,0.1,0.3,0.288,2.4,4.8,0.49,0.487,1.4,1.9,0.75,0.9,1,1.9,0.9,0.5,0.2,0.9,1.5,6.4,4.013
2.342,Yogi Ferrell,10,0,15.1,1.8,4.9,0.367,0.8,2.7,0.296,1,2.2,0.455,0.449,1,1.6,0.625,0.4,0.8,1.2,1.7,0.2,0.2,1.4,1.1,5.4,2.342
5.005,Arnie Ferrin,178,0,0,2.1,6.4,0.332,0,0,0,2.1,6.4,0.332,0.332,1.5,2.3,0.686,0,0,4,1.6,0,0,0,2.9,5.8,5.005
7.645,Bob Ferry,634,0,20.2,3.5,8.1,0.433,0,0,0,3.5,8.1,0.433,0.433,2.1,3.2,0.664,0,0,5.3,1.4,0,0,0,2.3,9.1,7.645
5.404,Danny Ferry,917,186,19.8,2.7,6.1,0.446,0.7,1.9,0.393,2,4.2,0.47,0.506,0.8,1,0.84,0.7,2.1,2.8,1.3,0.4,0.3,0.9,2.1,7,5.404
2.425,Kyrylo Fesenko,135,7,8.2,0.9,1.9,0.496,0,0,0,0.9,1.9,0.5,0.496,0.4,1,0.41,0.7,1.3,2,0.3,0.1,0.4,0.5,1.7,2.3,2.425
1.733,Bobby Fields,22,0,5.6,1,2.2,0.458,0.1,0.3,0.286,0.9,1.9,0.488,0.479,0.4,0.6,0.615,0.7,0.6,1.4,0.9,0,0,1,1.5,2.5,1.733
4.276,Kenny Fields,184,21,14.6,2.5,5.3,0.474,0,0.1,0.188,2.5,5.2,0.479,0.475,1.1,1.6,0.733,1,1.6,2.5,1,0.5,0.2,1,2.1,6.2,4.276
7.389,Landry Fields,255,176,23.6,2.7,5.7,0.473,0.5,1.4,0.332,2.2,4.3,0.52,0.515,1,1.4,0.666,1,3.3,4.3,1.6,0.8,0.2,1.1,1.2,6.8,7.389
1.57,Ron Filipek,19,0,3.8,0.9,2.5,0.383,0,0,0,0.9,2.5,0.383,0.383,0.4,0.7,0.5,0,0,1.3,0.4,0,0,0,0.6,2.3,1.57
2.76,Greg Fillmore,49,0,6.9,1.1,2.6,0.403,0,0,0,1.1,2.6,0.403,0.403,0.3,0.6,0.467,0,0,2.2,0.4,0,0,0,2,2.4,2.76
4.706,Larry Finch,128,0,23.8,3.3,7.8,0.431,0.2,0.6,0.342,3.1,7.1,0.439,0.445,1.7,2.1,0.829,0.5,1.2,1.7,2.4,0.6,0.1,1.4,2.5,8.6,4.706
5.475,Hank Finkel,551,0,12.5,2,4.6,0.449,0,0,0,2,4.6,0.449,0.449,1,1.5,0.662,0.6,1.4,3.9,0.8,0.1,0.1,0,2,5.1,5.475
10.355,Michael Finley,1103,875,34.4,6.1,13.7,0.444,1.3,3.5,0.375,4.8,10.2,0.467,0.492,2.2,2.7,0.811,1,3.3,4.4,2.9,0.9,0.3,1.5,1.6,15.7,10.355
7.005,Danny Finn,142,0,23.9,2.7,8.2,0.327,0,0,0,2.7,8.2,0.327,0.327,2,3.3,0.599,0,0,3.9,4,0,0,0,3.2,7.3,7.005
3.45,Dorian Finney-Smith,20,13,19.5,1.4,4,0.35,0.7,2.5,0.286,0.7,1.6,0.452,0.438,0.7,1,0.737,0.6,1.4,2,0.9,0.5,0.3,0.5,1.6,4.2,3.45
3.385,Matt Fish,50,9,10.2,1.4,2.8,0.5,0,0,0,1.4,2.8,0.504,0.5,0.7,1.1,0.625,0.9,1.3,2.2,0.5,0.4,0.3,0.7,1.8,3.5,3.385
6.656,Derek Fisher,1287,731,25.4,2.9,7.2,0.399,1,2.6,0.374,1.9,4.7,0.413,0.466,1.6,1.9,0.817,0.3,1.7,2.1,3,1.1,0.1,1.1,2.1,8.3,6.656
3.735,Richard Fisher,12,0,5.5,1.5,2.8,0.529,0,0,0,1.5,2.8,0.529,0.529,0.1,0.1,1,1.2,1.5,2.7,0.4,0,0,0.3,0.8,3.1,3.735
3.454,Gerald Fitch,18,1,13.3,1.7,4.9,0.337,0.4,1.4,0.269,1.3,3.5,0.365,0.376,0.9,1.3,0.739,0.4,1.3,1.7,1.8,0.4,0.3,0.8,1.6,4.7,3.454
-1.22,Bob Fitzgerald,78,0,0,1,5,0.194,0,0,0,1,5,0.194,0.194,1.1,1.8,0.629,0,0,0,0.6,0,0,0,2.3,3.1,-1.22
-1.6,Dick Fitzgerald,61,0,0,1.9,8.2,0.237,0,0,0,1.9,8.2,0.237,0.237,0.7,1,0.683,0,0,0,0.7,0,0,0,1.5,4.5,-1.6
6.244,Marcus Fizer,289,35,20.9,3.8,8.8,0.435,0.1,0.4,0.191,3.7,8.4,0.446,0.439,1.9,2.8,0.691,1.3,3.3,4.6,1.2,0.5,0.3,1.5,2.2,9.6,6.244
4.685,Jerry Fleishman,262,0,26.7,2.1,7.5,0.277,0,0,0,2.1,7.5,0.277,0.277,1.6,2.6,0.638,0,0,4.6,1.6,0,0,0,2.3,5.8,4.685
1.715,Al Fleming,20,0,4.9,0.8,1.6,0.484,0,0,0,0.8,1.6,0.484,0.484,0.5,0.9,0.588,0.7,0.9,1.5,0.4,0,0.3,0.8,0.8,2,1.715
7.245,Ed Fleming,292,0,21.2,3,8.2,0.359,0,0,0,3,8.2,0.359,0.359,2.7,3.7,0.731,0,0,5.2,1.9,0,0,0,2.4,8.6,7.245
9.727,Vern Fleming,893,523,27.7,4.4,8.9,0.498,0,0.2,0.181,4.4,8.7,0.507,0.501,2.4,3.2,0.764,1.1,2.3,3.4,4.8,1,0.1,2,2.2,11.3,9.727
1.031,Luis Flores,16,0,4.8,0.9,1.8,0.483,0.3,0.6,0.5,0.6,1.2,0.474,0.569,0.1,0.1,1,0.1,0.1,0.2,0.7,0.1,0,0.7,0.6,2.2,1.031
5.6,Bruce Flowers,53,5,13.2,2.1,3.9,0.534,0,0,0,2.1,3.8,0.539,0.534,0.8,1,0.774,1.3,2.1,3.4,0.9,0.4,0.2,0.8,1.9,4.9,5.6
9.332,Sleepy Floyd,957,584,27.6,4.6,10.5,0.444,0.5,1.7,0.324,4.1,8.8,0.467,0.47,3,3.6,0.815,0.7,2,2.6,5.4,1.2,0.2,2.4,2.1,12.8,9.332
5.481,Jonny Flynn,163,90,22.9,3.4,8.5,0.4,0.7,2.1,0.338,2.7,6.3,0.42,0.442,1.7,2.2,0.809,0.3,1.6,1.9,3.9,0.7,0,2.3,1.1,9.2,5.481
4.435,Mike Flynn,211,0,16,2.5,6.1,0.419,0.4,1.5,0.253,2.4,5.6,0.433,0.429,1,1.7,0.629,0.9,1.2,2.1,2.2,0.7,0.1,1.1,1.3,6.2,4.435
1.125,Larry Fogle,2,0,7,0.5,2.5,0.2,0,0,0,0.5,2.5,0.2,0.2,0,0,0,0.5,1,1.5,0,0.5,0,0,2,1,1.125
2.44,Jack Foley,11,0,7.5,1.8,4.6,0.392,0,0,0,1.8,4.6,0.392,0.392,1.2,1.4,0.867,0,0,1.5,0.5,0,0,0,0.7,4.8,2.44
0.253,Isaac Fontaine,6,0,12.5,0.5,2.3,0.214,0.2,0.8,0.2,0.3,1.5,0.222,0.25,0.7,1,0.667,0,0.8,0.8,0.7,0,0,0.7,1,1.8,0.253
1.01,Levi Fontaine,35,0,6,1.5,4.1,0.366,0,0,0,1.5,4.1,0.366,0.366,0.8,1.1,0.757,0,0,0.4,0.6,0,0,0,0.8,3.8,1.01
1.175,Jeff Foote,4,0,9.8,0.5,1.5,0.333,0,0,0,0.5,1.5,0.333,0.333,0,0,0,0.3,1.3,1.5,0,0,0.3,0.5,1.3,1,1.175
0.506,Bryn Forbes,10,0,5.3,0.4,1.3,0.308,0.1,0.6,0.167,0.3,0.7,0.429,0.346,0.1,0.1,1,0,0.4,0.4,0.1,0.1,0,0,0.6,1,0.506
3.368,Gary Forbes,111,13,13.5,2.1,4.9,0.434,0.4,1.3,0.34,1.7,3.6,0.467,0.478,1.1,1.6,0.702,0.5,1.5,2,0.9,0.4,0.1,0.9,1.2,5.8,3.368
1.634,Alphonso Ford,11,0,10.4,1.5,4.7,0.308,0.1,0.9,0.1,1.4,3.8,0.357,0.317,0.2,0.4,0.5,0.7,1.1,1.8,0.9,0.3,0,0.8,0.6,3.2,1.634
2.19,Alton Ford,73,0,7.2,1,1.9,0.507,0,0,0,1,1.9,0.507,0.507,0.6,0.9,0.697,0.5,1.2,1.7,0.2,0.1,0.1,0.5,1.6,2.5,2.19
1.085,Bob Ford,9,0,8.2,0.6,1.9,0.294,0,0,0,0.6,1.9,0.294,0.294,0.4,0.6,0.8,0.2,1.1,1.3,0.4,0,0,0.4,0.9,1.6,1.085
8.315,Chris Ford,794,201,27.8,4,8.7,0.46,0.5,1.5,0.375,3.8,8.2,0.464,0.469,1.1,1.5,0.731,1.1,1.8,3,3.4,1.6,0.3,1.8,2.3,9.2,8.315
6.185,Don Ford,474,1,19.6,2.8,6,0.464,0,0,0.143,2.8,6,0.465,0.464,0.8,1.1,0.773,1.1,2.4,3.6,1.4,0.6,0.3,0.9,2.1,6.4,6.185
2.555,Jake Ford,31,0,8,1.4,2.9,0.462,0,0,0,1.4,2.9,0.462,0.462,1.4,1.8,0.764,0,0,0.6,1.1,0,0,0,1,4.1,2.555
9.203,Phil Ford,482,184,28,4.4,9.5,0.467,0.1,0.3,0.21,4.4,9.2,0.474,0.469,2.7,3.3,0.82,0.3,1.4,1.8,6.4,1.2,0.1,2.8,2.6,11.6,9.203
1.25,Sharrod Ford,3,0,4.3,0.7,1,0.667,0,0,0,0.7,1,0.667,0.667,0,0,0,0.3,0.7,1,0,0,0.3,0.7,2.3,1.3,1.25
1.164,Sherell Ford,28,1,5,1.1,2.9,0.375,0.1,0.9,0.16,0.9,2,0.473,0.4,0.9,1.2,0.765,0.4,0.4,0.9,0.2,0.3,0,0.2,1,3.2,1.164
9.775,T.J. Ford,429,306,27.7,4.3,9.8,0.433,0.3,1,0.289,4,8.8,0.45,0.448,2.4,2.9,0.815,0.7,2.4,3.1,5.8,1.2,0.1,2.4,2.3,11.2,9.775
0.75,Donnie Forman,44,0,0,1.5,5.3,0.294,0,0,0,1.5,5.3,0.294,0.294,1,1.5,0.642,0,0,0,1.7,0,0,0,2.1,4.1,0.75
5.885,Bayard Forrest,139,0,15.3,1.6,3.7,0.449,0,0,0,1.6,3.7,0.449,0.449,0.8,1.6,0.509,1.4,2.7,4.1,2.1,0.4,0.5,1.4,1.8,4.1,5.885
0.572,Joseph Forte,25,0,5,0.4,1.9,0.234,0,0.2,0,0.4,1.6,0.268,0.234,0.3,0.4,0.8,0.2,0.5,0.7,0.7,0.2,0,0.5,0.3,1.2,0.572
1.808,Courtney Fortson,10,0,9.5,1.1,3.2,0.344,0.3,1.3,0.231,0.8,1.9,0.421,0.391,1,1.5,0.667,0.6,0.9,1.5,1,0.3,0,1,0.5,3.5,1.808
8.65,Danny Fortson,440,175,20.1,2.7,5.8,0.472,0,0,0.167,2.7,5.7,0.473,0.472,2.8,3.5,0.785,2.7,4.5,7.2,0.7,0.4,0.2,1.5,3.5,8.2,8.65
4.48,Fred Foster,524,0,17.4,3.2,7.8,0.414,0,0,0,3.2,7.8,0.414,0.414,1.3,1.8,0.727,0.7,0.9,2.4,1.1,0.3,0,0,1.9,7.8,4.48
3.306,Greg Foster,656,95,12.2,1.6,3.6,0.44,0,0.1,0.225,1.6,3.5,0.448,0.444,0.6,0.9,0.748,0.8,1.8,2.6,0.5,0.1,0.3,0.7,1.9,3.9,3.306
8.861,Jeff Foster,764,345,20.6,1.9,3.9,0.497,0,0.1,0.13,1.9,3.8,0.504,0.498,1,1.7,0.615,2.8,4.1,6.9,0.9,0.7,0.4,0.8,2.5,4.9,8.861
2.467,Jimmy Foster,89,0,13,1.5,4,0.373,0,0.2,0.071,1.5,3.8,0.385,0.374,0.7,1.1,0.673,0.4,0.9,1.3,2.1,0.7,0.1,1.7,2.2,3.7,2.467
3.932,Rod Foster,207,35,16.6,3,6.9,0.44,0.3,1.2,0.298,2.7,5.8,0.469,0.465,1.1,1.4,0.768,0.4,0.9,1.2,2.3,0.7,0,1.4,2.1,7.5,3.932
3.298,Antonis Fotsis,28,1,11.4,1.5,3.7,0.404,0.3,0.8,0.304,1.3,2.9,0.432,0.438,0.6,0.7,0.85,0.9,1.3,2.2,0.4,0.3,0.4,0.8,0.8,3.9,3.298
6.482,Evan Fournier,274,134,25.3,4.1,9.1,0.445,1.4,3.7,0.386,2.6,5.4,0.486,0.524,1.9,2.4,0.793,0.4,2.1,2.5,2.1,0.8,0,1.5,2.3,11.4,6.482
12.84,Larry Foust,817,0,29.2,4.7,11.5,0.405,0,0,0,4.7,11.5,0.405,0.405,4.4,5.9,0.741,0,0,9.8,1.7,0,0,0,3.6,13.7,12.84
3.432,Calvin Fowler,78,0,15.8,1.7,3.7,0.455,0.1,0.2,0.412,1.6,3.5,0.458,0.467,0.9,1.5,0.622,0.7,1.5,2.2,1.6,0,0,1,2,4.4,3.432
1.495,Jerry Fowler,6,0,6.8,0.7,2.2,0.308,0,0,0,0.7,2.2,0.308,0.308,0.2,0.7,0.25,0,0,1.7,0.3,0,0,0,1.5,1.5,1.495
2.992,Tremaine Fowlkes,103,27,12,1,2.5,0.409,0,0.2,0.2,1,2.3,0.426,0.416,0.8,1.1,0.791,0.9,1.3,2.2,0.5,0.5,0.1,0.5,1.4,2.9,2.992
1.98,Harold Fox,10,0,8.4,1.2,3.2,0.375,0,0,0,1.2,3.2,0.375,0.375,0.7,0.8,0.875,0,0,0.8,1,0,0,0,0.7,3.1,1.98
11.675,Jim Fox,743,0,23.3,3.5,7.3,0.479,0,0,0,3.5,7.3,0.479,0.479,2.3,3,0.77,1.9,4.1,7.4,1.6,0.5,0.3,0,2.7,9.3,11.675
