Simple_PER,name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
1.754,Will Blalock,14,0,11.9,0.6,2.1,0.3,0.1,0.4,0.2,0.6,1.8,0.32,0.317,0.4,0.4,1,0.4,0.6,1.1,1.2,0.4,0,0.9,0.6,1.8,1.754
2.35,George Blaney,36,0,10.1,1.5,3.9,0.38,0,0,0,1.5,3.9,0.38,0.38,0.3,0.5,0.529,0,0,1,1.3,0,0,0,0.9,3.3,2.35
1.945,Lance Blanks,142,2,7.4,0.8,1.9,0.436,0.1,0.5,0.253,0.7,1.3,0.508,0.472,0.3,0.4,0.667,0.2,0.6,0.8,0.8,0.3,0.1,0.4,0.9,2,1.945
2.875,Ricky Blanton,2,0,6.5,1.5,3.5,0.429,0,0,0,1.5,3.5,0.429,0.429,0,0,0,1,0.5,1.5,0.5,1,0,0.5,0.5,3,2.875
8.804,Andray Blatche,564,191,22.1,4.1,8.8,0.467,0.1,0.4,0.237,4,8.4,0.478,0.472,1.8,2.4,0.725,1.8,3.5,5.4,1.4,0.9,0.8,1.6,2.5,10.1,8.804
13.003,Mookie Blaylock,889,800,34.9,5.3,12.9,0.409,1.4,4.3,0.336,3.8,8.6,0.445,0.465,1.4,1.9,0.736,1.1,3,4.1,6.7,2.3,0.3,2.3,1.9,13.5,13.003
9.783,Eric Bledsoe,374,212,26.3,4.3,9.6,0.447,0.8,2.3,0.33,3.5,7.3,0.483,0.486,2.7,3.4,0.784,0.8,2.9,3.7,4.3,1.4,0.5,2.6,1.9,12,9.783
0.675,Leon Blevins,2,0,0,0.5,2,0.25,0,0,0,0.5,2,0.25,0.25,0,0.5,0,0,0,1,0.5,0,0,0,1.5,1,0.675
10.835,John Block,597,0,24,4.3,10,0.433,0,0,0,4.3,10,0.433,0.433,3.2,4.1,0.778,1.4,3.1,6.6,1.3,0.8,0.5,0,2.9,11.9,10.835
-1.245,Mike Bloom,93,0,0,2.2,8.8,0.255,0,0,0,2.2,8.8,0.255,0.255,2.3,3.3,0.713,0,0,0,0.8,0,0,0,1.8,6.8,-1.245
5.625,Corie Blount,644,77,15.4,1.5,3.2,0.471,0,0,0.115,1.5,3.1,0.475,0.471,0.6,1,0.587,1.7,2.5,4.2,0.7,0.5,0.4,0.8,2.1,3.6,5.625
7.157,Mark Blount,605,393,23.1,3.3,6.6,0.504,0.1,0.2,0.359,3.3,6.5,0.507,0.508,1.4,2,0.723,1.5,3.1,4.6,0.8,0.5,0.8,1.5,2.6,8.2,7.157
2.002,Vander Blue,5,1,17.8,2.2,6.8,0.324,0.4,2.2,0.182,1.8,4.6,0.391,0.353,0.6,2,0.3,0.4,2,2.4,1.8,0.6,0,1.6,1,5.4,2.002
2.424,Ray Blume,49,2,11.1,2.1,4.5,0.459,0.1,0.4,0.222,2,4.2,0.48,0.468,0.4,0.6,0.643,0.3,0.6,0.8,1.4,0.5,0,1.1,1.2,4.6,2.424
4.265,Nelson Bobb,227,0,21.2,1.6,4.5,0.35,0,0,0,1.6,4.5,0.35,0.35,1.5,2.4,0.612,0,0,2.4,2.1,0,0,0,2.3,4.6,4.265
2.035,Tony Bobbitt,2,0,6,1,2.5,0.4,0.5,1,0.5,0.5,1.5,0.333,0.5,0,0,0,0,1.5,1.5,0,0,0,0,0.5,2.5,2.035
9.06,Bucky Bockhorn,474,0,31.2,4.7,11.8,0.403,0,0,0,4.7,11.8,0.403,0.403,2,2.6,0.748,0,0,4.7,3.5,0,0,0,3.3,11.5,9.06
12.925,Tom Boerwinkle,635,0,22.7,2.9,6.5,0.453,0,0,0,2.9,6.5,0.453,0.453,1.4,2,0.675,1.8,4,9,3.2,0.4,0.5,1.2,2.9,7.2,12.925
4.95,Keith Bogans,671,333,21.6,2.2,5.6,0.394,1.1,3,0.353,1.1,2.6,0.442,0.489,0.9,1.2,0.716,0.6,2.1,2.7,1.3,0.6,0.1,0.9,1.8,6.3,4.95
5.879,Bojan Bogdanovic,178,88,25.6,3.9,8.8,0.444,1.4,3.9,0.365,2.5,4.9,0.507,0.525,1.5,1.8,0.834,0.5,2.5,3,1.1,0.4,0.1,1.3,1.4,10.7,5.879
11.604,Muggsy Bogues,889,556,28.6,3.2,7,0.458,0.1,0.4,0.278,3.1,6.6,0.47,0.467,1.2,1.4,0.827,0.6,2,2.6,7.6,1.5,0,1.6,1.8,7.7,11.604
14.38,Andrew Bogut,660,646,29.3,4.5,8.3,0.535,0,0,0.12,4.5,8.3,0.536,0.535,1.3,2.3,0.556,2.6,6.4,9,2.3,0.7,1.6,1.8,3.2,10.2,14.38
