ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
292,David Vanterpool,5-Jun,200lb,22,0,18.7,2.1,5,0.418,0,0.3,0,2.1,4.7,0.442,0.418,1.4,2.3,0.6,0.7,1,1.7,3,1,0.1,1.7,2,5.5
293,David Vaughn,9-Jun,240lb,118,8,9.8,1.2,2.7,0.423,0,0,0,1.2,2.7,0.425,0.423,0.6,0.9,0.638,1.1,1.9,3.1,0.3,0.3,0.4,0.8,1.8,2.9
294,David Wesley,Jun-00,190lb,949,796,31.9,4.5,10.6,0.424,1.2,3.2,0.368,3.3,7.3,0.448,0.48,2.3,3,0.786,0.6,2,2.5,4.4,1.3,0.2,1.9,2.4,12.5
295,David West,9-Jun,250lb,916,742,30.1,5.9,12,0.492,0.1,0.2,0.255,5.8,11.7,0.496,0.494,2.7,3.3,0.818,1.8,4.9,6.8,2.2,0.8,0.8,1.7,2.4,14.5
296,David Wood,9-Jun,227lb,412,31,13.5,1.4,3.1,0.449,0.3,0.8,0.338,1.1,2.3,0.488,0.493,0.9,1.1,0.785,0.9,1.5,2.4,0.7,0.4,0.2,0.6,2.3,3.9
297,DeAndre Liggins,6-Jun,209lb,69,2,7.7,0.6,1.3,0.478,0.1,0.4,0.385,0.5,1,0.515,0.533,0.4,0.7,0.542,0.4,0.9,1.3,0.4,0.4,0.1,0.5,0.8,1.8
298,Dedric Willoughby,3-Jun,180lb,25,1,20.3,2.4,7.2,0.341,1.2,3.9,0.296,1.3,3.2,0.395,0.422,1.6,2,0.765,0.4,1.6,2,2.6,0.9,0.1,1.5,1.3,7.6
299,Dee Brown,1-Jun,160lb,608,267,27.7,4.2,9.6,0.436,1,2.8,0.357,3.2,6.8,0.469,0.488,1.8,2.1,0.825,0.5,2.1,2.6,3.7,1.3,0.3,1.5,2.1,11.1
300,Dee Brown,1-Jun,160lb,608,267,27.7,4.2,9.6,0.436,1,2.8,0.357,3.2,6.8,0.469,0.488,1.8,2.1,0.825,0.5,2.1,2.6,3.7,1.3,0.3,1.5,2.1,11.1
301,Dee Brown,1-Jun,160lb,608,267,27.7,4.2,9.6,0.436,1,2.8,0.357,3.2,6.8,0.469,0.488,1.8,2.1,0.825,0.5,2.1,2.6,3.7,1.3,0.3,1.5,2.1,11.1
302,Dee Brown,1-Jun,160lb,608,267,27.7,4.2,9.6,0.436,1,2.8,0.357,3.2,6.8,0.469,0.488,1.8,2.1,0.825,0.5,2.1,2.6,3.7,1.3,0.3,1.5,2.1,11.1
303,Dee Brown,Jun-00,185lb,68,11,10.5,0.7,2.2,0.34,0.2,0.8,0.25,0.5,1.4,0.389,0.384,0.4,0.6,0.643,0.2,0.8,1,1.8,0.5,0.1,0.7,1.2,2.1
304,Dee Brown,Jun-00,185lb,68,11,10.5,0.7,2.2,0.34,0.2,0.8,0.25,0.5,1.4,0.389,0.384,0.4,0.6,0.643,0.2,0.8,1,1.8,0.5,0.1,0.7,1.2,2.1
305,Dee Brown,Jun-00,185lb,68,11,10.5,0.7,2.2,0.34,0.2,0.8,0.25,0.5,1.4,0.389,0.384,0.4,0.6,0.643,0.2,0.8,1,1.8,0.5,0.1,0.7,1.2,2.1
306,Dee Brown,Jun-00,185lb,68,11,10.5,0.7,2.2,0.34,0.2,0.8,0.25,0.5,1.4,0.389,0.384,0.4,0.6,0.643,0.2,0.8,1,1.8,0.5,0.1,0.7,1.2,2.1
307,Dejounte Murray,5-Jun,170lb,11,1,4.2,0.4,1.3,0.286,0.2,0.4,0.5,0.2,0.9,0.2,0.357,0.4,0.7,0.5,0,0.5,0.5,0.7,0,0,0.7,0.6,1.3
308,DeJuan Wheat,Jun-00,165lb,80,0,9.3,1.2,3,0.383,0.4,1,0.39,0.8,2.1,0.38,0.444,0.6,0.9,0.7,0.2,0.5,0.7,1.6,0.4,0,0.7,0.9,3.3
309,Dell Curry,4-Jun,190lb,1083,99,21.7,4.7,10.3,0.457,1.1,2.9,0.402,3.6,7.4,0.478,0.513,1.1,1.4,0.843,0.6,1.9,2.4,1.8,0.9,0.2,1.2,1.7,11.7
310,Dell Demps,3-Jun,205lb,20,0,5.4,1.1,2.1,0.5,0.1,0.2,0.333,1,2,0.513,0.512,0.8,1.1,0.762,0.1,0.4,0.5,0.5,0.3,0.1,0.7,0.6,3
311,Delon Wright,5-Jun,183lb,27,1,8.5,1.3,3,0.45,0.2,0.5,0.385,1.1,2.5,0.463,0.481,1,1.3,0.743,0.3,1.1,1.4,1.1,0.3,0.1,0.6,0.3,3.8
312,DeMarcus Cousins,11-Jun,270lb,436,414,31.7,7.5,16.2,0.46,0.3,0.9,0.317,7.2,15.4,0.469,0.469,5.4,7.3,0.729,3,7.8,10.8,2.8,1.4,1.2,3.4,3.9,20.6
313,Demetrius Jackson,1-Jun,201lb,4,0,4.3,0.8,1,0.75,0.3,0.3,1,0.5,0.8,0.667,0.875,0.8,1.5,0.5,0.5,0.5,1,0.8,0,0,0,0,2.5
314,Dennis Hopson,5-Jun,200lb,334,119,22.5,4.1,9.6,0.431,0.2,0.7,0.271,3.9,8.9,0.443,0.44,2.5,3.2,0.765,1.3,1.6,2.8,1.6,1,0.5,1.6,2,10.9
315,Dennis Horner,9-Jun,230lb,8,0,2.8,0.1,0.5,0.25,0,0.1,0,0.1,0.4,0.333,0.25,0.4,0.5,0.75,0.3,0.4,0.6,0,0,0,0.1,0.1,0.6
316,Dennis Scott,8-Jun,229lb,629,376,28.6,4.7,11.3,0.417,1.9,4.9,0.397,2.8,6.4,0.431,0.502,1.5,1.9,0.793,0.6,2.2,2.8,2.1,0.8,0.3,1.2,2,12.9
317,Denzel Valentine,6-Jun,212lb,16,0,10.8,0.8,2.9,0.277,0.6,2.1,0.273,0.3,0.9,0.286,0.372,0.1,0.1,0.5,0.1,1.4,1.5,0.4,0.3,0.1,0.3,1.2,2.3
318,DeQuan Jones,8-Jun,221lb,63,17,12.7,1.5,3.5,0.436,0.1,0.6,0.257,1.4,2.9,0.47,0.456,0.5,0.8,0.667,0.3,1.4,1.7,0.3,0.3,0.3,0.5,0.9,3.7
319,Derek Anderson,5-Jun,194lb,615,390,29.2,3.9,9.6,0.408,1,3.1,0.341,2.9,6.6,0.44,0.463,3,3.6,0.853,0.7,2.5,3.2,3.4,1.1,0.1,1.7,2,12
320,Derek Fisher,1-Jun,200lb,1287,731,25.4,2.9,7.2,0.399,1,2.6,0.374,1.9,4.7,0.413,0.466,1.6,1.9,0.817,0.3,1.7,2.1,3,1.1,0.1,1.1,2.1,8.3
321,Derek Harper,4-Jun,185lb,1199,883,31.5,5.2,11.2,0.463,0.9,2.5,0.354,4.3,8.6,0.494,0.503,2.1,2.9,0.745,0.6,1.8,2.4,5.5,1.6,0.3,1.9,2.3,13.3
322,DerMarr Johnson,9-Jun,201lb,344,136,17.2,2.2,5.4,0.411,0.8,2.4,0.336,1.4,3.1,0.469,0.485,0.9,1.1,0.789,0.6,1.7,2.2,0.9,0.6,0.4,1,1.7,6.2
323,Derrick Alston,11-Jun,225lb,139,42,19.1,2.3,4.7,0.489,0,0.1,0.143,2.3,4.6,0.493,0.49,0.8,1.7,0.487,1.6,2.1,3.8,0.7,0.7,0.6,0.8,2.1,5.4
324,Derrick Chievous,7-Jun,195lb,154,1,14.5,2.6,5.8,0.443,0.1,0.2,0.242,2.5,5.6,0.451,0.448,1.8,2.4,0.755,1,1.3,2.4,0.7,0.5,0.1,1.2,1.6,7.1
325,Derrick Coleman,10-Jun,230lb,781,672,33.2,5.9,13.2,0.447,0.4,1.4,0.295,5.5,11.8,0.465,0.462,4.3,5.5,0.769,2.7,6.6,9.3,2.5,0.8,1.3,2.6,2.6,16.5
326,Derrick Dial,4-Jun,184lb,82,0,8.4,1.3,3.4,0.372,0.1,0.5,0.19,1.2,2.9,0.404,0.386,0.5,0.7,0.672,0.5,1.1,1.6,0.8,0.3,0.1,0.4,0.6,3.1
327,Derrick Favors,10-Jun,265lb,440,259,26,4.7,9.1,0.511,0,0,0.111,4.6,9.1,0.513,0.512,2.3,3.5,0.667,2.5,4.8,7.3,1,0.8,1.4,1.5,2.9,11.6
328,Derrick McKey,9-Jun,205lb,937,639,29.1,4.2,8.6,0.486,0.2,0.7,0.316,4,7.9,0.5,0.498,2.4,3.1,0.779,1.6,3.1,4.7,2.4,1.1,0.7,1.8,2.9,11
329,Derrick Williams,8-Jun,240lb,390,110,21.3,3.2,7.5,0.432,0.6,2,0.293,2.6,5.5,0.482,0.471,2.2,3.1,0.711,0.9,3.2,4.1,0.7,0.5,0.3,1,1.3,9.2
330,Derrick Williams,8-Jun,240lb,390,110,21.3,3.2,7.5,0.432,0.6,2,0.293,2.6,5.5,0.482,0.471,2.2,3.1,0.711,0.9,3.2,4.1,0.7,0.5,0.3,1,1.3,9.2
331,Desmond Mason,7-Jun,224lb,643,385,30.5,4.6,10.2,0.449,0.1,0.4,0.26,4.5,9.8,0.456,0.454,2.9,3.9,0.74,1.3,3.2,4.5,1.6,0.7,0.4,1.6,2.2,12.1
332,Devin Booker,6-Jun,206lb,97,72,28.8,5.3,12.5,0.424,1.4,4,0.34,3.9,8.5,0.463,0.478,2.9,3.5,0.828,0.4,2.1,2.5,2.6,0.6,0.3,2.2,3,14.9
333,Devin Booker,6-Jun,206lb,97,72,28.8,5.3,12.5,0.424,1.4,4,0.34,3.9,8.5,0.463,0.478,2.9,3.5,0.828,0.4,2.1,2.5,2.6,0.6,0.3,2.2,3,14.9
334,Devin Brown,5-Jun,220lb,465,127,19.4,2.5,6.3,0.401,0.6,1.9,0.338,1.9,4.4,0.429,0.452,1.5,2,0.776,0.7,2,2.8,1.5,0.6,0.1,1.1,1.6,7.2
335,Devin Brown,5-Jun,220lb,465,127,19.4,2.5,6.3,0.401,0.6,1.9,0.338,1.9,4.4,0.429,0.452,1.5,2,0.776,0.7,2,2.8,1.5,0.6,0.1,1.1,1.6,7.2
336,Devin Ebanks,9-Jun,215lb,63,15,11.3,1.3,3.4,0.385,0.1,0.6,0.222,1.2,2.8,0.418,0.404,0.8,1.1,0.722,0.8,1.1,1.9,0.4,0.3,0.2,0.6,0.9,3.6
337,Devin Harris,3-Jun,192lb,786,445,26.1,3.9,8.8,0.437,0.8,2.5,0.323,3.1,6.3,0.482,0.483,3.1,3.9,0.794,0.3,2,2.3,4.4,1.1,0.2,1.9,2.3,11.6
338,Dewayne Dedmon,Jul-00,245lb,165,42,13.2,1.6,2.9,0.538,0,0,0,1.6,2.9,0.539,0.538,0.8,1.2,0.651,1.5,3,4.5,0.2,0.3,0.8,0.7,2.2,3.9
339,Dexter Boney,4-Jun,185lb,8,0,6,0.8,2.4,0.316,0.1,0.8,0.167,0.6,1.6,0.385,0.342,0.8,1,0.75,0.4,0.4,0.8,0,0.3,0.1,0.1,0.4,2.4
340,Diante Garrett,4-Jun,190lb,90,0,13.3,1.3,3.5,0.373,0.4,1.2,0.351,0.9,2.3,0.384,0.435,0.2,0.2,0.682,0.2,1.1,1.2,1.7,0.6,0.1,1,0.9,3.2
341,Dickey Simpkins,9-Jun,248lb,327,100,15.9,1.5,3.4,0.44,0,0,0.222,1.5,3.4,0.442,0.441,1.2,2,0.618,1.3,2.3,3.6,0.9,0.3,0.2,1.1,1.8,4.2
