ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1232,Isaac Fontaine,4-Jun,210lb,6,0,12.5,0.5,2.3,0.214,0.2,0.8,0.2,0.3,1.5,0.222,0.25,0.7,1,0.667,0,0.8,0.8,0.7,0,0,0.7,1,1.8
1233,Levi Fontaine,4-Jun,190lb,35,,6,1.5,4.1,0.366,,,,1.5,4.1,0.366,0.366,0.8,1.1,0.757,,,0.4,0.6,,,,0.8,3.8
1234,Jeff Foote,Jul-00,265lb,4,0,9.8,0.5,1.5,0.333,0,0,,0.5,1.5,0.333,0.333,0,0,,0.3,1.3,1.5,0,0,0.3,0.5,1.3,1
1235,Bryn Forbes,3-Jun,190lb,10,0,5.3,0.4,1.3,0.308,0.1,0.6,0.167,0.3,0.7,0.429,0.346,0.1,0.1,1,0,0.4,0.4,0.1,0.1,0,0,0.6,1
1236,Gary Forbes,7-Jun,220lb,111,13,13.5,2.1,4.9,0.434,0.4,1.3,0.34,1.7,3.6,0.467,0.478,1.1,1.6,0.702,0.5,1.5,2,0.9,0.4,0.1,0.9,1.2,5.8
1237,Alphonso Ford,1-Jun,190lb,11,0,10.4,1.5,4.7,0.308,0.1,0.9,0.1,1.4,3.8,0.357,0.317,0.2,0.4,0.5,0.7,1.1,1.8,0.9,0.3,0,0.8,0.6,3.2
1238,Alton Ford,9-Jun,275lb,73,0,7.2,1,1.9,0.507,0,0,,1,1.9,0.507,0.507,0.6,0.9,0.697,0.5,1.2,1.7,0.2,0.1,0.1,0.5,1.6,2.5
1239,Bob Ford,7-Jun,228lb,9,,8.2,0.6,1.9,0.294,0,0,,0.6,1.9,0.294,0.294,0.4,0.6,0.8,0.2,1.1,1.3,0.4,,,0.4,0.9,1.6
1240,Chris Ford,5-Jun,190lb,794,201,27.8,4,8.7,0.46,0.5,1.5,0.375,3.8,8.2,0.464,0.469,1.1,1.5,0.731,1.1,1.8,3,3.4,1.6,0.3,1.8,2.3,9.2
1241,Don Ford,9-Jun,215lb,474,1,19.6,2.8,6,0.464,0,0,0.143,2.8,6,0.465,0.464,0.8,1.1,0.773,1.1,2.4,3.6,1.4,0.6,0.3,0.9,2.1,6.4
1242,Jake Ford,3-Jun,180lb,31,,8,1.4,2.9,0.462,,,,1.4,2.9,0.462,0.462,1.4,1.8,0.764,,,0.6,1.1,,,,1,4.1
1243,Phil Ford,2-Jun,175lb,482,184,28,4.4,9.5,0.467,0.1,0.3,0.21,4.4,9.2,0.474,0.469,2.7,3.3,0.82,0.3,1.4,1.8,6.4,1.2,0.1,2.8,2.6,11.6
1244,Sharrod Ford,9-Jun,225lb,3,0,4.3,0.7,1,0.667,0,0,,0.7,1,0.667,0.667,0,0,,0.3,0.7,1,0,0,0.3,0.7,2.3,1.3
1245,Sherell Ford,7-Jun,210lb,28,1,5,1.1,2.9,0.375,0.1,0.9,0.16,0.9,2,0.473,0.4,0.9,1.2,0.765,0.4,0.4,0.9,0.2,0.3,0,0.2,1,3.2
1246,T.J. Ford,Jun-00,165lb,429,306,27.7,4.3,9.8,0.433,0.3,1,0.289,4,8.8,0.45,0.448,2.4,2.9,0.815,0.7,2.4,3.1,5.8,1.2,0.1,2.4,2.3,11.2
1247,Donnie Forman,10-May,175lb,44,,,1.5,5.3,0.294,,,,1.5,5.3,0.294,0.294,1,1.5,0.642,,,,1.7,,,,2.1,4.1
