ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4339,Chico Vaughn,2-Jun,190lb,491,,25.7,4.4,11.1,0.392,1.9,6.2,0.301,3.7,9,0.412,0.42,2.5,3.4,0.738,0.7,1.5,2.5,2.1,,,2.1,2.3,11.9
4340,David Vaughn,11-Jun,220lb,93,,27.9,4.7,11.1,0.421,0,0,0,4.7,11.1,0.422,0.421,1.4,2.5,0.549,3.1,6.8,9.8,1.5,0.8,1.4,2.2,3.1,10.7
4341,David Vaughn,9-Jun,240lb,118,8,9.8,1.2,2.7,0.423,0,0,0,1.2,2.7,0.425,0.423,0.6,0.9,0.638,1.1,1.9,3.1,0.3,0.3,0.4,0.8,1.8,2.9
4342,Jacque Vaughn,1-Jun,190lb,776,123,16.3,1.7,3.9,0.429,0.1,0.3,0.352,1.6,3.6,0.437,0.445,1,1.3,0.779,0.2,1.1,1.3,2.5,0.5,0,1,1.6,4.5
4343,Rashad Vaughn,6-Jun,202lb,81,6,14.1,1.3,4,0.319,0.7,2.2,0.304,0.6,1.7,0.338,0.405,0.1,0.2,0.8,0.1,1.1,1.2,0.5,0.4,0.2,0.4,1,3.3
4344,Virgil Vaughn,4-Jun,205lb,17,,,0.9,4.6,0.192,,,,0.9,4.6,0.192,0.192,0.9,1.6,0.536,,,,0.6,,,,1.1,2.6
4345,Loy Vaught,9-Jun,230lb,689,354,24.7,4.4,8.8,0.504,0,0.1,0.244,4.4,8.7,0.508,0.506,1.2,1.7,0.718,2.2,4.9,7.1,0.9,0.7,0.3,1.2,2.4,10.1
4346,Bob Verga,1-Jun,190lb,342,,31.4,7.6,17.4,0.438,0.4,1.3,0.296,7.3,16.2,0.449,0.449,4.6,6.1,0.749,1.9,2,3.9,2.9,0.6,0,3.1,2.9,20.2
4347,Pete Verhoeven,9-Jun,215lb,282,27,11.4,1.5,3,0.505,0,0,0.25,1.5,3,0.506,0.505,0.5,0.7,0.689,1,1.3,2.3,0.5,0.5,0.2,0.6,2.2,3.5
4348,Jan Vesely,11-Jun,240lb,162,25,15.2,1.6,3.1,0.521,0,0,0,1.6,3.1,0.523,0.521,0.4,1,0.408,1.4,2.1,3.5,0.6,0.7,0.5,0.8,2.4,3.6
4349,Gundars Vetra,6-Jun,195lb,13,0,6.8,1.5,3.1,0.475,0.2,0.2,1,1.2,2.8,0.432,0.513,0.3,0.5,0.667,0.3,0.3,0.6,0.5,0.2,0,0.2,0.9,3.5
4350,Joao Vianna,9-Jun,215lb,1,0,9,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,2,0,0,1,3,2
4351,Charlie Villanueva,11-Jun,232lb,656,163,20.7,4,9.3,0.435,1.1,3.2,0.341,3,6.1,0.484,0.494,1.2,1.6,0.772,1.2,3.4,4.6,0.8,0.5,0.5,1,2.2,10.4
4352,Jay Vincent,7-Jun,220lb,576,225,27,6.1,12.8,0.474,0,0,0.148,6.1,12.7,0.475,0.474,3,3.9,0.784,1.7,3.8,5.5,2,0.7,0.3,1.9,2.8,15.2
4353,Sam Vincent,2-Jun,185lb,396,168,19,2.9,6.5,0.449,0,0.2,0.182,2.9,6.3,0.458,0.452,1.9,2.2,0.863,0.4,1.7,2.1,3.9,0.7,0.2,1.7,1.5,7.8
4354,Marcus Vinicius,8-Jun,225lb,26,0,6.6,0.6,1.3,0.457,0.3,0.7,0.421,0.3,0.6,0.5,0.571,0.4,0.7,0.556,0.1,0.6,0.7,0.3,0.1,0.1,0.3,0.5,1.9
4355,Fred Vinson,4-Jun,190lb,13,0,5.2,0.5,1.8,0.25,0.2,1,0.231,0.2,0.8,0.273,0.313,0.2,0.2,0.667,0,0.1,0.1,0.1,0.2,0,0.5,0.5,1.3
4356,Claude Virden,6-Jun,195lb,31,,26.6,4.2,10.5,0.398,0,0.1,0,4.2,10.5,0.4,0.398,1.5,1.9,0.78,1.6,3.4,5,2.4,,,1.6,2.7,9.9
4357,Gary Voce,9-Jun,240lb,1,0,4,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,0,2,0,0,0,0,0,2
4358,Floyd Volker,4-Jun,205lb,54,,,3,9.8,0.309,,,,3,9.8,0.309,0.309,1.3,2.4,0.55,,,,2.1,,,,3.1,7.4
4359,Alexander Volkov,10-Jun,218lb,149,31,16.5,2.6,5.7,0.455,0.3,1,0.333,2.3,4.8,0.48,0.483,1.3,2.1,0.613,1,1.5,2.6,2.2,0.7,0.3,1,2.3,6.8
4360,Whitey Von Nieda,1-Jun,170lb,59,,,2,5.7,0.357,,,,2,5.7,0.357,0.357,1.2,1.9,0.635,,,,2.4,,,,2.2,5.3
4361,Noah Vonleh,10-Jun,240lb,121,57,13.4,1.4,3.3,0.409,0.2,0.6,0.282,1.2,2.7,0.44,0.436,0.5,0.7,0.739,1,2.6,3.7,0.3,0.3,0.3,0.6,1.6,3.4
4362,Jake Voskuhl,11-Jun,245lb,450,93,14.3,1.5,3.1,0.487,0,0,0.333,1.5,3.1,0.488,0.488,1,1.5,0.714,1.2,2.2,3.4,0.5,0.3,0.4,0.8,2.6,4
4363,Danny Vranes,7-Jun,210lb,510,246,20.8,2.1,4.2,0.496,0,0,0.105,2.1,4.1,0.499,0.496,1,1.7,0.57,1.5,2.4,3.9,1.2,0.7,0.5,1,2.7,5.1
4364,Slavko Vranes,5-Jul,275lb,1,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0
4365,Stojko Vrankovic,2-Jul,260lb,170,73,12.1,1.2,2.4,0.477,0,0,,1.2,2.4,0.477,0.477,0.5,0.8,0.598,0.9,2.1,3,0.3,0.1,1.1,0.8,1.9,2.8
4366,Brett Vroman,Jul-00,220lb,11,,8.5,0.9,2.5,0.37,0,0.1,0,0.9,2.4,0.385,0.37,1.3,1.7,0.737,0.6,1.6,2.3,0.8,0.5,0.5,0.8,2.4,3.1
4367,Jackson Vroman,10-Jun,220lb,87,20,12.8,1.2,3,0.408,0,0,0,1.2,3,0.412,0.408,0.8,1.4,0.58,1.1,1.9,3,0.6,0.4,0.3,1,2.1,3.3
4368,Nikola Vucevic,Jul-00,260lb,348,299,29.9,6.4,12.7,0.506,0,0.1,0.283,6.4,12.6,0.508,0.507,1.5,2,0.724,2.9,7,9.9,1.9,0.8,0.9,1.7,2.7,14.4
4369,Sasha Vujacic,7-Jun,195lb,554,54,15.6,1.9,4.8,0.394,0.9,2.5,0.369,1,2.3,0.421,0.491,0.7,0.8,0.865,0.4,1.6,1.9,1.3,0.6,0.1,0.6,1.5,5.4
