ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
991,Aleksandar Djordjevic,2-Jun,198lb,8,0,7.6,1,2,0.5,0.6,0.9,0.714,0.4,1.1,0.333,0.656,0.5,0.6,0.8,0.1,0.5,0.6,0.6,0,0,0.6,0.4,3.1
992,Earl Dodd,5-Jun,175lb,9,,,0.7,3,0.222,,,,0.7,3,0.222,0.222,0.3,0.6,0.6,,,,0.7,,,,1.4,1.7
993,Michael Doleac,11-Jun,262lb,587,84,15,2.1,4.8,0.439,0,0,0.125,2.1,4.8,0.44,0.439,0.7,0.8,0.791,1,2.3,3.3,0.6,0.3,0.4,0.6,2.2,4.9
994,Joe Dolhon,Jun-00,175lb,77,,,2.1,6.7,0.311,,,,2.1,6.7,0.311,0.311,2.3,3.1,0.734,,,1.4,2.3,,,,2.9,6.4
995,Bob Doll,5-Jun,195lb,196,,,3.2,11.3,0.286,,,,3.2,11.3,0.286,0.286,2,3,0.662,,,,1.4,,,,2.6,8.4
996,James Donaldson,2-Jul,275lb,957,659,27.4,3.2,5.7,0.571,0,0,,3.2,5.7,0.571,0.571,2.1,2.8,0.732,2.2,5.7,7.8,0.8,0.4,1.3,1.5,2.1,8.6
997,Bob Donham,2-Jun,190lb,273,,23.7,2.4,5.1,0.48,,,,2.4,5.1,0.48,0.48,1.8,3.6,0.507,,,3.9,2.6,,,,3.1,6.7
998,Billy Donovan,11-May,171lb,44,0,8.3,1,2.5,0.404,0,0.2,0,1,2.3,0.431,0.404,0.4,0.5,0.81,0.1,0.5,0.6,2,0.4,0,1,0.8,2.4
999,Harry Donovan,2-Jun,180lb,45,,,2,6.1,0.327,,,,2,6.1,0.327,0.327,1.6,2.4,0.689,,,,0.8,,,,2.4,5.6
1000,Keyon Dooling,3-Jun,196lb,728,86,19.4,2.5,6,0.416,0.6,1.8,0.349,1.9,4.2,0.443,0.467,1.4,1.7,0.799,0.2,1.1,1.3,2.2,0.6,0.1,1.1,1.7,7
1001,Jacky Dorsey,7-Jun,230lb,60,,7.5,0.9,2.4,0.389,0,0,,0.9,2.4,0.389,0.389,0.5,1,0.544,0.8,1.6,2.4,0.3,0.2,0.1,0.5,1.5,2.4
1002,Joey Dorsey,8-Jun,268lb,130,26,11.4,1.1,2,0.534,0,0,0,1.1,2,0.536,0.534,0.5,1.2,0.375,1.5,2.4,3.9,0.4,0.5,0.3,0.7,2,2.6
1003,Ron Dorsey,4-Jun,200lb,1,,12,2,8,0.25,0,1,0,2,7,0.286,0.25,0,2,0,2,3,5,0,,,1,2,4
1004,Quincy Douby,3-Jun,175lb,143,0,10.7,1.6,4,0.389,0.5,1.5,0.312,1.1,2.5,0.436,0.448,0.5,0.6,0.884,0.2,0.8,1.1,0.7,0.3,0.1,0.6,0.9,4.1
1005,Bruce Douglas,3-Jun,195lb,8,1,12.3,0.9,3,0.292,0,0.1,0,0.9,2.9,0.304,0.292,0,0.5,0,0.6,1.1,1.8,2.1,1.1,0,1.1,1.1,1.8
1006,John Douglas,2-Jun,170lb,67,10,15.6,2.7,5.9,0.461,0.3,0.9,0.311,2.4,5,0.488,0.485,1,1.6,0.663,0.4,1,1.4,2.2,0.7,0.1,1.4,2.2,6.7
