ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
511,Gary Grant,129,32.9,6.9,13.1,0.528,7.2,13.2,0.547,1.2,2.5,0.461,2.7,3.5,0.79,3.5,5.7,2.3,0.2,3.3,2.8,17.2
512,Gary Harris,69,31,5,11.4,0.44,2.9,5.7,0.503,2.1,5.6,0.376,2.7,3.5,0.788,3.3,2,1.6,0.3,1.6,2,14.9
513,Gary Payton,63,35.3,5.8,12,0.485,5,9.4,0.535,0.8,2.6,0.302,2.3,3.5,0.652,7.7,4.1,2.8,0.8,2.1,2.7,14.7
514,Gary Payton,63,35.3,5.8,12,0.485,5,9.4,0.535,0.8,2.6,0.302,2.3,3.5,0.652,7.7,4.1,2.8,0.8,2.1,2.7,14.7
515,Gary Payton,120,37.7,6.9,14.3,0.485,5.4,10.2,0.53,1.5,4,0.369,2.8,4.1,0.684,4,7.8,2.7,0.5,3.3,3.5,18.1
516,Gary Payton,120,37.7,6.9,14.3,0.485,5.4,10.2,0.53,1.5,4,0.369,2.8,4.1,0.684,4,7.8,2.7,0.5,3.3,3.5,18.1
517,Gary Trent,93,33.8,8.6,14.9,0.573,8.4,14.2,0.59,0.2,0.7,0.246,5.4,7.8,0.687,11.3,2,0.6,1.1,3.3,2.2,22.7
518,Gaylon Nickerson,59,25.6,4,9.6,0.419,3.8,8.8,0.431,0.2,0.8,0.283,1.5,2.4,0.638,4.6,2.6,0.7,0.3,2.2,2.3,9.8
519,George Lynch,140,26.5,5.1,9.8,0.519,5,9.6,0.524,0.1,0.2,0.344,2.2,3.4,0.651,7.8,1.7,1.7,0.4,2.3,2.8,12.5
520,George McCloud,117,24.3,4.5,9.8,0.46,3.2,6.6,0.481,2.2,5.2,0.429,2.7,3.5,0.778,3.4,1.7,0.9,0.1,2.4,2,13.5
521,George Zidek,104,16.9,2.8,5.4,0.52,3.4,6.4,0.534,0,0.1,0.25,1.5,2.1,0.744,4.2,0.4,0.3,0.4,1.1,2.7,7.1
522,Georges Niang,138,29.8,6.2,12.3,0.5,4.8,8.7,0.553,1.4,3.6,0.375,2.5,3.2,0.763,5.2,3.1,0.7,0.5,2.3,3.1,16.1
523,Gerald Glass,60,36.3,10.2,19.9,0.511,8.7,16,0.544,1.5,3.9,0.377,4.3,5.8,0.736,8.1,1,2.7,1,3,3.3,26.1
524,Gerald Madkins,123,25.9,2.6,5,0.52,1.6,2.6,0.633,1,2.4,0.399,1.5,2,0.725,2.2,3.3,1.2,0.1,1.6,2.4,7.6
525,Gerald Wallace,36,22.9,3.5,8,0.438,3.2,6.3,0.511,0.3,1.8,0.175,2.4,4.3,0.568,6,1.5,1.2,1,2.4,2.4,9.8
526,Gerald Wilkins,85,32.3,7.1,13.9,0.514,6.2,12,0.515,0.1,0.2,0.25,2.8,4.2,0.655,4.1,1.6,1.4,0.2,2.5,2.1,17
527,Gilbert Arenas,70,30.5,5.6,12.1,0.466,4.1,7.9,0.523,1.5,4.2,0.361,3,4,0.738,3.8,2.2,1.9,0.2,2.7,2.4,15.8
528,Glen Rice,134,29.8,7.5,13.1,0.569,7.5,12.6,0.591,1.3,2.8,0.48,2.3,2.8,0.797,6.4,2,0.8,0.3,1.8,1.9,18.2
529,Glen Rice,134,29.8,7.5,13.1,0.569,7.5,12.6,0.591,1.3,2.8,0.48,2.3,2.8,0.797,6.4,2,0.8,0.3,1.8,1.9,18.2
530,Glen Rice,87,24.8,3.6,8.4,0.435,2.5,5,0.493,1.1,3.3,0.346,1.5,2.4,0.611,4.8,2.1,1.3,0.5,1.9,2.2,9.9
531,Glen Rice,87,24.8,3.6,8.4,0.435,2.5,5,0.493,1.1,3.3,0.346,1.5,2.4,0.611,4.8,2.1,1.3,0.5,1.9,2.2,9.9
532,Glenn Robinson,62,35.1,9.9,20.7,0.479,8.1,16,0.507,1.8,4.6,0.385,5.9,7.7,0.773,9.7,1.9,1.8,1,3.9,2.7,27.5
533,Glenn Robinson,62,35.1,9.9,20.7,0.479,8.1,16,0.507,1.8,4.6,0.385,5.9,7.7,0.773,9.7,1.9,1.8,1,3.9,2.7,27.5
534,Glenn Robinson,76,33,4.6,8.8,0.525,3.9,6.4,0.603,0.7,2.4,0.313,2.1,2.9,0.718,4.9,1.1,1,0.3,1,1.3,12
535,Glenn Robinson,76,33,4.6,8.8,0.525,3.9,6.4,0.603,0.7,2.4,0.313,2.1,2.9,0.718,4.9,1.1,1,0.3,1,1.3,12
536,God Shammgod,65,32.5,3.2,8.1,0.393,2.7,5.9,0.462,0.5,2.2,0.208,3.4,5.1,0.676,2,6.6,2,0.1,3,3.3,10.3
537,Gordon Hayward,69,33.5,4.3,9.2,0.47,2.6,4.6,0.569,1.7,4.6,0.369,4.1,4.9,0.824,7.4,1.8,1.3,0.9,2,1.1,14.4
538,Gorgui Dieng,102,27.3,3.3,6.1,0.545,3.3,6,0.546,0,0,0.333,1.7,2.7,0.64,7.9,1.2,1,2.6,1.6,2.7,8.3
539,Grant Hill,129,30.4,5.8,10.9,0.532,5.4,9.9,0.546,0.3,0.9,0.376,3,4.3,0.698,6,3.6,1.7,1,2.5,2.4,14.9
540,Grant Jerrett,34,17.8,1.9,4.5,0.409,0.9,2.2,0.413,0.9,2.3,0.405,0.5,0.6,0.818,3.6,0.5,0.5,1,0.6,1.3,5.2
541,Greg Anthony,138,30.5,4.3,9.7,0.437,3,6.5,0.467,1.2,3.3,0.379,2.8,4,0.707,3.1,6.9,2.4,0.3,2.7,2.5,12.6
542,Greg Buckner,122,32.6,5.6,11,0.504,5.2,9.5,0.54,0.4,1.5,0.276,2.8,4.3,0.665,4.9,2.1,1.5,0.3,1.5,1.8,14.4
543,Greg Butler,117,21.9,3.6,7.2,0.503,3.8,7.3,0.526,0,0.1,0.5,1.6,2.3,0.701,4.2,0.7,0.3,0.4,1.3,1.6,8.9
544,Greg Foster,100,23,3.3,6.9,0.483,4.3,9.1,0.476,0,0.1,0,1.6,2.4,0.661,5.2,0.9,0.3,1,1.6,2.8,8.2
545,Greg Graham,132,24.7,3.8,7.5,0.514,3,5.6,0.538,0.8,1.9,0.439,3.5,4.6,0.766,3.1,2.3,1.1,0.3,1.8,2,12
546,Greg Minor,95,32,4.7,9.3,0.507,3.7,6.6,0.566,1,2.7,0.363,2.2,3,0.739,5.6,2.4,1.3,0.3,1.5,1.6,12.6
