id,name
937,"Bison Dele"
939,"Tony Delk"
940,"Matthew Dellavedova"
944,"Dell Demps"
957,"Derrick Dial"
962,"Dan Dickau"
963,"Kaniel Dickens"
965,"Michael Dickerson"
971,"Gorgui Dieng"
984,"Spencer Dinwiddie"
990,"Juan Dixon"
993,"Michael Doleac"
998,"Billy Donovan"
1000,"Keyon Dooling"
1008,"Sherman Douglas"
1021,"Bryce Drew"
1023,"Larry Drew"
1030,"Andre Drummond"
1044,"Richard Dumas"
1045,"Tony Dumas"
1047,"Tim Duncan"
1048,"Mike Dunleavy"
1049,"Mike Dunleavy"
1050,"Kris Dunn"
1057,"Pat Durham"
1064,"Jerome Dyson"
1065,"Ledell Eackles"
1067,"Acie Earl"
1069,"Cleanthony Early"
1073,"Devin Ebanks"
1078,"Jarell Eddie"
1085,"Tyus Edney"
1086,"Bill Edwards"
1087,"Blue Edwards"
1089,"Doug Edwards"
1094,"Kevin Edwards"
1101,"Howard Eisley"
1103,"Khalid El-Amin"
1110,"Sean Elliott"
1116,"LaPhonso Ellis"
1120,"Pervis Ellison"
1124,"Melvin Ely"
1125,"Joel Embiid"
1131,"A.J. English"
1135,"Kim English"
1138,"James Ennis"
1139,"Tyler Ennis"
1150,"Brian Evans"
1152,"Jeremy Evans"
1155,"Reggie Evans"
1167,"Kenneth Faried"
1171,"Jim Farmer"
1173,"Tony Farmer"
1176,"Derrick Favors"
1181,"Jamie Feick"
1185,"Kay Felder"
1187,"Carrick Felix"
1198,"Duane Ferrell"
1199,"Yogi Ferrell"
1202,"Danny Ferry"
1206,"Landry Fields"
1211,"Michael Finley"
1213,"Dorian Finney-Smith"
1215,"Derek Fisher"
1220,"Marcus Fizer"
1225,"Luis Flores"
1235,"Bryn Forbes"
1237,"Alphonso Ford"
1246,"T.J. Ford"
1249,"Joseph Forte"
1250,"Courtney Fortson"
1251,"Danny Fortson"
1253,"Greg Foster"
1254,"Jeff Foster"
1262,"Tremaine Fowlkes"
1265,"Rick Fox"
1267,"Adonal Foyle"
1268,"Richie Frahm"
1269,"Steve Francis"
1272,"Jamaal Franklin"
1275,"Tim Frazier"
1279,"Jimmer Fredette"
1297,"Todd Fuller"
1299,"Lawrence Funderburke"
1302,"Dan Gadzuric"
1306,"Corey Gaines"
1308,"Reece Gaines"
1314,"Langston Galloway"
1316,"Kevin Gamble"
1329,"Winston Garland"
1338,"Diante Garrett"
1341,"Tom Garrick"
1343,"Kiwane Garris"
1344,"Pat Garrity"
1349,"Chris Gatling"
1354,"Michael Gbinije"
1355,"Reggie Geary"
1357,"Matt Geiger"
1361,"Paul George"
1362,"Tate George"
1372,"Jonathan Gibson"
1378,"Eddie Gill"
1379,"Kendall Gill"
1393,"Gerald Glass"
1405,"Anthony Goldwire"
1409,"Drew Gooden"
1411,"Steve Goodrich"
1412,"Archie Goodwin"
1414,"Aaron Gordon"
1416,"Drew Gordon"
1422,"Andrew Goudelock"
1428,"Greg Graham"
1439,"Brian Grant"
1441,"Gary Grant"
1443,"Harvey Grant"
1444,"Horace Grant"
1445,"Jerami Grant"
1446,"Jerian Grant"
1447,"Josh Grant"
1454,"Ed Gray"
1461,"Jeff Grayer"
1466,"Draymond Green"
1467,"Erick Green"
1469,"JaMychal Green"
1475,"Litterial Green"
1479,"Sean Green"
1485,"Willie Green"
1485,"Willie Green"
1498,"Adrian Griffin"
1500,"Eddie Griffin"
1519,"Tom Gugliotta"
1527,"Jorge Gutierrez"
1528,"A.J. Guyton"
1532,"Scott Haffner"
1541,"P.J. Hairston"
1542,"Marcus Haislip"
1551,"Darvin Ham"
1552,"Steve Hamer"
1556,"Jordan Hamilton"
1556,"Jordan Hamilton"
1557,"Justin Hamilton"
